brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.37821297429620565,9.958384332925336,791.1554467564259,817,338,0.027072701968321292,0.41370869033047736,0.41370869033047736
amber,2.2338709677419355,9.896505376344086,824.638440860215,744,414,0.024653721253893566,0.5564516129032258,0.5564516129032258
barley,-0.7313432835820896,9.985074626865671,724.9104477611941,201,66,0.006660481145205116,0.3283582089552239,0.3283582089552239
bea,0.39204545454545453,9.914772727272727,806.8238636363636,176,73,0.005832063092318908,0.4147727272727273,0.4147727272727273
belle,2.1661578717836893,9.919755778456171,850.8194505015264,2293,1264,0.07598250381072304,0.55124291321413,0.55124291321413
bibi,-0.5932203389830508,9.796610169491526,735.8813559322034,59,20,0.001955066604811452,0.3389830508474576,0.3389830508474576
bo,0.45454545454545453,9.909090909090908,773.3846153846154,143,60,0.004738551262509112,0.4195804195804196,0.4195804195804196
brock,2.3549608684675585,9.994950770007573,836.4551880838172,3961,2241,0.13125455629929086,0.5657662206513506,0.5657662206513506
bull,-0.9,9.861538461538462,720.9384615384615,130,41,0.0043077738750082846,0.3153846153846154,0.3153846153846154
buzz,2.8662420382165603,9.847133757961783,784.171974522293,314,190,0.010404930744250779,0.6050955414012739,0.6050955414012739
byron,3.308911973756151,9.9803171131766,870.4997266265719,1829,1169,0.06060706474915501,0.6391470749043193,0.6391470749043193
carl,0.6952380952380952,9.961904761904762,742.0761904761905,105,46,0.0034793558221220757,0.4380952380952381,0.4380952380952381
colette,2.513335837716003,9.979902329075882,860.2156273478588,5324,3077,0.17641990854264697,0.5779489105935387,0.5779489105935387
colonel-ruffs,0.2,9.977777777777778,761.8666666666667,45,18,0.0014911524951951754,0.4,0.4
colt,1.496492174851592,9.989026803381904,839.0849073574384,5559,2778,0.18420703823977733,0.4997301672962763,0.4997301672962763
crow,2.0674603174603177,9.982142857142858,848.3075396825396,504,274,0.016700907946185964,0.5436507936507936,0.5436507936507936
darryl,-2.340909090909091,9.988636363636363,744.3181818181819,88,18,0.002916031546159454,0.20454545454545456,0.20454545454545456
dynamike,-1.5016611295681064,9.787375415282392,716.3222591362127,301,81,0.00997415335674995,0.2691029900332226,0.2691029900332226
edgar,-1.008298755186722,9.717842323651452,710.9502074688796,241,74,0.00798595002982305,0.3070539419087137,0.3070539419087137
el-primo,-2.367088607594937,9.645569620253164,740.4272151898734,316,64,0.010471204188481676,0.20253164556962025,0.20253164556962025
emz,-1.441340782122905,9.798882681564246,768.1787709497206,179,49,0.005931473258665253,0.2737430167597765,0.2737430167597765
frank,-2.0,9.615384615384615,717.3076923076923,13,3,0.00043077738750082843,0.23076923076923078,0.23076923076923078
gale,0.6521739130434783,10.0,828.8478260869565,46,20,0.0015242892173106236,0.43478260869565216,0.43478260869565216
gene,-2.883720930232558,9.813953488372093,882.4883720930233,43,7,0.0014248790509642786,0.16279069767441862,0.16279069767441862
jacky,2.8,9.4,663.2,5,3,0.0001656836105772417,0.6,0.6
jessie,-0.49577464788732395,9.928450704225352,751.6445070422535,1775,615,0.0588176817549208,0.3464788732394366,0.3464788732394366
leon,-0.2978723404255319,9.957446808510639,735.9148936170212,47,17,0.001557425939426072,0.3617021276595745,0.3617021276595745
lou,-1.75,9.5625,717.3125,16,4,0.0005301875538471734,0.25,0.25
max,0.06493506493506493,9.96103896103896,820.1363636363636,154,60,0.005103055205779044,0.38961038961038963,0.38961038961038963
mortis,-2.4,10.0,775.7454545454545,55,11,0.0018225197163496587,0.2,0.2
mr-p,-1.5660377358490567,10.0,756.2075471698113,53,14,0.001756246272118762,0.2641509433962264,0.2641509433962264
nani,0.2962962962962963,9.948148148148148,813.7851851851852,135,55,0.004473457485585526,0.4074074074074074,0.4074074074074074
nita,-0.6666666666666666,9.983498349834983,715.2178217821782,303,101,0.010040426800980847,0.3333333333333333,0.3333333333333333
pam,-1.4137931034482758,9.931034482758621,740.1379310344828,29,8,0.0009609649413480019,0.27586206896551724,0.27586206896551724
penny,0.7357575757575757,9.978181818181818,753.7793939393939,825,364,0.02733779574524488,0.4412121212121212,0.4412121212121212
piper,1.9713203463203464,9.989718614718615,850.7072510822511,1848,991,0.06123666246934853,0.5362554112554112,0.5362554112554112
poco,-0.9818181818181818,10.0,803.3818181818182,55,17,0.0018225197163496587,0.3090909090909091,0.3090909090909091
rico,1.1475903614457832,9.960843373493976,788.3192771084338,332,157,0.011001391742328849,0.47289156626506024,0.47289156626506024
rosa,0.0,9.76923076923077,759.3076923076923,13,5,0.00043077738750082843,0.38461538461538464,0.38461538461538464
sandy,-1.75,9.9375,792.75,16,4,0.0005301875538471734,0.25,0.25
shelly,-3.5945945945945947,9.72972972972973,742.3513513513514,37,4,0.0012260587182715886,0.10810810810810811,0.10810810810810811
spike,-1.4846938775510203,9.938775510204081,772.7704081632653,196,53,0.006494797534627875,0.27040816326530615,0.27040816326530615
sprout,-0.9041095890410958,9.904109589041095,801.4109589041096,73,23,0.0024189807144277286,0.3150684931506849,0.3150684931506849
squeak,2.132295719844358,9.848249027237355,775.7120622568093,257,141,0.008516137583670223,0.5486381322957199,0.5486381322957199
stu,0.7777777777777778,9.977777777777778,825.3037037037037,135,60,0.004473457485585526,0.4444444444444444,0.4444444444444444
surge,0.30097087378640774,9.922330097087379,833.7766990291262,103,42,0.003413082377891179,0.4077669902912621,0.4077669902912621
tara,-1.2857142857142858,9.978571428571428,747.9571428571429,140,40,0.004639141096162767,0.2857142857142857,0.2857142857142857
tick,-3.6551724137931036,9.862068965517242,742.696551724138,145,15,0.0048048247067400095,0.10344827586206896,0.10344827586206896
