brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.078832116788321,9.953284671532847,817.858394160584,685,373,0.022957302768282055,0.5445255474452555,0.5445255474452555
amber,0.6875,9.890151515151516,787.4772727272727,528,231,0.01769555600241303,0.4375,0.4375
barley,0.5265700483091788,9.96135265700483,739.0483091787439,207,88,0.006937462296400563,0.4251207729468599,0.4251207729468599
bea,2.157303370786517,9.876404494382022,814.0112359550562,89,49,0.0029827736443461357,0.550561797752809,0.550561797752809
belle,0.7972972972972973,9.743243243243244,727.027027027027,74,33,0.0024800589851866747,0.44594594594594594,0.44594594594594594
bibi,0.35648148148148145,9.925925925925926,782.4907407407408,432,178,0.014478182183792479,0.41203703703703703,0.41203703703703703
bo,-1.425,9.9,739.7125,80,22,0.002681144848850459,0.275,0.275
brock,0.0027100271002710027,9.997289972899729,742.2981029810298,369,142,0.012366780615322743,0.38482384823848237,0.38482384823848237
bull,1.6858522094318604,9.96769402153732,829.734125510583,2693,1385,0.09025403847442857,0.5142963238024508,0.5142963238024508
buzz,1.8823529411764706,9.727554179566564,736.8513931888544,323,171,0.01082512232723373,0.5294117647058824,0.5294117647058824
byron,-0.3055555555555556,9.972222222222221,715.4444444444445,36,13,0.0012065151819827067,0.3611111111111111,0.3611111111111111
carl,-0.23943661971830985,9.915492957746478,748.4225352112676,71,26,0.0023795160533547823,0.36619718309859156,0.36619718309859156
colette,1.6096189881324172,9.986258588382261,837.6895690193629,1601,814,0.05365641128761981,0.5084322298563397,0.5084322298563397
colonel-ruffs,1.0,9.923076923076923,739.9230769230769,13,6,0.00043568603793819964,0.46153846153846156,0.46153846153846156
colt,1.051337359792925,9.963761863675582,786.5327868852459,2318,1079,0.07768617199544206,0.4654874892148404,0.4654874892148404
crow,-0.16666666666666666,9.897435897435898,717.6282051282051,78,29,0.0026141162276291977,0.3717948717948718,0.3717948717948718
darryl,1.3286821705426357,9.934883720930232,803.2325581395348,645,314,0.021616730343856826,0.4868217054263566,0.4868217054263566
dynamike,0.5165217391304348,9.81391304347826,773.295652173913,575,244,0.019270728601112674,0.42434782608695654,0.42434782608695654
edgar,0.7937625754527163,9.844064386317907,762.2062374245473,994,443,0.033313224746966956,0.44567404426559354,0.44567404426559354
el-primo,1.0713379835129995,9.877298668357641,838.6192136968929,3154,1473,0.10570413566592936,0.4670259987317692,0.4670259987317692
emz,2.7419268030139934,9.975780409041981,898.5858449946179,3716,2213,0.12453917822910383,0.5955328310010765,0.5955328310010765
frank,2.3013698630136985,9.924657534246576,807.3630136986301,146,82,0.004893089349152088,0.5616438356164384,0.5616438356164384
gale,-0.21052631578947367,9.81578947368421,729.8684210526316,38,14,0.001273543803203968,0.3684210526315789,0.3684210526315789
