brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.72,9.933333333333334,732.6666666666666,75,33,0.0023494032515741,0.44,0.44
amber,0.2920353982300885,9.84070796460177,719.7522123893805,113,46,0.0035397675657049777,0.40707964601769914,0.40707964601769914
barley,-0.7551020408163265,9.959183673469388,715.1224489795918,49,16,0.0015349434576950789,0.32653061224489793,0.32653061224489793
bea,1.7544483985765125,9.932384341637011,841.3274021352313,281,146,0.008802430849230962,0.5195729537366548,0.5195729537366548
belle,0.45161290322580644,9.924731182795698,711.8494623655914,93,39,0.0029132600319518843,0.41935483870967744,0.41935483870967744
bibi,0.653169014084507,9.910211267605634,730.3362676056338,568,247,0.017792813958587853,0.43485915492957744,0.43485915492957744
bo,-1.8873239436619718,9.887323943661972,709.9014084507043,71,17,0.0022241017448234816,0.23943661971830985,0.23943661971830985
brock,-1.372093023255814,9.930232558139535,701.4186046511628,43,12,0.0013469911975691508,0.27906976744186046,0.27906976744186046
bull,1.793103448275862,9.941644562334217,775.0769230769231,377,197,0.011809667011245811,0.5225464190981433,0.5225464190981433
buzz,3.076294277929155,9.773841961852861,799.9782016348773,734,456,0.022992826488738526,0.6212534059945504,0.6212534059945504
byron,-0.029411764705882353,9.882352941176471,721.4117647058823,34,13,0.0010650628073802587,0.38235294117647056,0.38235294117647056
carl,1.3243243243243243,9.954954954954955,738.1261261261261,111,54,0.003477116812329668,0.4864864864864865,0.4864864864864865
colette,1.9120879120879122,9.98647506339814,846.6500422654269,1183,629,0.037057920621495474,0.5316990701606086,0.5316990701606086
colonel-ruffs,-1.2857142857142858,9.952380952380953,681.1904761904761,21,6,0.0006578329104407481,0.2857142857142857,0.2857142857142857
colt,-0.873015873015873,9.931216931216932,718.3015873015873,189,60,0.005920496193966732,0.31746031746031744,0.31746031746031744
crow,0.8208955223880597,9.985074626865671,765.3930348258707,201,90,0.0062964007142185885,0.44776119402985076,0.44776119402985076
darryl,2.2973977695167287,9.884758364312267,788.8475836431227,269,151,0.008426526328979106,0.5613382899628253,0.5613382899628253
dynamike,0.0060882800608828,9.922374429223744,748.6270928462709,657,253,0.020580772483789117,0.3850837138508371,0.3850837138508371
edgar,0.4491017964071856,9.741017964071856,723.9730538922156,668,280,0.02092535162735332,0.41916167664670656,0.41916167664670656
el-primo,1.6834782608695653,9.911170568561873,850.120668896321,7475,3843,0.23415719074021865,0.5141137123745819,0.5141137123745819
emz,2.5961995249406176,9.92735550277118,904.2692003167062,5052,2952,0.1582558030260314,0.5843230403800475,0.5843230403800475
frank,0.6116373477672531,9.803788903924222,758.3044654939107,1478,638,0.0462989067443536,0.4316644113667118,0.4316644113667118
gale,1.2719298245614035,9.956140350877194,788.7993421052631,912,440,0.02856874353914106,0.4824561403508772,0.4824561403508772
gene,-2.4675324675324677,9.805194805194805,754.3636363636364,77,15,0.0024120540049494097,0.19480519480519481,0.19480519480519481
jacky,3.1535087719298245,9.958333333333334,828.2894736842105,912,572,0.02856874353914106,0.6271929824561403,0.6271929824561403
jessie,1.5850178359096314,9.957193816884661,806.3079667063021,1682,852,0.05268928358863515,0.5065398335315101,0.5065398335315101
leon,-1.0754716981132075,9.858490566037736,716.3867924528302,106,32,0.003320489928891395,0.3018867924528302,0.3018867924528302
lou,0.9917695473251029,9.880658436213992,758.7242798353909,243,112,0.007612066535100085,0.4609053497942387,0.4609053497942387
max,-0.635036496350365,9.854014598540147,739.4087591240876,137,46,0.00429157660620869,0.3357664233576642,0.3357664233576642
mortis,-0.2934306569343066,9.94014598540146,729.8014598540146,685,248,0.02145788303104345,0.362043795620438,0.362043795620438
mr-p,-2.0454545454545454,9.931818181818182,774.2045454545455,44,10,0.0013783165742568054,0.22727272727272727,0.22727272727272727
nani,-1.8620689655172413,9.862068965517242,787.3103448275862,29,7,0.0009084359239419854,0.2413793103448276,0.2413793103448276
