brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.6857142857142857,9.942857142857143,695.4,35,18,0.0011965402892208812,0.5142857142857142,0.5142857142857142
amber,0.5833333333333334,9.833333333333334,743.2051282051282,156,67,0.0053331510033845,0.42948717948717946,0.42948717948717946
barley,-0.35714285714285715,10.0,669.5,28,10,0.000957232231376705,0.35714285714285715,0.35714285714285715
bea,-0.27860696517412936,9.875621890547263,713.3781094527363,201,73,0.00687155994666849,0.36318407960199006,0.36318407960199006
belle,-0.2978723404255319,9.851063829787234,706.4042553191489,94,34,0.003213565348193224,0.3617021276595745,0.3617021276595745
bibi,0.4355400696864111,9.911149825783973,722.3797909407665,574,240,0.019623260743222452,0.4181184668989547,0.4181184668989547
bo,0.2,9.877777777777778,707.3111111111111,90,36,0.0030768178865679804,0.4,0.4
brock,-0.6666666666666666,9.833333333333334,704.0,36,12,0.0012307271546271922,0.3333333333333333,0.3333333333333333
bull,0.6738609112709832,9.882494004796163,745.0407673860911,417,182,0.014255922874431644,0.4364508393285372,0.4364508393285372
buzz,3.063555913113435,9.813354786806114,808.8254223652453,1243,771,0.042494273700044445,0.6202735317779565,0.6202735317779565
byron,0.2,9.7,693.625,40,16,0.0013674746162524358,0.4,0.4
carl,-0.056338028169014086,9.929577464788732,704.9014084507043,71,27,0.0024272674438480736,0.38028169014084506,0.38028169014084506
colette,1.0204313280363224,9.96027241770715,790.9648127128263,881,408,0.030118628422959898,0.46311010215664017,0.46311010215664017
colonel-ruffs,-0.9555555555555556,9.866666666666667,698.2,45,14,0.0015384089432839902,0.3111111111111111,0.3111111111111111
colt,-1.1204188481675392,9.926701570680628,717.1361256544502,191,57,0.006529691292605381,0.29842931937172773,0.29842931937172773
crow,-0.0794392523364486,9.925233644859814,707.8878504672897,214,81,0.007315989196950532,0.37850467289719625,0.37850467289719625
darryl,0.13026819923371646,9.793103448275861,710.4022988505748,261,103,0.008922771871047144,0.3946360153256705,0.3946360153256705
dynamike,-0.4437299035369775,9.916398713826366,690.1800643086817,311,109,0.010632115141362688,0.3504823151125402,0.3504823151125402
edgar,0.3389592123769339,9.70323488045007,721.7918424753868,711,292,0.024306861303887047,0.41068917018284107,0.41068917018284107
el-primo,1.7315521628498727,9.873886768447838,830.7552480916031,6288,3256,0.21496700967488291,0.5178117048346056,0.5178117048346056
emz,2.4542631281761715,9.942970073404856,868.2622811970638,3542,2031,0.1210898772691532,0.5734048560135516,0.5734048560135516
frank,0.6211626387981711,9.70999346832136,744.1123448726323,1531,662,0.05234009093706198,0.4323971260613978,0.4323971260613978
gale,2.137488542621448,9.934005499541705,826.38496791934,1091,599,0.03729787015828519,0.5490375802016498,0.5490375802016498
gene,-1.9125,9.8375,715.8625,80,19,0.0027349492325048717,0.2375,0.2375
jacky,2.4027777777777777,9.920634920634921,780.9007936507936,504,287,0.01723018016478069,0.5694444444444444,0.5694444444444444
jessie,1.0432432432432432,9.895135135135135,750.1783783783784,925,430,0.03162285050083758,0.4648648648648649,0.4648648648648649
leon,-1.2974683544303798,9.949367088607595,711.6139240506329,158,45,0.005401524734197121,0.2848101265822785,0.2848101265822785
lou,0.7777777777777778,9.864734299516908,724.0193236714975,207,92,0.007076681139106355,0.4444444444444444,0.4444444444444444
max,-0.9924812030075187,9.87218045112782,729.4736842105264,133,41,0.004546853099039349,0.3082706766917293,0.3082706766917293
mortis,-0.6917148362235067,9.955684007707129,718.6281310211946,519,172,0.017742983145875354,0.33140655105973027,0.33140655105973027
mr-p,-0.7941176470588235,9.882352941176471,740.7352941176471,34,11,0.0011623534238145705,0.3235294117647059,0.3235294117647059
nani,-1.4545454545454546,9.863636363636363,691.5454545454545,22,6,0.0007521110389388398,0.2727272727272727,0.2727272727272727
nita,2.9513583441138422,9.99353169469599,854.3345407503234,3865,2364,0.1321322347953916,0.6116429495472187,0.6116429495472187
pam,0.85,9.89,697.37,100,45,0.0034186865406310896,0.45,0.45
penny,0.2,9.985714285714286,658.8,70,28,0.0023930805784417625,0.4,0.4
piper,-2.111111111111111,10.0,705.3333333333334,45,10,0.0015384089432839902,0.2222222222222222,0.2222222222222222
poco,0.4567901234567901,9.958847736625515,766.2921810699588,243,102,0.008307408293733548,0.41975308641975306,0.41975308641975306
rico,-0.0861244019138756,9.904306220095695,710.7942583732057,209,79,0.007145054869918977,0.37799043062200954,0.37799043062200954
rosa,1.3333333333333333,9.834498834498834,745.965034965035,429,209,0.014666165259307374,0.48717948717948717,0.48717948717948717
sandy,1.7807308970099667,9.976744186046512,803.0730897009967,301,157,0.01029024648729958,0.521594684385382,0.521594684385382
shelly,0.35877862595419846,9.906870229007634,739.3496183206107,655,270,0.022392396841133637,0.4122137404580153,0.4122137404580153
spike,-0.7443946188340808,9.90134529147982,713.6412556053812,223,73,0.00762367098560733,0.3273542600896861,0.3273542600896861
sprout,-4.35,9.9,687.95,20,1,0.0006837373081262179,0.05,0.05
squeak,0.6216216216216216,9.513513513513514,661.6216216216217,74,32,0.002529828040067006,0.43243243243243246,0.43243243243243246
stu,0.8475836431226765,9.817843866171003,723.8773234200744,269,121,0.009196266794297631,0.44981412639405205,0.44981412639405205
surge,1.5,9.904645476772616,838.2066014669927,818,409,0.027964855902362314,0.5,0.5
tara,1.403305785123967,9.947107438016529,812.4611570247934,1210,596,0.04136610714163618,0.4925619834710744,0.4925619834710744
tick,-0.21839080459770116,9.804597701149426,693.264367816092,87,32,0.002974257290349048,0.367816091954023,0.367816091954023
