brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.5023255813953489,9.693023255813953,709.4883720930233,215,91,0.0018319856167826924,0.4232558139534884,0.4232558139534884
amber,1.083495145631068,9.792233009708738,716.8271844660194,515,241,0.004388244616944589,0.4679611650485437,0.4679611650485437
barley,-0.24390243902439024,9.804878048780488,693.1646341463414,164,60,0.00139742158675517,0.36585365853658536,0.36585365853658536
bea,1.178796046720575,9.866127583108716,750.4824797843665,1113,529,0.009483720890600636,0.4752920035938904,0.4752920035938904
belle,1.2322097378277153,9.674157303370787,688.2771535580524,267,128,0.0022750705101440877,0.4794007490636704,0.4794007490636704
bibi,1.1026459854014599,9.869525547445255,710.7750912408759,2192,1029,0.018677732427849588,0.46943430656934304,0.46943430656934304
bo,0.6052631578947368,9.880566801619434,701.5546558704453,494,213,0.004209306486933256,0.4311740890688259,0.4311740890688259
brock,-0.5841269841269842,9.84920634920635,700.5492063492063,630,214,0.005368143900339983,0.3396825396825397,0.3396825396825397
bull,2.0273972602739727,9.868282402528978,748.2492096944152,1898,1026,0.016172598607690932,0.5405690200210748,0.5405690200210748
buzz,2.577021673269634,9.556280587275694,733.3728734560708,4291,2501,0.03656302456564899,0.5828478210207411,0.5828478210207411
byron,0.17699115044247787,9.88495575221239,717.4380530973451,226,90,0.0019257151134552952,0.39823008849557523,0.39823008849557523
carl,1.5,9.79496402877698,756.9298561151079,556,278,0.0047376000136333815,0.5,0.5
colette,1.8267379679144384,9.956791443850268,782.9893048128342,4675,2455,0.03983503608585622,0.5251336898395722,0.5251336898395722
colonel-ruffs,0.84688995215311,9.83732057416268,721.7894736842105,209,94,0.0017808604367794544,0.44976076555023925,0.44976076555023925
colt,1.045807453416149,9.923136645962733,718.0962732919255,1288,599,0.010974871974028409,0.46506211180124224,0.46506211180124224
crow,0.3247232472324723,9.915129151291513,712.9421894218942,813,333,0.0069274618904387394,0.4095940959409594,0.4095940959409594
darryl,1.9407725321888412,9.86266094420601,744.3716738197425,1165,622,0.009926805783962031,0.5339055793991416,0.5339055793991416
dynamike,0.6061120543293718,9.94457918991026,712.5294688333738,8246,3556,0.07026303905111667,0.4312393887945671,0.4312393887945671
edgar,0.9615384615384616,9.690828402366863,707.1559171597634,3380,1550,0.0288005180684907,0.45857988165680474,0.45857988165680474
el-primo,1.511134903640257,9.792362598144182,768.2559243397574,28020,14034,0.23875459061512114,0.5008565310492505,0.5008565310492505
emz,1.9455313159746657,9.850809289232934,783.1961998592541,7105,3796,0.06054073398716758,0.534271639690359,0.534271639690359
frank,2.169583931133429,9.748206599713056,753.2084648493544,6970,3844,0.05939041743709473,0.551506456241033,0.551506456241033
gale,2.104605659241421,9.93046357615894,788.882149307646,6644,3631,0.056612615990252135,0.5465081276339554,0.5465081276339554
