brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.1904761904761905,9.904761904761905,711.047619047619,21,10,0.0009332089054792694,0.47619047619047616,0.47619047619047616
amber,1.2592592592592593,9.87037037037037,736.3333333333334,54,26,0.0023996800426609784,0.48148148148148145,0.48148148148148145
barley,0.8981481481481481,9.981481481481481,699.1666666666666,108,49,0.004799360085321957,0.4537037037037037,0.4537037037037037
bea,0.30612244897959184,9.826530612244898,768.4081632653061,98,40,0.00435497489223659,0.40816326530612246,0.40816326530612246
belle,0.6875,9.65625,680.78125,32,14,0.0014220326178731725,0.4375,0.4375
bibi,0.564299424184261,9.856046065259116,713.2188099808061,521,223,0.023152468559747588,0.42802303262955854,0.42802303262955854
bo,0.15517241379310345,9.982758620689655,694.4137931034483,58,23,0.002577434119895125,0.39655172413793105,0.39655172413793105
brock,-0.9655172413793104,9.96551724137931,714.6896551724138,29,9,0.0012887170599475625,0.3103448275862069,0.3103448275862069
bull,1.6388888888888888,9.955128205128204,758.9358974358975,468,239,0.02079722703639515,0.5106837606837606,0.5106837606837606
buzz,2.7719568567026194,9.714946070878275,773.9137134052388,649,388,0.02884059903124028,0.5978428351309707,0.5978428351309707
byron,0.8709677419354839,9.96774193548387,702.4516129032259,31,14,0.0013775940985646358,0.45161290322580644,0.45161290322580644
carl,0.2962962962962963,9.907407407407407,721.5185185185185,54,22,0.0023996800426609784,0.4074074074074074,0.4074074074074074
colette,2.15158924205379,9.95843520782396,798.1026894865525,409,225,0.018175354397191486,0.5501222493887531,0.5501222493887531
colonel-ruffs,0.6415094339622641,9.867924528301886,681.566037735849,53,23,0.002355241523352442,0.4339622641509434,0.4339622641509434
colt,-0.7454545454545455,9.9,703.6545454545454,110,36,0.00488823712393903,0.32727272727272727,0.32727272727272727
crow,-2.0285714285714285,9.9,712.5285714285715,70,16,0.003110696351597565,0.22857142857142856,0.22857142857142856
darryl,1.0422535211267605,9.901408450704226,720.9530516431925,213,99,0.009465404612718305,0.4647887323943662,0.4647887323943662
dynamike,0.1894630192502533,9.91388044579534,715.4630192502533,987,394,0.04386081855752566,0.39918946301925023,0.39918946301925023
edgar,1.0223642172523961,9.77209797657082,727.8232161874334,939,435,0.04172776963071591,0.46325878594249204,0.46325878594249204
el-primo,1.7105461393596988,9.884557438794728,804.2129943502825,5310,2741,0.23596853752832955,0.516195856873823,0.516195856873823
emz,2.7286879169755376,9.949592290585619,870.2335063009637,1349,802,0.05994756254721593,0.5945144551519644,0.5945144551519644
frank,1.9573918657198193,9.761136216914139,771.9109102646869,1549,829,0.06883526640892325,0.5351839896707553,0.5351839896707553
gale,0.9468085106382979,9.946808510638299,741.5691489361702,376,172,0.016708883260009775,0.4574468085106383,0.4574468085106383
gene,-0.6666666666666666,9.941176470588236,729.3333333333334,51,17,0.0022663644847353685,0.3333333333333333,0.3333333333333333
jacky,2.1842105263157894,9.947368421052632,782.7105263157895,646,357,0.02870728347331467,0.5526315789473685,0.5526315789473685
jessie,1.1176470588235294,9.884705882352941,713.5082352941176,425,200,0.018886370706128072,0.47058823529411764,0.47058823529411764
leon,0.1103448275862069,9.951724137931034,713.4413793103448,145,57,0.006443585299737813,0.3931034482758621,0.3931034482758621
lou,1.8125,9.9375,777.2548076923077,208,109,0.00924321201617562,0.5240384615384616,0.5240384615384616
max,0.4567901234567901,9.962962962962964,710.641975308642,81,34,0.0035995200639914677,0.41975308641975306,0.41975308641975306
mortis,-0.4290322580645161,9.958064516129033,708.7806451612903,310,109,0.013775940985646358,0.35161290322580646,0.35161290322580646
mr-p,0.3793103448275862,10.0,697.7241379310345,29,12,0.0012887170599475625,0.41379310344827586,0.41379310344827586
nani,1.1904761904761905,10.0,695.4285714285714,21,10,0.0009332089054792694,0.47619047619047616,0.47619047619047616
nita,2.8400586940572268,9.990829053558327,839.3378576669112,2726,1644,0.12113940363507088,0.6030814380044021,0.6030814380044021
pam,1.5730337078651686,9.887640449438202,694.5280898876405,89,45,0.003955028218459761,0.5056179775280899,0.5056179775280899
penny,0.39622641509433965,9.943396226415095,673.7358490566038,53,22,0.002355241523352442,0.41509433962264153,0.41509433962264153
piper,1.1578947368421053,10.0,716.1578947368421,19,9,0.0008443318668621962,0.47368421052631576,0.47368421052631576
poco,-0.8301886792452831,9.962264150943396,691.6415094339623,106,34,0.004710483046704884,0.32075471698113206,0.32075471698113206
rico,1.3280914939242316,9.944960686204432,773.1879914224446,1399,681,0.06216948851264276,0.4867762687634024,0.4867762687634024
rosa,1.1717171717171717,9.848484848484848,695.5858585858585,198,94,0.008798826823090255,0.47474747474747475,0.47474747474747475
sandy,0.09803921568627451,9.96078431372549,747.1666666666666,102,40,0.004532728969470737,0.39215686274509803,0.39215686274509803
shelly,0.8179012345679012,9.935185185185185,727.6018518518518,648,290,0.02879616051193174,0.44753086419753085,0.44753086419753085
spike,0.1830065359477124,9.915032679738562,691.8627450980392,153,61,0.006799093454206106,0.39869281045751637,0.39869281045751637
sprout,-0.9761904761904762,9.80952380952381,731.7857142857143,42,13,0.0018664178109585388,0.30952380952380953,0.30952380952380953
squeak,1.8,9.861538461538462,682.2,65,34,0.0028885037550548816,0.5230769230769231,0.5230769230769231
stu,0.9333333333333333,9.861538461538462,752.4923076923077,195,89,0.008665511265164644,0.4564102564102564,0.4564102564102564
surge,1.456021650879567,9.893098782138024,808.2706359945872,739,367,0.032840065769008574,0.496617050067659,0.496617050067659
tara,0.4722222222222222,9.876068376068377,790.8824786324786,468,197,0.02079722703639515,0.42094017094017094,0.42094017094017094
tick,-1.1134020618556701,9.804123711340207,711.0618556701031,97,29,0.004310536372928054,0.29896907216494845,0.29896907216494845
