brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.2222222222222223,9.866666666666667,700.0222222222222,45,25,0.0009882073917912907,0.5555555555555556,0.5555555555555556
amber,-0.5428571428571428,9.778571428571428,699.9928571428571,140,48,0.003074422996684015,0.34285714285714286,0.34285714285714286
barley,-0.45528455284552843,9.959349593495935,697.5528455284552,123,43,0.0027011002042295275,0.34959349593495936,0.34959349593495936
bea,-0.004629629629629629,9.833333333333334,714.3611111111111,216,83,0.004743395480598195,0.38425925925925924,0.38425925925925924
belle,1.5,9.654761904761905,693.1904761904761,84,42,0.0018446537980104092,0.5,0.5
bibi,1.0734375,9.9140625,710.49140625,1280,598,0.02810901025539671,0.4671875,0.4671875
bo,0.8106060606060606,9.916666666666666,676.1212121212121,132,59,0.0028987416825877856,0.44696969696969696,0.44696969696969696
brock,-1.1481481481481481,9.87962962962963,670.3425925925926,108,32,0.0023716977402990975,0.2962962962962963,0.2962962962962963
bull,1.9647283126787416,9.889418493803623,757.6873212583413,1049,562,0.023036212310868085,0.5357483317445186,0.5357483317445186
buzz,3.2471526195899774,9.70615034168565,751.8302961275626,1756,1114,0.038562048444122365,0.6343963553530751,0.6343963553530751
byron,-0.016666666666666666,9.733333333333333,697.8666666666667,60,23,0.0013176098557217209,0.38333333333333336,0.38333333333333336
carl,1.077922077922078,9.883116883116884,763.7077922077922,154,72,0.0033818652963524165,0.4675324675324675,0.4675324675324675
colette,2.164861612515042,9.978339350180505,806.0908543922984,1662,916,0.036497793003491666,0.5511432009626955,0.5511432009626955
colonel-ruffs,1.4177215189873418,9.79746835443038,701.6582278481013,79,39,0.0017348529767002656,0.4936708860759494,0.4936708860759494
colt,0.14705882352941177,9.886877828054299,721.0248868778281,442,175,0.009706392603816677,0.39592760180995473,0.39592760180995473
crow,0.050359712230215826,9.863309352517986,700.0755395683453,278,108,0.006104925664843973,0.38848920863309355,0.38848920863309355
darryl,1.4177215189873418,9.856540084388186,729.8987341772151,474,234,0.010409117860201595,0.4936708860759494,0.4936708860759494
