brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.7441860465116279,9.918604651162791,696.7209302325581,86,38,0.001806532927213528,0.4418604651162791,0.4418604651162791
amber,0.8367346938775511,9.80466472303207,736.5102040816327,343,154,0.007205125512026048,0.4489795918367347,0.4489795918367347
barley,-0.2857142857142857,9.923076923076923,693.2087912087912,91,33,0.0019115639113538494,0.3626373626373626,0.3626373626373626
bea,0.8432055749128919,9.85191637630662,747.7717770034843,574,258,0.012057556979308897,0.44947735191637633,0.44947735191637633
belle,1.4545454545454546,9.811188811188812,692.4545454545455,143,71,0.0030038861464131918,0.4965034965034965,0.4965034965034965
bibi,0.33042529989094876,9.869138495092693,722.9618320610687,917,376,0.019262682491334945,0.4100327153762268,0.4100327153762268
bo,0.5179856115107914,9.93525179856115,674.4820143884892,139,59,0.002919861359100935,0.4244604316546763,0.4244604316546763
brock,-0.3870967741935484,9.89247311827957,707.2795698924731,93,33,0.001953576305009978,0.3548387096774194,0.3548387096774194
bull,1.8583959899749374,9.921052631578947,784.9411027568922,798,421,0.016762945068795294,0.5275689223057645,0.5275689223057645
buzz,2.7399247716281567,9.574959699086513,773.4895217624933,1861,1108,0.039092532297027624,0.5953788285867813,0.5953788285867813
byron,-1.1764705882352942,9.803921568627452,702.8235294117648,102,30,0.0021426320764625566,0.29411764705882354,0.29411764705882354
carl,0.7288135593220338,9.864406779661017,715.2966101694915,118,52,0.002478731225711585,0.4406779661016949,0.4406779661016949
colette,1.597581317764804,9.983736447039199,809.4591326105087,2398,1217,0.050372859993698144,0.5075062552126772,0.5075062552126772
colonel-ruffs,-0.2727272727272727,9.878787878787879,691.2272727272727,66,24,0.0013864089906522423,0.36363636363636365,0.36363636363636365
colt,-0.16221374045801526,9.938931297709924,728.5820610687023,524,195,0.011007247137905683,0.37213740458015265,0.37213740458015265
crow,-0.10273972602739725,9.849315068493151,710.6369863013699,292,110,0.0061338094737947695,0.3767123287671233,0.3767123287671233
darryl,1.045,9.845,742.245,400,186,0.008402478731225712,0.465,0.465
dynamike,0.1585932315859323,9.908427339084273,705.0046449900465,1507,598,0.031656338619892865,0.39681486396814863,0.39681486396814863
edgar,0.8355555555555556,9.72888888888889,723.7928888888889,1125,505,0.023631971431572314,0.4488888888888889,0.4488888888888889
el-primo,1.6385021097046413,9.870464135021097,805.5336497890295,9480,4841,0.19913874593004938,0.5106540084388186,0.5106540084388186
emz,1.9419317187044063,9.890866647213306,817.7931135103589,3427,1830,0.07198823652977629,0.5339947475926466,0.5339947475926466
frank,1.470499243570348,9.765506807866869,755.8029500756429,2644,1316,0.05554038441340196,0.4977307110438729,0.4977307110438729
gale,2.0781491002570696,9.923907455012854,784.7640102827763,1945,1059,0.04085705283058502,0.5444730077120823,0.5444730077120823
gene,0.2,9.8,732.5259259259259,135,54,0.0028358365717886776,0.4,0.4
