brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.13953488372093023,9.86046511627907,712.9302325581396,43,17,0.0016233153384423724,0.3953488372093023,0.3953488372093023
amber,0.061946902654867256,9.699115044247788,736.6106194690266,113,44,0.00426592170334856,0.3893805309734513,0.3893805309734513
barley,-1.9411764705882353,9.823529411764707,671.7352941176471,34,8,0.001283551662954434,0.23529411764705882,0.23529411764705882
bea,0.24727272727272728,9.81090909090909,754.2763636363636,275,111,0.01038166786213145,0.4036363636363636,0.4036363636363636
belle,0.5714285714285714,9.75,678.3928571428571,56,24,0.0021140850919249498,0.42857142857142855,0.42857142857142855
bibi,-0.16891891891891891,9.907657657657658,727.0540540540541,444,165,0.01676167465740496,0.3716216216216216,0.3716216216216216
bo,0.08695652173913043,9.942028985507246,695.304347826087,69,27,0.0026048548454075276,0.391304347826087,0.391304347826087
brock,-3.8181818181818183,9.89090909090909,726.5272727272727,55,5,0.00207633357242629,0.09090909090909091,0.09090909090909091
bull,0.02734375,9.97265625,746.8125,256,99,0.009664388991656914,0.38671875,0.38671875
buzz,3.062015503875969,9.811046511627907,836.5397286821706,1032,640,0.03895956812261694,0.6201550387596899,0.6201550387596899
byron,-1.0,9.948717948717949,744.7179487179487,39,12,0.001472309260447733,0.3076923076923077,0.3076923076923077
carl,0.8888888888888888,9.871794871794872,738.8803418803419,234,106,0.008833855562686397,0.452991452991453,0.452991452991453
colette,2.170563961485557,9.97799174690509,839.2187070151307,1454,802,0.05489070935105138,0.5515818431911967,0.5515818431911967
colonel-ruffs,1.975609756097561,9.731707317073171,738.1463414634146,41,22,0.0015478122994450527,0.5365853658536586,0.5365853658536586
colt,-1.069767441860465,9.93953488372093,703.7162790697674,215,65,0.008116576692211861,0.3023255813953488,0.3023255813953488
crow,-0.3621621621621622,9.913513513513514,747.4972972972973,185,66,0.0069840311072520665,0.3567567567567568,0.3567567567567568
darryl,1.1614583333333333,9.807291666666666,755.2708333333334,192,91,0.007248291743742686,0.4739583333333333,0.4739583333333333
dynamike,-0.40192926045016075,9.895498392282958,709.1061093247588,622,220,0.023481445128166408,0.3536977491961415,0.3536977491961415
edgar,0.2547892720306513,9.804597701149426,720.7835249042146,522,211,0.019706293178300426,0.4042145593869732,0.4042145593869732
el-primo,1.5995838850009456,9.915074711556649,856.9368261774163,5287,2684,0.19959228358941447,0.5076602988462265,0.5076602988462265
emz,2.6131820637493246,9.945975148568342,896.2925445705024,3702,2168,0.13975612518403865,0.5856293895191789,0.5856293895191789
frank,0.4641192917054986,9.804287045666356,759.3904939422181,1073,451,0.040507380422061985,0.42031686859273065,0.42031686859273065
gale,1.6401816118047674,9.951191827468785,787.0261066969352,881,450,0.0332590886783193,0.5107832009080591,0.5107832009080591
gene,-0.8064516129032258,9.96774193548387,815.1720430107526,93,30,0.0035108913133753633,0.3225806451612903,0.3225806451612903
jacky,2.414814814814815,9.940740740740742,827.6839506172839,405,231,0.015289365396957227,0.5703703703703704,0.5703703703703704
jessie,1.4021505376344086,9.960215053763442,776.5655913978495,930,458,0.03510891313375363,0.4924731182795699,0.4924731182795699
leon,-0.48502994011976047,9.928143712574851,713.5329341317365,167,58,0.0063045037562761905,0.3473053892215569,0.3473053892215569
lou,-0.32,9.93,728.37,100,36,0.003775151949865982,0.36,0.36
max,-1.3741496598639455,9.959183673469388,731.7687074829932,147,41,0.005549473366302994,0.2789115646258503,0.2789115646258503
mortis,0.2948328267477204,9.937689969604863,751.8723404255319,658,268,0.024840499830118164,0.4072948328267477,0.4072948328267477
mr-p,-1.0277777777777777,9.944444444444445,707.5555555555555,36,11,0.0013590547019517536,0.3055555555555556,0.3055555555555556
nani,-1.5333333333333334,9.933333333333334,712.8666666666667,15,4,0.0005662727924798973,0.26666666666666666,0.26666666666666666
nita,3.002305475504323,9.986743515850144,894.8403458213256,3470,2136,0.1309977726603496,0.6155619596541787,0.6155619596541787
pam,0.23880597014925373,9.940298507462687,719.6865671641791,67,27,0.002529351806410208,0.40298507462686567,0.40298507462686567
penny,-0.3870967741935484,9.946236559139784,706.6344086021505,93,33,0.0035108913133753633,0.3548387096774194,0.3548387096774194
piper,-2.5405405405405403,9.972972972972974,719.7837837837837,37,7,0.0013968062214504133,0.1891891891891892,0.1891891891891892
poco,0.4036144578313253,9.939759036144578,708.9277108433735,166,69,0.00626675223677753,0.41566265060240964,0.41566265060240964
rico,-0.20444444444444446,9.924444444444445,718.8844444444444,225,83,0.00849409188719846,0.3688888888888889,0.3688888888888889
rosa,2.711864406779661,9.847457627118644,799.8432203389831,236,140,0.008909358601683718,0.5932203389830508,0.5932203389830508
sandy,1.6077348066298343,9.96132596685083,772.4585635359116,181,92,0.006833025029257428,0.5082872928176796,0.5082872928176796
shelly,-0.9090909090909091,9.937062937062937,713.4405594405595,286,90,0.010796934576616709,0.3146853146853147,0.3146853146853147
spike,0.88268156424581,9.972067039106145,719.7932960893854,179,81,0.006757521990260108,0.45251396648044695,0.45251396648044695
sprout,-2.903225806451613,9.903225806451612,718.3548387096774,31,5,0.0011702971044584545,0.16129032258064516,0.16129032258064516
squeak,1.825,9.95,678.9125,80,42,0.0030201215598927855,0.525,0.525
stu,-0.32242990654205606,9.850467289719626,740.1542056074767,214,77,0.008078825172713201,0.3598130841121495,0.3598130841121495
surge,1.5,9.935227272727273,873.1318181818182,880,440,0.03322133715882064,0.5,0.5
tara,1.4307692307692308,9.956213017751478,817.5668639053255,845,418,0.03190003397636755,0.49467455621301776,0.49467455621301776
tick,-1.5403225806451613,9.790322580645162,714.8225806451613,124,33,0.004681188417833818,0.2661290322580645,0.2661290322580645
