brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.8,9.819230769230769,709.3,520,232,0.0016216199359460125,0.4461538461538462,0.4461538461538462
amber,0.6750348675034867,9.797768479776847,725.2852161785216,1434,626,0.004471928823358812,0.43654114365411434,0.43654114365411434
barley,-0.23115577889447236,9.909547738693467,694.6331658291457,597,219,0.0018617444264610952,0.36683417085427134,0.36683417085427134
bea,0.8448150833937635,9.86113125453227,754.6562726613488,2758,1240,0.008600822660267505,0.44960116026105873,0.44960116026105873
belle,0.9505851755526658,9.754226267880364,693.6254876462939,769,352,0.002398126405274007,0.4577373211963589,0.4577373211963589
bibi,0.7595443349753694,9.887007389162562,716.4839901477833,6496,2878,0.02025777519981788,0.4430418719211823,0.4430418719211823
bo,0.35802469135802467,9.902184235517568,695.0446343779677,1053,434,0.0032837803702906753,0.4121557454890788,0.4121557454890788
brock,-0.8541247484909457,9.865191146881287,699.9094567404427,994,317,0.0030997888775583394,0.31891348088531185,0.31891348088531185
bull,1.7334220026600797,9.89967699030971,758.2416872506175,5263,2726,0.01641266485169974,0.51795553866616,0.51795553866616
buzz,2.8431609891060003,9.65510980459969,766.4459623033027,11566,6978,0.036068569575291504,0.603320076085077,0.603320076085077
byron,-0.16165413533834586,9.847744360902256,712.0187969924812,532,198,0.0016590419344678436,0.37218045112781956,0.37218045112781956
carl,1.1194144838212634,9.85130970724191,744.7681047765793,1298,611,0.004047812840111393,0.4707241910631741,0.4707241910631741
colette,1.8295687885010268,9.970225872689939,804.482388248302,12662,6652,0.03948644544028541,0.5253514452693098,0.5253514452693098
colonel-ruffs,0.6147859922178989,9.83852140077821,708.204280155642,514,222,0.001602908936685097,0.43190661478599224,0.43190661478599224
colt,0.21493747887799933,9.921595133491044,718.7600540723217,2959,1187,0.009227641135508176,0.40114903683676917,0.40114903683676917
crow,0.0910862152946907,9.905991232342913,718.5801266439357,2053,804,0.00640228024710993,0.39162201656113005,0.39162201656113005
darryl,1.495628782784129,9.854404841963685,741.8470073974445,2974,1486,0.009274418633660464,0.4996637525218561,0.4996637525218561
dynamike,0.4131117135111999,9.931302610928805,712.695177628763,14018,5837,0.043715131273252314,0.41639320873163077,0.41639320873163077
edgar,0.892462311557789,9.727973199329984,715.151535455053,8955,4059,0.027926166396916426,0.45326633165829144,0.45326633165829144
el-primo,1.599373006118024,9.846206963222803,797.4090099297049,72409,36758,0.22580745758060541,0.5076440773936941,0.5076440773936941
emz,2.2873266808685577,9.904548342489816,844.2772358635124,26757,14999,0.0834417012040528,0.5605635908360429,0.5605635908360429
frank,1.6420727156413264,9.756157372854249,754.6986885595479,18758,9584,0.05849682068937558,0.5109286704339482,0.5109286704339482
gale,1.9990485252140817,9.9327380516724,789.164678328332,13663,7356,0.04260806381698148,0.5383883480933909,0.5383883480933909
gene,-0.5735767991407089,9.83029001074114,742.5767991407089,931,317,0.0029033233853187263,0.34049409237379163,0.34049409237379163
jacky,2.6234695500079503,9.919065034186675,784.7770710764828,6289,3688,0.019612245725316294,0.5864207346159962,0.5864207346159962
jessie,1.3268428372739915,9.89493955279769,741.1723547662351,9347,4549,0.029148618348629574,0.4866802182518455,0.4866802182518455
leon,-0.2440944881889764,9.902483343428225,708.625681405209,1651,604,0.005148643296628589,0.3658388855239249,0.3658388855239249
lou,1.608997955010225,9.895296523517382,746.5750511247444,2445,1243,0.007624732198823078,0.5083844580777096,0.5083844580777096
max,0.3897617840851495,9.864673086670045,730.569183983781,1973,818,0.00615280025696439,0.41459706031424226,0.41459706031424226
mortis,0.5200925474914759,9.935947394057477,725.2747199220653,8212,3487,0.02560912098843972,0.42462250365319043,0.42462250365319043
mr-p,-0.5856697819314641,9.909657320872274,713.8411214953271,321,109,0.0010010384604589807,0.3395638629283489,0.3395638629283489
nani,-0.78515625,9.80078125,701.3671875,256,83,0.0007983359684657292,0.32421875,0.32421875
nita,2.822987877130617,9.981405523653267,836.6144836386839,21942,13204,0.06842612429716809,0.6017682982408167,0.6017682982408167
pam,0.7555066079295154,9.874449339207048,698.3964757709251,908,402,0.0028315978881518836,0.44273127753303965,0.44273127753303965
penny,0.13066666666666665,9.897777777777778,687.5217777777777,1125,444,0.0035083123614216617,0.39466666666666667,0.39466666666666667
piper,-1.3386075949367089,9.968354430379748,711.4113924050633,316,89,0.0009854459610748845,0.28164556962025317,0.28164556962025317
poco,0.686561417019638,9.935309973045822,726.1909896033885,2597,1136,0.008098744180099605,0.43742780130920295,0.43742780130920295
rico,0.7678539143012113,9.917013198336647,737.2391972518532,5531,2454,0.017248422818687298,0.4436810703308624,0.4436810703308624
