brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.15625,9.990384615384615,847.1225961538462,416,229,0.013716697441308361,0.5504807692307693,0.5504807692307693
amber,2.6158386620757503,9.94638465322184,856.7137235612396,2033,1191,0.06703376417831707,0.5858337432365962,0.5858337432365962
barley,0.6612903225806451,9.989247311827956,760.8037634408602,372,162,0.0122658929042469,0.43548387096774194,0.43548387096774194
bea,2.6341145833333335,9.966145833333334,877.8736979166666,1536,902,0.0506462674756001,0.5872395833333334,0.5872395833333334
belle,1.3298429319371727,9.942408376963352,821.3403141361257,382,186,0.012595621208124505,0.4869109947643979,0.4869109947643979
bibi,0.3738601823708207,9.963525835866262,812.7629179331307,329,136,0.0108480611975732,0.4133738601823708,0.4133738601823708
bo,0.5195530726256983,9.927374301675977,778.6256983240223,358,152,0.011804273278818254,0.4245810055865922,0.4245810055865922
brock,-0.03636363636363636,10.0,820.4363636363636,110,42,0.0036270113426536536,0.38181818181818183,0.38181818181818183
bull,0.3333333333333333,9.756410256410257,717.4230769230769,78,32,0.002571880770245318,0.41025641025641024,0.41025641025641024
buzz,2.347826086956522,9.896321070234114,780.2675585284281,299,169,0.009858876285940385,0.5652173913043478,0.5652173913043478
byron,2.162037037037037,9.958333333333334,796.6481481481482,216,119,0.007122131363756265,0.5509259259259259,0.5509259259259259
carl,0.890625,9.921875,762.90625,64,29,0.0021102611448166712,0.453125,0.453125
colette,1.0,9.982248520710058,811.4733727810651,169,78,0.005572408335531522,0.46153846153846156,0.46153846153846156
colonel-ruffs,-0.23333333333333334,10.0,785.6166666666667,60,22,0.001978369823265629,0.36666666666666664,0.36666666666666664
colt,2.4706858407079646,9.998340707964601,882.2278761061947,1808,1039,0.05961487734107096,0.5746681415929203,0.5746681415929203
crow,3.2869147659063627,9.997599039615846,881.4945978391356,833,531,0.027466367713004484,0.6374549819927972,0.6374549819927972
darryl,0.48623853211009177,9.972477064220184,754.3119266055046,109,46,0.003594038512265893,0.42201834862385323,0.42201834862385323
dynamike,-2.188295165394402,9.872773536895675,722.2671755725191,393,85,0.012958322342389871,0.21628498727735368,0.21628498727735368
edgar,-2.5898876404494384,9.831460674157304,724.7752808988764,178,33,0.0058691638090213665,0.1853932584269663,0.1853932584269663
el-primo,-1.0294117647058822,9.819004524886878,767.3348416289592,442,135,0.014573991031390135,0.3054298642533937,0.3054298642533937
emz,1.4809384164222874,9.910557184750733,830.0205278592375,2728,1360,0.0899498812978106,0.49853372434017595,0.49853372434017595
frank,0.4716417910447761,9.713432835820896,791.5940298507463,335,141,0.011045898179899762,0.4208955223880597,0.4208955223880597
gale,-0.5146198830409356,9.953216374269006,750.2280701754386,171,59,0.005638353996307043,0.34502923976608185,0.34502923976608185
gene,-2.3737373737373737,9.929292929292929,787.4141414141415,99,20,0.0032643102083882883,0.20202020202020202,0.20202020202020202
jacky,-0.9893617021276596,9.96808510638298,737.0425531914893,94,29,0.0030994460564494858,0.30851063829787234,0.30851063829787234
