brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.9655172413793104,9.922413793103448,723.448275862069,116,36,0.003456083899416041,0.3103448275862069,0.3103448275862069
amber,1.453102453102453,9.932178932178932,821.023088023088,693,344,0.020647121916338936,0.4963924963924964,0.4963924963924964
barley,1.408450704225352,9.96338028169014,785.7718309859155,355,175,0.01057680848528185,0.49295774647887325,0.49295774647887325
bea,2.255813953488372,9.963064295485637,866.9890560875513,731,408,0.021779287331664877,0.5581395348837209,0.5581395348837209
belle,1.4133333333333333,9.96,760.1066666666667,150,74,0.00446907400786557,0.49333333333333335,0.49333333333333335
bibi,-0.20199501246882792,9.890274314214464,757.8902743142145,401,148,0.011947324514360624,0.3690773067331671,0.3690773067331671
bo,-0.43243243243243246,9.92972972972973,743.0594594594595,185,65,0.005511857943034203,0.35135135135135137,0.35135135135135137
brock,-0.8135593220338984,9.94915254237288,723.3559322033898,59,19,0.0017578357764271243,0.3220338983050847,0.3220338983050847
bull,1.0675403225806452,9.919354838709678,794.0645161290323,992,463,0.02955547610535097,0.46673387096774194,0.46673387096774194
buzz,1.784153005464481,9.819672131147541,802.3319672131148,732,382,0.021809081158383984,0.5218579234972678,0.5218579234972678
byron,-1.8255813953488371,9.767441860465116,715.7558139534884,86,21,0.0025622690978429267,0.2441860465116279,0.2441860465116279
carl,0.45161290322580644,9.924731182795698,742.9032258064516,93,39,0.0027708258848766535,0.41935483870967744,0.41935483870967744
colette,2.143298969072165,9.97319587628866,861.7567010309278,970,533,0.028900011917530687,0.5494845360824743,0.5494845360824743
colonel-ruffs,1.5,9.96551724137931,728.2931034482758,58,29,0.0017280419497080206,0.5,0.5
colt,-0.22705314009661837,9.971014492753623,756.9130434782609,207,76,0.006167322130854487,0.3671497584541063,0.3671497584541063
crow,-0.7783505154639175,9.938144329896907,746.1288659793814,194,63,0.005780002383506138,0.3247422680412371,0.3247422680412371
darryl,0.8367346938775511,9.869387755102041,746.6489795918367,245,110,0.007299487546180431,0.4489795918367347,0.4489795918367347
dynamike,-0.051001821493624776,9.92896174863388,772.7322404371585,549,209,0.016356810868787985,0.3806921675774135,0.3806921675774135
edgar,-1.0500834724540902,9.8330550918197,712.5926544240401,599,182,0.017846502204743177,0.3038397328881469,0.3038397328881469
el-primo,2.2082496805986493,9.922431100565797,855.412301514875,5479,3038,0.16324037659396973,0.5544807446614346,0.5544807446614346
emz,1.9703071672354948,9.933447098976108,851.716723549488,2930,1571,0.08729591228697414,0.5361774744027303,0.5361774744027303
frank,0.5890736342042755,9.805225653206652,757.0546318289786,421,181,0.012543201048742701,0.42992874109263657,0.42992874109263657
gale,1.8745198463508324,9.966709346991037,810.9090909090909,781,413,0.02326897866762007,0.528809218950064,0.528809218950064
gene,-0.4172661870503597,9.964028776978417,755.3669064748201,139,49,0.0041413419139554285,0.35251798561151076,0.35251798561151076
jacky,1.3047703180212014,9.93286219081272,794.0865724381625,1132,549,0.0337266118460255,0.48498233215547704,0.48498233215547704
jessie,0.21820303383897316,9.921820303383898,788.5297549591598,857,344,0.02553330949827196,0.4014002333722287,0.4014002333722287
leon,-0.42105263157894735,9.813765182186234,751.8421052631579,247,87,0.007359075199618639,0.3522267206477733,0.3522267206477733
lou,3.4207708779443253,9.95610278372591,854.0653104925053,934,605,0.02782743415564295,0.6477516059957173,0.6477516059957173
max,-0.6666666666666666,9.863636363636363,741.6818181818181,66,22,0.001966392563460851,0.3333333333333333,0.3333333333333333
mortis,-1.75,9.979591836734693,728.5765306122449,196,49,0.0058395900369443456,0.25,0.25
mr-p,0.2845528455284553,9.975609756097562,742.30081300813,123,50,0.0036646406864497675,0.4065040650406504,0.4065040650406504
nani,-0.6666666666666666,9.88888888888889,715.6444444444444,45,15,0.001340722202359671,0.3333333333333333,0.3333333333333333
nita,1.3575697211155378,9.97609561752988,804.1623505976096,1004,491,0.029913002025980216,0.48904382470119523,0.48904382470119523
pam,1.7455268389662029,9.962226640159045,746.4333996023856,503,261,0.014986294839709213,0.5188866799204771,0.5188866799204771
penny,-1.5477178423236515,9.95850622406639,710.5767634854772,241,64,0.007180312239304016,0.26556016597510373,0.26556016597510373
piper,-1.3333333333333333,10.0,715.8974358974359,39,11,0.0011619592420450482,0.28205128205128205,0.28205128205128205
poco,-1.1810089020771513,9.928783382789318,719.0652818991098,337,99,0.010040519604337982,0.29376854599406527,0.29376854599406527
rico,0.8558558558558559,9.972972972972974,760.572072072072,222,100,0.006614229531641044,0.45045045045045046,0.45045045045045046
rosa,0.854122621564482,9.866807610993657,790.739957716702,473,213,0.014092480038136098,0.4503171247357294,0.4503171247357294
sandy,-0.5921375921375921,9.968058968058967,764.3857493857494,407,138,0.012126087474675248,0.33906633906633904,0.33906633906633904
shelly,2.5553402239448753,9.987941429801895,848.5342377260982,4644,2699,0.13836253128351805,0.5811800172265289,0.5811800172265289
spike,-0.45724907063197023,9.914498141263941,724.3271375464684,269,94,0.008014539387438922,0.34944237918215615,0.34944237918215615
sprout,-1.690909090909091,9.89090909090909,705.2363636363636,55,14,0.0016386604695507092,0.2545454545454545,0.2545454545454545
squeak,0.1796875,9.9609375,705.046875,128,51,0.003813609820045287,0.3984375,0.3984375
stu,2.756590509666081,9.967486818980667,891.8137082601055,1138,679,0.03390537480634013,0.5966608084358523,0.5966608084358523
surge,-0.21561338289962825,9.87732342007435,764.7081784386617,538,198,0.016029078774877845,0.3680297397769517,0.3680297397769517
tara,2.4069137859225322,9.97792586422324,868.8417326114119,2401,1368,0.07153497795256823,0.5697625989171179,0.5697625989171179
tick,-1.9775,9.835,716.105,400,93,0.011917530687641521,0.2325,0.2325
