brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-2.274193548387097,9.935483870967742,727.2903225806451,62,13,0.0025877540798864727,0.20967741935483872,0.20967741935483872
amber,1.6636690647482015,9.967625899280575,842.0089928057554,556,285,0.0232063107809174,0.512589928057554,0.512589928057554
barley,2.040059347181009,9.973293768545995,837.959940652819,674,365,0.028131391126507786,0.5415430267062314,0.5415430267062314
bea,-1.5935828877005347,9.946524064171124,773.3155080213904,187,49,0.007805000208689845,0.2620320855614973,0.2620320855614973
belle,3.5544041450777204,9.94818652849741,829.6943005181347,193,127,0.008055428022872407,0.6580310880829016,0.6580310880829016
bibi,-0.09386973180076628,9.96360153256705,777.5249042145593,522,197,0.021787219833882883,0.3773946360153257,0.3773946360153257
bo,-0.16279069767441862,9.914728682170542,768.2480620155038,129,48,0.00538419800492508,0.37209302325581395,0.37209302325581395
brock,-3.175438596491228,9.87719298245614,696.3508771929825,57,8,0.0023790642347343376,0.14035087719298245,0.14035087719298245
bull,-0.310126582278481,9.759493670886076,762.9493670886076,158,57,0.006594599106807463,0.36075949367088606,0.36075949367088606
buzz,3.3390243902439023,9.901219512195121,850.4512195121952,820,526,0.03422513460495012,0.6414634146341464,0.6414634146341464
byron,1.3571428571428572,9.917582417582418,754.1648351648352,182,89,0.007596310363537711,0.489010989010989,0.489010989010989
carl,1.6701570680628273,9.942408376963352,832.1465968586388,191,98,0.007971952084811553,0.5130890052356021,0.5130890052356021
colette,1.985981308411215,9.97196261682243,796.6214953271028,214,115,0.008931925372511374,0.5373831775700935,0.5373831775700935
colonel-ruffs,2.094395280235988,9.992625368731563,848.5265486725664,678,370,0.02829834300262949,0.5457227138643068,0.5457227138643068
colt,-2.519083969465649,9.870229007633588,736.0458015267176,131,25,0.005467673942985934,0.19083969465648856,0.19083969465648856
crow,-1.3312883435582823,9.920245398773005,741.4539877300614,163,46,0.006803288951959597,0.2822085889570552,0.2822085889570552
darryl,-2.4776119402985075,9.91044776119403,732.2686567164179,67,13,0.002796443925038608,0.19402985074626866,0.19402985074626866
dynamike,-2.429657794676806,9.912547528517111,731.2813688212927,263,52,0.010977085855002296,0.19771863117870722,0.19771863117870722
edgar,-1.6556016597510372,9.771784232365146,723.344398340249,241,62,0.010058850536332903,0.2572614107883817,0.2572614107883817
el-primo,-0.4566813509544787,9.85022026431718,809.9456681350955,681,238,0.028423556909720774,0.34948604992657856,0.34948604992657856
emz,0.8462643678160919,9.908764367816092,818.8354885057471,1392,626,0.05809925289035436,0.44971264367816094,0.44971264367816094
frank,-0.5397489539748954,9.794979079497908,778.63179916318,239,82,0.009975374598272049,0.34309623430962344,0.34309623430962344
gale,2.7780281690140844,9.987042253521127,860.5154929577465,1775,1062,0.07408489502900789,0.5983098591549296,0.5983098591549296
gene,1.5961945031712474,9.97463002114165,859.0253699788584,473,240,0.01974205935139196,0.507399577167019,0.507399577167019
jacky,-0.057034220532319393,9.954372623574145,765.4030418250951,263,100,0.010977085855002296,0.38022813688212925,0.38022813688212925
jessie,2.4965469613259668,9.971339779005525,871.0842541436464,2896,1670,0.12087315831211654,0.5766574585635359,0.5766574585635359
leon,-1.150214592274678,9.965665236051501,744.0042918454935,233,69,0.009724946784089486,0.296137339055794,0.296137339055794
lou,0.3575757575757576,9.945454545454545,780.1636363636363,165,68,0.0068867648900204515,0.4121212121212121,0.4121212121212121
max,1.1505376344086022,9.956989247311828,846.8924731182796,186,88,0.007763262239659418,0.4731182795698925,0.4731182795698925
mortis,1.084033613445378,9.98836457659987,808.639301874596,1547,724,0.06456863809007053,0.4680025856496445,0.4680025856496445
mr-p,0.8220858895705522,10.0,797.036809815951,163,73,0.006803288951959597,0.44785276073619634,0.44785276073619634
nani,-2.4,9.96,755.56,25,5,0.0010434492257606746,0.2,0.2
nita,2.971514242878561,9.992128935532234,861.746251874063,2668,1636,0.11135690137317918,0.6131934032983508,0.6131934032983508
pam,0.6260504201680672,9.945378151260504,753.6806722689075,238,103,0.009933636629241622,0.4327731092436975,0.4327731092436975
penny,0.2631578947368421,9.97165991902834,768.2672064777328,247,100,0.010309278350515464,0.4048582995951417,0.4048582995951417
piper,-2.189189189189189,9.972972972972974,718.7567567567568,37,8,0.0015443048541257983,0.21621621621621623,0.21621621621621623
poco,-0.08108108108108109,9.945945945945946,762.0926640926641,259,98,0.010810133978880587,0.3783783783783784,0.3783783783783784
rico,-1.25,9.993589743589743,738.8205128205128,156,45,0.0065111231687466084,0.28846153846153844,0.28846153846153844
rosa,1.164319248826291,9.845070422535212,784.7136150234742,213,101,0.008890187403480947,0.47417840375586856,0.47417840375586856
sandy,1.923913043478261,9.986024844720497,806.9534161490683,644,343,0.026879252055594976,0.532608695652174,0.532608695652174
shelly,-1.5632183908045978,9.942528735632184,744.2183908045977,87,23,0.0036312033056471473,0.26436781609195403,0.26436781609195403
spike,0.16556291390728478,9.894039735099337,755.0397350993378,151,60,0.006302433323594474,0.3973509933774834,0.3973509933774834
sprout,-2.585714285714286,9.9,751.4285714285714,70,13,0.0029216578321298887,0.18571428571428572,0.18571428571428572
squeak,3.1507936507936507,9.992063492063492,794.9047619047619,126,79,0.0052589840978338,0.626984126984127,0.626984126984127
stu,3.269095697980685,9.981562774363477,880.8217734855136,2278,1449,0.09507909345131266,0.6360842844600527,0.6360842844600527
surge,-0.8414985590778098,9.864553314121038,764.4783861671469,347,111,0.014483075253558162,0.31988472622478387,0.31988472622478387
tara,1.2227488151658767,9.979462875197472,835.6887835703002,633,303,0.02642013439626028,0.4786729857819905,0.4786729857819905
tick,-2.5770609318996414,9.75268817204301,723.336917562724,279,52,0.011644893359489128,0.1863799283154122,0.1863799283154122
