brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.45365853658536587,9.960975609756098,782.9268292682926,205,86,0.007829208677054689,0.4195121951219512,0.4195121951219512
amber,2.544917257683215,9.952127659574469,860.0520094562647,1692,982,0.06461961503208066,0.5803782505910166,0.5803782505910166
barley,1.5,10.0,764.9705882352941,102,51,0.003895508707607699,0.5,0.5
bea,2.7667731629392973,9.984025559105431,867.8445154419595,939,561,0.03586159486709441,0.597444089456869,0.597444089456869
belle,3.111024237685692,9.953088350273651,852.5324472243941,1279,798,0.04884662389245341,0.6239249413604379,0.6239249413604379
bibi,-1.4714285714285715,9.914285714285715,730.9285714285714,70,19,0.002673388328750382,0.2714285714285714,0.2714285714285714
bo,-1.425,9.95,723.3178571428572,280,77,0.010693553315001528,0.275,0.275
brock,-1.4285714285714286,9.945054945054945,733.6593406593406,91,25,0.0034754048273754963,0.27472527472527475,0.27472527472527475
bull,-1.9047619047619047,9.928571428571429,742.9285714285714,42,10,0.0016040329972502293,0.23809523809523808,0.23809523809523808
buzz,2.693877551020408,9.820408163265306,798.5877551020408,245,145,0.009356859150626336,0.5918367346938775,0.5918367346938775
byron,0.058365758754863814,9.980544747081712,816.3774319066148,257,100,0.00981515429269783,0.38910505836575876,0.38910505836575876
carl,1.1231884057971016,9.985507246376812,843.5869565217391,138,65,0.005270394133822181,0.47101449275362317,0.47101449275362317
colette,-1.5486725663716814,9.991150442477876,745.2389380530974,113,30,0.0043156125878399025,0.26548672566371684,0.26548672566371684
colonel-ruffs,0.9468085106382979,10.0,824.3297872340426,94,43,0.00358997861289337,0.4574468085106383,0.4574468085106383
colt,-1.8693877551020408,10.0,746.5673469387755,245,59,0.009356859150626336,0.24081632653061225,0.24081632653061225
crow,2.396551724137931,9.983990147783251,835.0160098522167,812,462,0.03101130461350443,0.5689655172413793,0.5689655172413793
darryl,-2.92,9.8,708.44,25,4,0.0009547815459822793,0.16,0.16
dynamike,-1.2421875,9.90625,730.953125,128,37,0.00488848151542927,0.2890625,0.2890625
edgar,-0.7377049180327869,9.87704918032787,725.8360655737705,122,40,0.0046593339443935225,0.32786885245901637,0.32786885245901637
el-primo,-2.0454545454545454,9.676136363636363,744.2159090909091,176,40,0.006721662083715246,0.22727272727272727,0.22727272727272727
emz,1.3745343718252625,9.920419911953946,835.3416864205892,2953,1448,0.11277879621142682,0.4903487978327125,0.4903487978327125
frank,-0.29310344827586204,9.862068965517242,712.8879310344828,116,42,0.004430186373357776,0.3620689655172414,0.3620689655172414
gale,1.342741935483871,9.963709677419354,778.491935483871,248,121,0.009471432936144211,0.4879032258064516,0.4879032258064516
gene,-0.10752688172043011,9.913978494623656,791.1720430107526,186,70,0.007103574702108158,0.3763440860215054,0.3763440860215054
jacky,-0.35714285714285715,10.0,719.1428571428571,14,5,0.0005346776657500764,0.35714285714285715,0.35714285714285715
jessie,-0.33084947839046197,9.895678092399404,750.0998509687034,671,241,0.025626336694164375,0.3591654247391952,0.3591654247391952
leon,-1.4421052631578948,9.926315789473684,741.7473684210527,95,26,0.003628169874732661,0.2736842105263158,0.2736842105263158
lou,2.7106690777576854,9.971325238956341,850.4784293464221,3871,2296,0.14783837457989613,0.593128390596745,0.593128390596745
max,0.7261904761904762,9.916666666666666,807.7619047619048,84,37,0.0032080659945004585,0.44047619047619047,0.44047619047619047
mortis,-1.4033333333333333,10.0,750.5,300,83,0.011457378551787351,0.27666666666666667,0.27666666666666667
mr-p,-0.9375,10.0,736.0625,48,15,0.0018331805682859762,0.3125,0.3125
nani,-1.75,9.839285714285714,777.9285714285714,56,14,0.0021387106630003055,0.25,0.25
nita,0.12408759124087591,9.934306569343066,742.4817518248175,137,54,0.0052322028719828904,0.39416058394160586,0.39416058394160586
pam,2.7474747474747474,9.971139971139971,828.7027417027417,693,413,0.02646654445462878,0.5959595959595959,0.5959595959595959
penny,0.709849157054126,9.985803016858917,785.9591836734694,1127,495,0.04304155209288115,0.4392191659272405,0.4392191659272405
piper,0.11552346570397112,9.96028880866426,773.4873646209386,277,109,0.010578979529483654,0.3935018050541516,0.3935018050541516
poco,1.0360631104432758,9.968444778362134,785.4515401953419,1331,618,0.050832569508096545,0.46431254695717505,0.46431254695717505
rico,2.257102272727273,9.982954545454545,862.03125,704,393,0.026886648334860985,0.5582386363636364,0.5582386363636364
rosa,-2.111111111111111,9.873015873015873,730.9206349206349,126,28,0.0048120989917506875,0.2222222222222222,0.2222222222222222
sandy,2.4340379983944342,9.990634198554991,860.2172865935242,3737,2137,0.1427207454934311,0.5718490767995719,0.5718490767995719
shelly,0.15517241379310345,10.0,815.1379310344828,58,23,0.002215093186678888,0.39655172413793105,0.39655172413793105
spike,-0.2360248447204969,9.900621118012422,742.6211180124224,161,59,0.006148793156125878,0.36645962732919257,0.36645962732919257
sprout,-0.06329113924050633,9.974683544303797,786.5949367088608,158,60,0.006034219370608005,0.379746835443038,0.379746835443038
squeak,1.568421052631579,9.863157894736842,801.2473684210527,190,96,0.007256339749465322,0.5052631578947369,0.5052631578947369
stu,1.2852852852852852,9.96996996996997,835.7057057057057,333,161,0.01271769019248396,0.48348348348348347,0.48348348348348347
surge,1.251908396946565,9.950381679389313,838.9274809160305,262,126,0.010006110601894286,0.48091603053435117,0.48091603053435117
tara,0.5461956521739131,9.932065217391305,810.2309782608696,368,157,0.014054384356859151,0.4266304347826087,0.4266304347826087
tick,-1.107878787878788,9.80969696969697,744.6739393939393,825,247,0.031507791017415215,0.2993939393939394,0.2993939393939394
