brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.1092896174863387,9.868852459016393,759.7978142076503,183,86,0.005254091300602929,0.46994535519125685,0.46994535519125685
amber,1.9124365482233503,9.89276649746193,847.3102791878173,1576,838,0.04524834912431812,0.5317258883248731,0.5317258883248731
barley,3.3086003372681283,9.947723440134908,861.4198988195616,593,379,0.017025552684467413,0.6391231028667791,0.6391231028667791
bea,2.7648384673178064,9.976208364638117,877.221637866266,3993,2385,0.11464254952627045,0.5972952667167544,0.5972952667167544
belle,-1.348936170212766,9.825531914893617,776.8212765957447,235,66,0.0067470571346540335,0.28085106382978725,0.28085106382978725
bibi,0.6365914786967418,9.964912280701755,813.8245614035088,399,173,0.011455641688199828,0.43358395989974935,0.43358395989974935
bo,-0.37656903765690375,9.92887029288703,751.2259414225941,239,85,0.0068619006603502725,0.35564853556485354,0.35564853556485354
brock,2.0416666666666665,9.96474358974359,877.1121794871794,312,169,0.008957795004306632,0.5416666666666666,0.5416666666666666
bull,0.3303834808259587,9.96165191740413,779.5103244837758,339,139,0.009732988802756245,0.41002949852507375,0.41002949852507375
buzz,1.9200680272108843,9.84013605442177,781.8367346938776,588,313,0.016881998277347116,0.532312925170068,0.532312925170068
byron,1.3088235294117647,9.882352941176471,794.4889705882352,272,132,0.007809359747344244,0.4852941176470588,0.4852941176470588
carl,0.17412935323383086,9.970149253731343,787.1492537313433,201,80,0.005770887166236004,0.39800995024875624,0.39800995024875624
colette,2.303370786516854,9.968789013732835,849.8714107365793,801,450,0.022997416020671835,0.5617977528089888,0.5617977528089888
colonel-ruffs,-0.02127659574468085,9.936170212765957,754.0070921985815,141,54,0.00404823428079242,0.3829787234042553,0.3829787234042553
colt,-1.1464285714285714,9.975,746.7035714285714,280,83,0.008039046798736722,0.29642857142857143,0.29642857142857143
crow,2.407170294494238,9.969270166453265,859.4058898847632,781,445,0.02242319839219064,0.5697823303457106,0.5697823303457106
darryl,-0.40404040404040403,9.878787878787879,738.8080808080808,99,35,0.002842377260981912,0.35353535353535354,0.35353535353535354
dynamike,-0.4662813102119461,9.89402697495183,730.6782273603083,519,181,0.014900947459086994,0.348747591522158,0.348747591522158
edgar,-1.1565217391304348,9.784782608695652,724.9673913043479,460,136,0.01320700545506747,0.2956521739130435,0.2956521739130435
el-primo,-0.5626304801670147,9.830897703549061,792.7609603340293,958,327,0.02750502440424921,0.34133611691022964,0.34133611691022964
emz,1.4243472790185594,9.907518087448883,850.6593268323372,3179,1571,0.09127189204708584,0.49418055992450455,0.49418055992450455
frank,1.9228020014295926,9.949964260185848,835.8920657612581,1399,745,0.040166523112259545,0.5325232308791994,0.5325232308791994
gale,1.4252873563218391,9.978056426332289,827.1954022988506,957,473,0.02747631352282515,0.4942528735632184,0.4942528735632184
gene,-1.0338983050847457,9.824858757062147,769.2881355932203,177,54,0.0050818260120585705,0.3050847457627119,0.3050847457627119
jacky,2.0554272517321017,9.963048498845266,830.4872979214781,433,235,0.012431811656617858,0.5427251732101617,0.5427251732101617
jessie,-0.18036072144288579,9.935871743486974,781.6102204408818,998,370,0.0286534596612116,0.37074148296593185,0.37074148296593185
leon,-0.21798365122615804,9.950953678474114,800.6130790190736,367,135,0.010536893482629917,0.3678474114441417,0.3678474114441417
lou,1.962085308056872,9.915876777251185,831.5035545023696,844,452,0.024231983921906404,0.5355450236966824,0.5355450236966824
max,-1.2444444444444445,9.866666666666667,793.7481481481482,135,39,0.003875968992248062,0.28888888888888886,0.28888888888888886
mortis,-1.2857142857142858,10.0,745.4563492063492,252,72,0.007235142118863049,0.2857142857142857,0.2857142857142857
mr-p,2.138181818181818,9.992727272727272,815.2836363636363,275,151,0.007895492391616422,0.5490909090909091,0.5490909090909091
nani,-1.1951219512195121,9.78048780487805,713.0731707317074,41,12,0.0011771461383864484,0.2926829268292683,0.2926829268292683
nita,2.942353250855488,9.983416688602263,870.9528823374573,3799,2321,0.10907263853000287,0.6109502500658068,0.6109502500658068
pam,2.656353591160221,9.976795580110497,836.167955801105,905,533,0.025983347688774045,0.5889502762430939,0.5889502762430939
penny,-1.3285302593659942,9.97406340057637,728.9654178674351,347,98,0.009962675854148723,0.2824207492795389,0.2824207492795389
piper,3.0880121396054627,9.98937784522003,867.2564491654022,659,410,0.018920470858455354,0.622154779969651,0.622154779969651
poco,-0.6666666666666666,9.90249433106576,737.9251700680272,441,147,0.012661498708010336,0.3333333333333333,0.3333333333333333
rico,-0.4861111111111111,9.902777777777779,729.8333333333334,144,50,0.004134366925064599,0.3472222222222222,0.3472222222222222
rosa,0.7777777777777778,9.884444444444444,800.4266666666666,450,200,0.012919896640826873,0.4444444444444444,0.4444444444444444
sandy,1.9621421975992612,9.97876269621422,855.1477377654663,1083,580,0.031093884582256676,0.5355493998153278,0.5355493998153278
shelly,-0.9432624113475178,9.808510638297872,728.7304964539007,141,44,0.00404823428079242,0.3120567375886525,0.3120567375886525
spike,0.2,9.95609756097561,782.9,410,164,0.011771461383864484,0.4,0.4
sprout,1.7423728813559323,9.989830508474576,827.0949152542373,295,153,0.008469710020097616,0.5186440677966102,0.5186440677966102
squeak,2.8870292887029287,9.96234309623431,744.6861924686192,239,145,0.0068619006603502725,0.606694560669456,0.606694560669456
stu,1.8014112903225807,9.974798387096774,877.164314516129,992,519,0.028481194372667242,0.5231854838709677,0.5231854838709677
