brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.7814569536423841,9.933774834437086,735.841059602649,151,49,0.00560255268625705,0.32450331125827814,0.32450331125827814
amber,3.019437340153453,9.949872122762148,879.523273657289,1955,1206,0.07253636093796378,0.6168797953964195,0.6168797953964195
barley,-2.367088607594937,9.917721518987342,723.1835443037975,158,32,0.0058622736717126745,0.20253164556962025,0.20253164556962025
bea,3.1596541786743515,9.904322766570605,869.1204610951008,1735,1089,0.06437370139507272,0.6276657060518732,0.6276657060518732
belle,1.588235294117647,9.90950226244344,777.0090497737557,221,112,0.008199762540813298,0.5067873303167421,0.5067873303167421
bibi,-0.4370860927152318,9.947019867549669,745.933774834437,302,106,0.0112051053725141,0.3509933774834437,0.3509933774834437
bo,-1.7865168539325842,9.92134831460674,708.6011235955057,178,44,0.0066043336301573165,0.24719101123595505,0.24719101123595505
brock,-1.5,9.961538461538462,715.1666666666666,78,21,0.002894033837934105,0.2692307692307692,0.2692307692307692
bull,-1.3888888888888888,9.88888888888889,762.5069444444445,144,40,0.005342831700801425,0.2777777777777778,0.2777777777777778
buzz,1.7532467532467533,9.866883116883116,785.3149350649351,308,160,0.011427723360047493,0.5194805194805194,0.5194805194805194
byron,-0.8860759493670886,9.917721518987342,718.0443037974684,158,50,0.0058622736717126745,0.31645569620253167,0.31645569620253167
carl,-0.8020833333333334,9.916666666666666,750.0625,96,31,0.003561887800534283,0.3229166666666667,0.3229166666666667
colette,2.4285714285714284,9.932234432234432,819.3992673992674,546,312,0.020258236865538737,0.5714285714285714,0.5714285714285714
colonel-ruffs,0.9672131147540983,9.96174863387978,831.9781420765028,183,84,0.006789848619768477,0.45901639344262296,0.45901639344262296
colt,-1.3676470588235294,9.906862745098039,734.5882352941177,204,57,0.007569011576135352,0.27941176470588236,0.27941176470588236
crow,0.2,9.96338028169014,773.6732394366197,355,142,0.013171564262392401,0.4,0.4
darryl,-1.2704918032786885,9.950819672131148,739.7786885245902,122,35,0.004526565746512318,0.28688524590163933,0.28688524590163933
dynamike,-1.3690773067331672,9.880299251870325,725.6159600997506,401,112,0.014878302166815079,0.2793017456359102,0.2793017456359102
edgar,-1.8726415094339623,9.721698113207546,703.688679245283,212,51,0.007865835559513208,0.24056603773584906,0.24056603773584906
el-primo,-1.194078947368421,9.851973684210526,772.4769736842105,608,178,0.022558622736717125,0.29276315789473684,0.29276315789473684
emz,2.373185537081024,9.92187912377936,860.0343098442861,3789,2149,0.1405832591273375,0.5671681182370019,0.5671681182370019
frank,2.1770833333333335,9.881944444444445,822.953125,576,318,0.0213713268032057,0.5520833333333334,0.5520833333333334
gale,3.280672268907563,9.97563025210084,865.1563025210085,1190,758,0.04415256752745622,0.6369747899159663,0.6369747899159663
gene,-1.1654676258992807,9.877697841726619,754.294964028777,139,41,0.005157316711190264,0.2949640287769784,0.2949640287769784
jacky,2.7037037037037037,9.993055555555555,866.2175925925926,432,256,0.016028495102404273,0.5925925925925926,0.5925925925925926
jessie,2.007865757734662,9.93602517042475,837.3922391190351,1907,1028,0.07075541703769665,0.5390665967488202,0.5390665967488202
leon,-1.4545454545454546,9.7987012987013,705.4480519480519,154,42,0.005713861680023746,0.2727272727272727,0.2727272727272727
lou,2.675,9.952884615384615,849.4,1040,614,0.0385871178391214,0.5903846153846154,0.5903846153846154
