brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.7915808065940535,9.96173093906388,842.1733882837798,3397,2036,0.012002261244391054,0.5993523697380041,0.5993523697380041
amber,0.062095730918499355,9.780077619663649,752.8861578266494,773,301,0.002731159241069851,0.38939197930142305,0.38939197930142305
barley,0.8561320754716981,9.915880503144654,746.561320754717,1272,573,0.0044942232272197295,0.45047169811320753,0.45047169811320753
bea,0.17580677093644823,9.797465848346862,758.5826568996239,5051,2011,0.01784616471752111,0.3981389823797268,0.3981389823797268
belle,1.5033398417428836,9.830027746377556,796.0927962182715,9731,4868,0.03438151432710313,0.5002569109032987,0.5002569109032987
bibi,0.5305305305305306,9.897897897897899,752.6516516516516,999,425,0.003529661166660778,0.42542542542542544,0.42542542542542544
bo,2.484810492815122,9.96229144565532,838.5852059022085,10369,5970,0.03663569232943504,0.575754653293471,0.575754653293471
brock,1.9736630393360715,9.942880128720837,817.867680060973,23617,12669,0.08344345122425184,0.536435618410467,0.536435618410467
bull,1.349097162510748,9.889079965606191,806.3809114359416,1163,568,0.0041091050418683535,0.4883920894239037,0.4883920894239037
buzz,2.0190114068441063,9.62382762991128,751.1406844106464,3945,2130,0.013938451754231,0.5399239543726235,0.5399239543726235
byron,1.1431764212878894,9.817711970945663,770.5369465009079,7159,3383,0.025294138430555065,0.47255203240676075,0.47255203240676075
carl,1.6046137339055795,9.915772532188841,784.7634120171674,1864,947,0.006585874288944635,0.5080472103004292,0.5080472103004292
colette,0.5296208530805687,9.828199052132701,756.2914691943128,844,359,0.002982016040702399,0.4253554502369668,0.4253554502369668
colonel-ruffs,2.7343013388647934,9.951536865924949,835.3448991137092,5303,3155,0.018736529696498604,0.5949462568357533,0.5949462568357533
colt,0.7355734112490869,9.966642317993669,785.6141952763575,8214,3624,0.029021658481433062,0.4411979547114682,0.4411979547114682
crow,0.1188118811881188,9.894897182025895,737.2038588474232,3939,1551,0.013917252588064869,0.39375476009139376,0.39375476009139376
darryl,1.0890471950133571,9.796972395369545,763.8379341050756,1123,526,0.003967777267427481,0.4683882457702582,0.4683882457702582
dynamike,0.4663780663780664,9.798989898989898,734.1363636363636,6930,2914,0.024485036921881073,0.42049062049062047,0.42049062049062047
edgar,0.8523676880222841,9.793121919862866,761.5276408827941,9334,4202,0.03297883616577748,0.450182129847868,0.450182129847868
el-primo,0.803274494755692,9.807367613200308,812.3550780250704,3909,1745,0.013811256757234215,0.4464057303658225,0.4464057303658225
emz,-0.2824302134646962,9.632183908045977,731.3899835796387,1218,442,0.004303430731724552,0.36288998357963875,0.36288998357963875
frank,1.5687426556991775,9.848413631022327,826.2150411280846,851,430,0.003006748401229552,0.5052878965922444,0.5052878965922444
gale,0.5802861685214626,9.860095389507155,725.1939586645469,629,270,0.002222379253082712,0.4292527821939587,0.4292527821939587
gene,1.9750097400790338,9.898981466021038,848.227862191796,17967,9640,0.06348090308447868,0.5365392107753103,0.5365392107753103
jacky,2.2285714285714286,9.930769230769231,813.276923076923,910,506,0.003215206868529838,0.5560439560439561,0.5560439560439561
jessie,0.24313115603939867,9.749611197511664,731.7967858994298,1929,778,0.006815531922411052,0.4033177812337999,0.4033177812337999
leon,2.078895592864638,9.945501049317944,833.6009312696747,15248,8303,0.0538741476168604,0.5445304302203567,0.5445304302203567
lou,1.0119453924914676,9.7679180887372,745.0904436860068,586,271,0.0020704518955587748,0.46245733788395904,0.46245733788395904
max,0.1924198250728863,9.891399416909621,793.6960641399417,1372,548,0.004847542663321909,0.39941690962099125,0.39941690962099125
mortis,0.7930857084062146,9.982920053503447,765.0442432349007,9719,4331,0.03433911599477087,0.44562197756970884,0.44562197756970884
mr-p,2.104761904761905,9.982417582417582,826.4487912087912,6825,3730,0.024114051513973785,0.5465201465201465,0.5465201465201465
nani,2.1790060851926976,9.922312373225152,833.3116125760649,19720,10890,0.06967459279934989,0.5522312373225152,0.5522312373225152
nita,-0.09911504424778761,9.88141592920354,713.6725663716815,565,213,0.001996254813977317,0.3769911504424779,0.3769911504424779
pam,0.7091254752851711,9.838403041825096,731.4296577946768,526,231,0.0018584602338974666,0.4391634980988593,0.4391634980988593
penny,1.5450346420323327,9.932101616628175,763.3736720554273,2165,1090,0.007649365791612197,0.5034642032332564,0.5034642032332564
piper,1.4131645569620253,9.923972736124634,800.5022005842259,25675,12666,0.09071476521923472,0.4933203505355404,0.4933203505355404
poco,2.233904885150437,9.96700097055969,816.6075703655774,3091,1720,0.010921103769918384,0.556454221934649,0.556454221934649
rico,1.9185210254674676,9.951857179118369,824.069802859802,11819,6290,0.04175882415291665,0.5321939250359591,0.5321939250359591
rosa,1.86,9.898461538461538,830.5107692307693,1300,686,0.00459315266932834,0.5276923076923077,0.5276923076923077
sandy,0.9044834307992202,9.885640025990902,748.5295646523716,1539,699,0.00543758612161255,0.45419103313840153,0.45419103313840153
shelly,-0.2670509125840538,9.864553314121038,744.9654178674351,1041,379,0.0036780553298236935,0.36407300672430354,0.36407300672430354
spike,0.2962962962962963,9.906291834002678,744.367692994199,2241,913,0.007917888563049853,0.4074074074074074,0.4074074074074074
sprout,2.390103567318757,9.929190640583046,823.3690832374376,13035,7410,0.046055188495919164,0.5684695051783659,0.5684695051783659
squeak,2.8137157929442798,9.829212001318826,756.4995054401583,3033,1823,0.010716178496979119,0.6010550609957138,0.6010550609957138
stu,0.35423728813559324,9.82415254237288,768.4245762711864,2360,972,0.008338338692011447,0.411864406779661,0.411864406779661
