brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.47368421052631576,9.596491228070175,734.4912280701755,57,24,0.0015322992553563268,0.42105263157894735,0.42105263157894735
amber,-1.2542372881355932,9.728813559322035,740.4915254237288,59,17,0.0015860641415091803,0.288135593220339,0.288135593220339
barley,0.18972332015810275,9.897233201581027,750.1067193675889,253,101,0.006801258098335977,0.39920948616600793,0.39920948616600793
bea,0.13851351351351351,9.77364864864865,762.222972972973,592,234,0.015914406301244657,0.3952702702702703,0.3952702702702703
belle,1.7682038834951457,9.837378640776699,806.3179611650486,1648,858,0.044302266189951346,0.5206310679611651,0.5206310679611651
bibi,0.12121212121212122,9.929292929292929,743.1616161616162,99,39,0.0026613618645662516,0.3939393939393939,0.3939393939393939
bo,0.6351931330472103,9.909871244635193,758.9270386266095,233,101,0.006263609236807441,0.4334763948497854,0.4334763948497854
brock,2.257828114590273,9.960248723073507,832.7572729291584,4503,2514,0.12105164117314982,0.558294470353098,0.558294470353098
bull,-1.9767441860465116,9.790697674418604,741.5813953488372,43,10,0.0011559450522863517,0.23255813953488372,0.23255813953488372
buzz,1.8141263940520447,9.691449814126393,752.2416356877324,538,282,0.01446275437511761,0.5241635687732342,0.5241635687732342
byron,1.1334250343878955,9.79092159559835,771.6286107290234,727,343,0.019543536116562274,0.4718019257221458,0.4718019257221458
carl,0.8235294117647058,9.882352941176471,780.2081447963801,221,99,0.00594101991989032,0.4479638009049774,0.4479638009049774
colette,-0.7159090909090909,9.829545454545455,737.3636363636364,88,29,0.002365654990725557,0.32954545454545453,0.32954545454545453
colonel-ruffs,0.8333333333333334,9.717948717948717,772.1346153846154,156,70,0.004193661119922578,0.44871794871794873,0.44871794871794873
colt,1.4389891696750903,9.987364620938628,831.8592057761733,2770,1372,0.0744643673217022,0.49530685920577616,0.49530685920577616
crow,-0.5322195704057279,9.88782816229117,735.6062052505966,419,144,0.011263743649022823,0.3436754176610978,0.3436754176610978
darryl,0.04477611940298507,9.582089552238806,726.0298507462686,67,26,0.0018011236861205945,0.3880597014925373,0.3880597014925373
dynamike,-0.22549952426260705,9.759276879162702,724.9029495718363,1051,386,0.028253447673324553,0.36726926736441484,0.36726926736441484
edgar,1.3756830601092895,9.829234972677595,779.0553278688525,1464,718,0.03935589666388881,0.49043715846994534,0.49043715846994534
el-primo,-1.135135135135135,9.68918918918919,779.4144144144144,222,66,0.005967902362966747,0.2972972972972973,0.2972972972972973
emz,-1.5092592592592593,9.62962962962963,723.6111111111111,108,29,0.0029033038522540927,0.26851851851851855,0.26851851851851855
frank,-0.35714285714285715,9.75,745.3214285714286,28,10,0.00075270840613995,0.35714285714285715,0.35714285714285715
gale,0.4888888888888889,9.966666666666667,743.1444444444444,90,38,0.0024194198768784105,0.4222222222222222,0.4222222222222222
gene,1.8909774436090225,9.871240601503759,850.4624060150376,2128,1128,0.0572058388666362,0.5300751879699248,0.5300751879699248
jacky,0.4166666666666667,9.791666666666666,775.7916666666666,24,10,0.0006451786338342428,0.4166666666666667,0.4166666666666667
jessie,0.5714285714285714,9.794117647058824,725.3697478991596,238,102,0.006398021452189575,0.42857142857142855,0.42857142857142855
leon,2.2611940298507465,9.965556831228472,831.9196326061998,1742,973,0.04682921583913546,0.5585533869115958,0.5585533869115958
lou,-0.8780487804878049,9.75609756097561,750.0,41,13,0.0011021801661334981,0.3170731707317073,0.3170731707317073
max,0.4025974025974026,9.904761904761905,813.1082251082252,231,96,0.006209844350654588,0.4155844155844156,0.4155844155844156
mortis,1.1880580357142858,9.983816964285714,780.6300223214286,1792,853,0.0481733379929568,0.4760044642857143,0.4760044642857143
mr-p,1.9048042704626333,9.991992882562277,837.3985765124555,1124,597,0.030215866017903707,0.5311387900355872,0.5311387900355872
