brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,3.1707664884135474,9.988591800356506,861.5903743315508,2805,1763,0.05050414115952467,0.6285204991087344,0.6285204991087344
amber,-2.086206896551724,9.724137931034482,729.7068965517242,58,13,0.0010442924018725242,0.22413793103448276,0.22413793103448276
barley,0.0,9.884615384615385,732.0,26,10,0.00046813107670147644,0.38461538461538464,0.38461538461538464
bea,-1.0353130016051364,9.78812199036918,741.0200642054575,1246,380,0.022434281598847677,0.30497592295345105,0.30497592295345105
belle,0.43794920939147103,9.815524676569238,766.3507426928605,2087,873,0.03757652142599928,0.4183037853378055,0.4183037853378055
bibi,-0.9555555555555556,9.866666666666667,717.6444444444444,45,14,0.0008102268635217861,0.3111111111111111,0.3111111111111111
bo,3.0182733050847457,9.977621822033898,860.7755561440678,7552,4658,0.1359740727403673,0.6167902542372882,0.6167902542372882
brock,1.0611620795107033,9.923076923076923,794.3577981651376,4251,1982,0.0765394310406914,0.4662432368854387,0.4662432368854387
bull,-2.2142857142857144,9.821428571428571,728.6785714285714,28,6,0.0005041411595246669,0.21428571428571427,0.21428571428571427
buzz,-1.8583333333333334,9.7,725.9833333333333,120,29,0.0021606049693914295,0.24166666666666667,0.24166666666666667
byron,0.8798586572438163,9.764575971731448,770.184628975265,2264,1024,0.04076341375585164,0.45229681978798586,0.45229681978798586
carl,-0.43243243243243246,9.91891891891892,712.6756756756756,74,26,0.0013323730644580483,0.35135135135135137,0.35135135135135137
colette,-1.4183673469387754,9.653061224489797,707.8469387755102,98,27,0.0017644940583363342,0.2755102040816326,0.2755102040816326
colonel-ruffs,2.98961937716263,9.983497471386745,854.7607133351078,3757,2309,0.06764494058336334,0.6145861059355869,0.6145861059355869
colt,-0.21380632790028764,9.955896452540747,744.5378715244487,1043,384,0.01877925819229384,0.3681687440076702,0.3681687440076702
crow,-1.4925742574257426,9.928217821782178,723.700495049505,404,109,0.00727403673028448,0.2698019801980198,0.2698019801980198
darryl,1.0149253731343284,9.73134328358209,732.6716417910447,67,31,0.0012063377745768816,0.4626865671641791,0.4626865671641791
dynamike,-0.5984251968503937,9.67716535433071,687.6062992125984,127,43,0.0022866402592725964,0.33858267716535434,0.33858267716535434
edgar,-0.3924050632911392,9.740506329113924,706.5474683544304,316,112,0.005689593086064098,0.35443037974683544,0.35443037974683544
el-primo,-0.5384615384615384,9.615384615384615,779.4970414201183,169,58,0.0030428519985595966,0.3431952662721893,0.3431952662721893
emz,-0.4578313253012048,9.409638554216867,704.6987951807229,83,29,0.0014944184371624054,0.3493975903614458,0.3493975903614458
frank,-2.92,9.8,777.76,25,4,0.00045012603528988117,0.16,0.16
gale,-0.7377049180327869,9.885245901639344,739.4754098360655,61,20,0.00109830752610731,0.32786885245901637,0.32786885245901637
gene,-0.037383177570093455,9.82961897915169,785.7893601725377,1391,531,0.02504501260352899,0.3817397555715313,0.3817397555715313
jacky,-3.142857142857143,10.0,726.9285714285714,14,2,0.00025207057976233343,0.14285714285714285,0.14285714285714285
jessie,-1.256544502617801,9.659685863874346,700.7801047120419,191,55,0.003438962909614692,0.2879581151832461,0.2879581151832461
leon,0.6732456140350878,9.87061403508772,774.1666666666666,456,199,0.008210298883687432,0.43640350877192985,0.43640350877192985
lou,2.232394366197183,9.880281690140846,801.7676056338029,142,79,0.002556715880446525,0.5563380281690141,0.5563380281690141
max,-0.11009174311926606,9.963302752293577,794.8990825688073,109,41,0.001962549513863882,0.3761467889908257,0.3761467889908257
mortis,0.16988416988416988,9.96911196911197,720.2239382239383,259,103,0.004663305725603169,0.39768339768339767,0.39768339768339767
mr-p,0.24795081967213115,9.985655737704919,781.655737704918,488,197,0.00878646020885848,0.4036885245901639,0.4036885245901639
nani,2.253432773402105,9.930089914267791,841.2802676517739,14347,8005,0.258318329132157,0.5579563671847773,0.5579563671847773
nita,-0.6666666666666666,9.966666666666667,709.4,30,10,0.0005401512423478574,0.3333333333333333,0.3333333333333333
pam,0.9468085106382979,9.691489361702128,712.5212765957447,94,43,0.001692473892689953,0.4574468085106383,0.4574468085106383
penny,-0.20707070707070707,9.904040404040405,721.2272727272727,198,73,0.003564998199495859,0.3686868686868687,0.3686868686868687
piper,0.8987480247964021,9.89400753616142,782.2856448280054,8227,3733,0.1481274756931941,0.4537498480612617,0.4537498480612617
poco,0.7137096774193549,9.96774193548387,724.375,248,109,0.004465250270075621,0.43951612903225806,0.43951612903225806
rico,-0.2978723404255319,9.808510638297872,713.2127659574468,141,51,0.0025387108390349297,0.3617021276595745,0.3617021276595745
rosa,-0.8214285714285714,9.714285714285714,783.6071428571429,28,9,0.0005041411595246669,0.32142857142857145,0.32142857142857145
sandy,-1.3108108108108107,9.932432432432432,707.8243243243244,74,21,0.0013323730644580483,0.28378378378378377,0.28378378378378377
shelly,-2.0454545454545454,9.727272727272727,733.7954545454545,44,10,0.0007922218221101909,0.22727272727272727,0.22727272727272727
spike,-1.0606060606060606,9.919191919191919,717.7340067340067,297,90,0.005347497299243788,0.30303030303030304,0.30303030303030304
sprout,0.2985781990521327,9.85781990521327,740.7156398104265,211,86,0.003799063737846597,0.4075829383886256,0.4075829383886256
squeak,1.3380782918149465,9.861209964412812,703.5480427046264,281,137,0.005059416636658264,0.4875444839857651,0.4875444839857651
stu,-1.829268292682927,9.829268292682928,737.9186991869918,123,30,0.0022146200936262153,0.24390243902439024,0.24390243902439024
surge,-0.4166666666666667,9.64102564102564,730.3076923076923,156,55,0.0028087864602088586,0.3525641025641026,0.3525641025641026
tara,-2.037974683544304,9.810126582278482,727.253164556962,79,18,0.0014223982715160246,0.22784810126582278,0.22784810126582278
tick,-0.09535655058043117,9.724709784411276,762.3291873963516,1206,455,0.021714079942383866,0.37728026533996684,0.37728026533996684
