brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.0,9.811965811965813,714.0769230769231,117,54,0.0023624909134964864,0.46153846153846156,0.46153846153846156
amber,-0.09090909090909091,9.76923076923077,747.6783216783217,143,54,0.0028874888942734835,0.3776223776223776,0.3776223776223776
barley,1.1722689075630253,9.949579831932773,754.4747899159664,238,113,0.004805750747112511,0.47478991596638653,0.47478991596638653
bea,1.0256410256410255,9.830374753451677,772.2465483234714,1014,470,0.020474921250302883,0.4635108481262327,0.4635108481262327
belle,2.390799031476998,9.848910411622276,831.0397094430992,2065,1174,0.041696955011711494,0.5685230024213075,0.5685230024213075
bibi,0.3073394495412844,9.940366972477063,753.2110091743119,218,89,0.004401906146514821,0.40825688073394495,0.40825688073394495
bo,0.22826086956521738,9.88586956521739,750.7717391304348,368,148,0.007430740650997496,0.40217391304347827,0.40217391304347827
brock,2.143759474482062,9.939868620515412,820.9797877716018,3958,2175,0.07992084645828285,0.5495199595755432,0.5495199595755432
bull,2.0047058823529413,9.929411764705883,821.1929411764706,425,229,0.008581697762700912,0.5388235294117647,0.5388235294117647
buzz,1.7976366322008863,9.673559822747414,747.3633677991137,677,354,0.013670139730231807,0.5228951255539144,0.5228951255539144
byron,1.0974320241691844,9.811933534743202,764.4977341389728,1324,621,0.02673451255956708,0.4690332326283988,0.4690332326283988
carl,1.5984848484848484,9.906565656565656,778.5,396,201,0.007996123091834261,0.5075757575757576,0.5075757575757576
colette,0.5130890052356021,9.921465968586388,761.738219895288,191,81,0.0038567159357079397,0.42408376963350786,0.42408376963350786
colonel-ruffs,2.015873015873016,9.923809523809524,807.4539682539682,315,170,0.006360552459413618,0.5396825396825397,0.5396825396825397
colt,0.6112994350282486,9.96497175141243,756.0960451977401,885,382,0.017870123576447784,0.43163841807909603,0.43163841807909603
crow,0.6975308641975309,9.91358024691358,733.483950617284,810,355,0.016355706324206444,0.4382716049382716,0.4382716049382716
darryl,2.090909090909091,9.855477855477856,790.4592074592075,429,234,0.00866246668282045,0.5454545454545454,0.5454545454545454
dynamike,0.7642393655371305,9.820475847152126,757.4008651766402,1387,615,0.0280066230514498,0.4434030281182408,0.4434030281182408
edgar,0.41065482796892344,9.807436182019979,751.5793562708102,1802,750,0.03638639851385187,0.416204217536071,0.416204217536071
el-primo,1.313919052319842,9.893385982230997,827.71076011846,1013,492,0.020454729020273,0.4856860809476802,0.4856860809476802
emz,0.43214285714285716,9.625,732.5321428571428,280,117,0.00565382440836766,0.41785714285714287,0.41785714285714287
frank,2.7232472324723247,9.85239852398524,841.3136531365313,271,161,0.0054720943380986995,0.5940959409594095,0.5940959409594095
gale,0.7540983606557377,9.868852459016393,713.7868852459017,122,54,0.002463452063645909,0.4426229508196721,0.4426229508196721
gene,2.262607786778155,9.9074993467468,863.7449699503528,3827,2138,0.07727566432436798,0.5586621374444735,0.5586621374444735
jacky,2.3783783783783785,9.929054054054054,837.331081081081,296,168,0.005976900088845812,0.5675675675675675,0.5675675675675675
jessie,-0.058673469387755105,9.721938775510203,717.1938775510204,392,149,0.007915354171714723,0.38010204081632654,0.38010204081632654
leon,2.2257409663012586,9.92894843686561,834.3142509135201,2463,1369,0.04973346256360552,0.5558262281770199,0.5558262281770199
