brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.074829931972789,9.959183673469388,786.9251700680272,147,80,0.0035722964763061967,0.54421768707483,0.54421768707483
amber,2.0416666666666665,9.842592592592593,786.6805555555555,216,117,0.0052490886998784935,0.5416666666666666,0.5416666666666666
barley,0.30833333333333335,9.95,716.9583333333334,120,49,0.0029161603888213854,0.4083333333333333,0.4083333333333333
bea,0.7117296222664016,9.743538767395627,746.196819085487,503,221,0.012223572296476306,0.4393638170974155,0.4393638170974155
belle,2.3513274336283185,9.890265486725664,811.7867256637168,1130,639,0.027460510328068045,0.5654867256637168,0.5654867256637168
bibi,0.8046511627906977,9.827906976744186,735.9348837209302,215,96,0.005224787363304981,0.44651162790697674,0.44651162790697674
bo,1.2575757575757576,9.938228438228439,782.3461538461538,858,413,0.020850546780072903,0.4813519813519814,0.4813519813519814
brock,1.9864799613713182,9.939642684693386,818.4365041042975,2071,1113,0.05032806804374241,0.5374215354901014,0.5374215354901014
bull,0.2794759825327511,9.895196506550219,785.9082969432314,229,93,0.005565006075334143,0.40611353711790393,0.40611353711790393
buzz,2.6,9.510576923076924,756.151923076923,1040,608,0.025273390036452004,0.5846153846153846,0.5846153846153846
byron,1.2297029702970297,9.821782178217822,766.3861386138614,505,242,0.01227217496962333,0.4792079207920792,0.4792079207920792
carl,1.4749034749034748,9.957528957528957,788.2277992277992,259,129,0.00629404617253949,0.4980694980694981,0.4980694980694981
colette,1.9452054794520548,9.885844748858448,789.0639269406392,219,117,0.005321992709599028,0.5342465753424658,0.5342465753424658
colonel-ruffs,1.8588957055214723,9.812883435582823,774.3466257668712,326,172,0.007922235722964762,0.5276073619631901,0.5276073619631901
colt,0.4036144578313253,9.921686746987952,769.8418674698795,664,276,0.016136087484811663,0.41566265060240964,0.41566265060240964
crow,0.6790890269151139,9.878881987577639,762.9327122153209,966,422,0.02347509113001215,0.43685300207039335,0.43685300207039335
darryl,0.1509433962264151,9.839622641509434,739.7594339622641,212,84,0.005151883353584447,0.39622641509433965,0.39622641509433965
dynamike,0.673728813559322,9.838983050847459,747.0286016949152,944,412,0.022940461725394896,0.4364406779661017,0.4364406779661017
edgar,0.8170886075949367,9.795569620253165,758.9259493670886,1580,707,0.03839611178614824,0.44746835443037974,0.44746835443037974
el-primo,0.5121951219512195,9.834896810506567,812.9859287054409,1066,452,0.025905224787363304,0.42401500938086306,0.42401500938086306
emz,-0.1801566579634465,9.678851174934726,749.668407310705,383,142,0.009307411907654922,0.370757180156658,0.370757180156658
frank,1.8338368580060422,9.885196374622357,853.9003021148036,331,174,0.00804374240583232,0.525679758308157,0.525679758308157
gale,1.3916666666666666,9.875,740.0333333333333,120,59,0.0029161603888213854,0.49166666666666664,0.49166666666666664
gene,2.1971866365234867,9.92690278824416,862.8276814870635,3981,2204,0.09674362089914945,0.5536297412710375,0.5536297412710375
jacky,1.5220338983050847,9.922033898305084,774.5491525423729,295,148,0.0071688942891859056,0.5016949152542373,0.5016949152542373
