brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.7053571428571429,9.767857142857142,741.9732142857143,112,37,0.0024870098148065908,0.33035714285714285,0.33035714285714285
amber,0.16556291390728478,9.801324503311259,741.9139072847682,151,60,0.0033530221610338857,0.3973509933774834,0.3973509933774834
barley,0.9583333333333334,9.927083333333334,727.9479166666666,96,44,0.0021317226984056492,0.4583333333333333,0.4583333333333333
bea,0.6417748917748918,9.835497835497835,780.6396103896104,924,401,0.02051783097215437,0.43398268398268397,0.43398268398268397
belle,1.2886529528865296,9.823490378234904,791.2375580623756,1507,729,0.03346360527601368,0.48374253483742535,0.48374253483742535
bibi,-0.21052631578947367,9.912280701754385,743.0964912280701,114,42,0.0025314207043567083,0.3684210526315789,0.3684210526315789
bo,0.2835538752362949,9.93194706994329,767.7485822306238,529,215,0.01174668028600613,0.4064272211720227,0.4064272211720227
brock,2.1440056751004968,9.955545046110192,822.8342397729959,4229,2324,0.09390682595372385,0.5495388980846536,0.5495388980846536
bull,0.7168674698795181,9.783132530120483,779.1385542168674,166,73,0.003686103832659768,0.4397590361445783,0.4397590361445783
buzz,2.003095975232198,9.551083591331269,738.4907120743034,646,348,0.014344717324688014,0.5386996904024768,0.5386996904024768
byron,1.473360655737705,9.861680327868852,761.7141393442623,976,486,0.02167251410045743,0.4979508196721312,0.4979508196721312
carl,1.24,9.909090909090908,751.3236363636364,275,132,0.006106497313141182,0.48,0.48
colette,0.6934306569343066,9.693430656934307,766.7080291970802,137,60,0.0030421459341830616,0.43795620437956206,0.43795620437956206
colonel-ruffs,1.4551724137931035,9.89655172413793,747.096551724138,290,144,0.006439578984767065,0.496551724137931,0.496551724137931
colt,0.24893071000855432,9.947818648417451,758.0145423438837,1169,472,0.02595816494204379,0.4037639007698888,0.4037639007698888
crow,0.23502994011976047,9.881736526946108,732.4745508982036,668,269,0.014833237109739309,0.4026946107784431,0.4026946107784431
darryl,0.34810126582278483,9.746835443037975,751.1962025316456,158,65,0.0035084602744592974,0.41139240506329117,0.41139240506329117
dynamike,0.543640897755611,9.704488778054863,713.5062344139651,802,342,0.017808766709597194,0.42643391521197005,0.42643391521197005
edgar,0.8825235678027556,9.804205946337927,765.4089920232052,1379,624,0.030621308344806145,0.45250181290790426,0.45250181290790426
el-primo,-0.8428184281842819,9.70460704607046,759.0243902439024,369,118,0.008193809121996713,0.31978319783197834,0.31978319783197834
emz,-0.5333333333333333,9.682051282051281,728.276923076923,195,67,0.004330061731136475,0.3435897435897436,0.3435897435897436
frank,0.017543859649122806,9.614035087719298,733.2631578947369,57,22,0.0012657103521783542,0.38596491228070173,0.38596491228070173
gale,1.1428571428571428,9.802197802197803,712.4945054945055,91,43,0.002020695474530355,0.4725274725274725,0.4725274725274725
gene,2.2395209580838324,9.912275449101797,841.8182634730539,3340,1860,0.07416618554869654,0.5568862275449101,0.5568862275449101
jacky,1.180327868852459,9.836065573770492,742.4262295081967,61,29,0.0013545321312785894,0.47540983606557374,0.47540983606557374
jessie,1.1887323943661972,9.811267605633804,753.4788732394367,355,169,0.00788293289514589,0.476056338028169,0.476056338028169
leon,2.216280580212167,9.958649058237715,844.3450963411993,4619,2564,0.1025669494159968,0.5550985061701667,0.5550985061701667
lou,0.26582278481012656,9.60759493670886,706.7088607594936,79,32,0.0017542301372296487,0.4050632911392405,0.4050632911392405
max,-0.23333333333333334,9.944444444444445,795.5185185185185,270,99,0.005995470089265888,0.36666666666666664,0.36666666666666664
mortis,0.5938037865748709,9.990820424555364,755.6844520940906,1743,750,0.038704090242927564,0.43029259896729777,0.43029259896729777
mr-p,2.4678068410462775,9.986921529175051,821.3108651911468,994,571,0.02207221210640849,0.5744466800804829,0.5744466800804829
nani,1.7897473997028233,9.926448736998514,806.2473997028231,1346,703,0.029888528667229203,0.5222882615156018,0.5222882615156018
nita,0.17204301075268819,9.827956989247312,724.3655913978495,93,37,0.0020651063640804725,0.3978494623655914,0.3978494623655914
pam,0.46218487394957986,9.92436974789916,772.4285714285714,119,50,0.0026424479282320026,0.42016806722689076,0.42016806722689076
penny,0.9561752988047809,9.936254980079681,758.191235059761,251,115,0.00557356663853977,0.4581673306772908,0.4581673306772908
piper,1.6445033652865593,9.945339588007343,810.1650010197839,4903,2506,0.10887329573211352,0.5111156434835815,0.5111156434835815
poco,1.6645569620253164,9.91139240506329,726.006329113924,158,81,0.0035084602744592974,0.5126582278481012,0.5126582278481012
rico,2.0500386398763526,9.973145285935084,835.532457496136,5176,2807,0.11493538215570458,0.5423106646058733,0.5423106646058733
rosa,-0.9655172413793104,9.505747126436782,731.7241379310345,87,27,0.0019318736954301195,0.3103448275862069,0.3103448275862069
sandy,1.2825278810408922,9.907063197026023,727.2602230483271,269,130,0.0059732646444908295,0.483271375464684,0.483271375464684
shelly,-0.40331491712707185,9.812154696132596,733.4364640883978,181,64,0.004019185504285651,0.35359116022099446,0.35359116022099446
spike,0.33641975308641975,9.904320987654321,739.5925925925926,324,133,0.007194564107119066,0.4104938271604938,0.4104938271604938
sprout,2.723076923076923,9.962130177514792,848.0668639053255,1690,1004,0.03752720166984945,0.5940828402366863,0.5940828402366863
squeak,2.424507658643326,9.761487964989058,724.5295404814004,457,261,0.010147888262201891,0.5711159737417943,0.5711159737417943
stu,0.35964912280701755,9.798245614035087,758.6111111111111,342,141,0.0075942621130701245,0.41228070175438597,0.41228070175438597
surge,0.05655172413793103,9.663448275862068,738.4951724137931,725,282,0.016098947461917663,0.3889655172413793,0.3889655172413793
tara,0.05555555555555555,9.821428571428571,740.702380952381,252,98,0.005595772083314829,0.3888888888888889,0.3888888888888889
tick,1.211111111111111,9.871759259259258,817.2606481481481,2160,1032,0.047963760714127106,0.4777777777777778,0.4777777777777778
