brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,2.4285714285714284,9.868131868131869,779.7692307692307,91,52.0,0.0036465638148667602,0.5714285714285714,0.5714285714285714
amber,-1.9767441860465116,9.604651162790697,726.6046511627907,43,10.0,0.0017231015828491284,0.23255813953488372,0.23255813953488372
barley,0.2,9.864,720.784,125,50.0,0.005009016229212583,0.4,0.4
bea,0.40852130325814534,9.74436090225564,751.6942355889724,399,166.0,0.015988779803646564,0.41604010025062654,0.41604010025062654
belle,1.1511299435028248,9.754237288135593,778.2245762711865,708,335.0,0.028371067922260067,0.4731638418079096,0.4731638418079096
bibi,0.15517241379310345,9.931034482758621,733.5,58,23.0,0.0023241835303546383,0.39655172413793105,0.39655172413793105
bo,2.649737302977233,9.950963222416812,824.7880910683012,571,336.0,0.02288118613504308,0.5884413309982487,0.5884413309982487
brock,2.1962582538517976,9.940572267057961,821.7938371239912,2726,1509.0,0.109236625926668,0.553558327219369,0.553558327219369
bull,-1.2857142857142858,9.714285714285714,750.8214285714286,28,8.0,0.0011220196353436186,0.2857142857142857,0.2857142857142857
buzz,0.8112582781456954,9.592715231788079,731.3807947019867,302,135.0,0.0121017832097776,0.4470198675496689,0.4470198675496689
byron,1.5909797822706064,9.867807153965785,794.538102643857,643,326.0,0.025766379483069524,0.5069984447900466,0.5069984447900466
carl,2.292682926829268,9.91869918699187,819.5284552845528,246,138.0,0.009857743939090363,0.5609756097560976,0.5609756097560976
colette,-0.7941176470588235,9.676470588235293,693.4117647058823,34,11.0,0.0013624524143458225,0.3235294117647059,0.3235294117647059
colonel-ruffs,3.1595744680851063,9.952127659574469,861.2074468085107,188,118.0,0.007533560408735724,0.6276595744680851,0.6276595744680851
colt,0.8691006233303651,9.983081032947462,792.9813000890472,1123,507.0,0.045001001803245844,0.4514692787177204,0.4514692787177204
crow,-0.9683544303797469,9.886075949367088,724.5886075949367,316,98.0,0.01266279302744941,0.310126582278481,0.310126582278481
darryl,0.7073170731707317,9.78048780487805,724.170731707317,41,18.0,0.001642957323181727,0.43902439024390244,0.43902439024390244
dynamike,0.2808783165599268,9.787740164684354,724.3549862763037,1093,444.0,0.04379883790823482,0.4062214089661482,0.4062214089661482
edgar,1.5631067961165048,9.784789644012944,785.1148867313916,1236,624.0,0.04952915247445402,0.5048543689320388,0.5048543689320388
el-primo,-1.2,9.615384615384615,757.8923076923077,130,38.0,0.005209376878381086,0.2923076923076923,0.2923076923076923
emz,-1.5510204081632653,9.428571428571429,693.2244897959183,49,13.0,0.0019635343618513326,0.2653061224489796,0.2653061224489796
frank,0.0,9.76923076923077,755.4230769230769,26,10.0,0.0010418753756762172,0.38461538461538464,0.38461538461538464
gale,0.6521739130434783,9.768115942028986,713.2028985507246,69,30.0,0.0027649769585253456,0.43478260869565216,0.43478260869565216
gene,1.2564529558701083,9.84346378018318,834.9666944213155,1201,578.0,0.048126627930274495,0.48126561199000834,0.48126561199000834
jacky,-5.0,10.0,756.875,8,0.0,0.0003205770386696053,0.0,0.0
jessie,-1.5727272727272728,9.60909090909091,710.1363636363636,110,29.0,0.004407934281707073,0.2636363636363636,0.2636363636363636
leon,2.200845665961945,9.93446088794926,846.0581395348837,946,524.0,0.037908234822680825,0.5539112050739958,0.5539112050739958
lou,-1.4545454545454546,9.757575757575758,728.0,33,9.0,0.0013223802845121217,0.2727272727272727,0.2727272727272727
max,0.5441176470588235,9.897058823529411,832.6397058823529,136,58.0,0.00544980965738329,0.4264705882352941,0.4264705882352941
mortis,0.9238451935081149,9.991260923845193,760.9875156054932,801,365.0,0.03209777599679423,0.4556803995006242,0.4556803995006242
mr-p,2.324275362318841,9.981884057971014,832.3786231884058,552,311.0,0.022119815668202765,0.5634057971014492,0.5634057971014492
nani,3.0472131147540984,9.92983606557377,845.6983606557377,1525,944.0,0.06110999799639351,0.6190163934426229,0.6190163934426229
nita,-3.227272727272727,9.590909090909092,721.3181818181819,22,3.0,0.0008815868563414145,0.13636363636363635,0.13636363636363635
pam,0.12121212121212122,9.878787878787879,699.939393939394,33,13.0,0.0013223802845121217,0.3939393939393939,0.3939393939393939
penny,2.2844827586206895,9.969827586206897,785.2801724137931,232,130.0,0.009296734121418553,0.5603448275862069,0.5603448275862069
piper,1.5961244263131056,9.908720040795512,796.1703212646609,1961,995.0,0.078581446603887,0.5073941866394697,0.5073941866394697
poco,-1.3770491803278688,9.80327868852459,708.639344262295,61,17.0,0.0024443999198557405,0.2786885245901639,0.2786885245901639
rico,-0.22448979591836735,9.938775510204081,750.3673469387755,147,54.0,0.005890603085553997,0.3673469387755102,0.3673469387755102
rosa,-2.4,9.4,674.8,5,1.0,0.0002003606491685033,0.2,0.2
sandy,2.3013698630136985,9.917808219178083,803.5068493150685,73,41.0,0.0029252654778601484,0.5616438356164384,0.5616438356164384
shelly,-1.127659574468085,9.957446808510639,727.1276595744681,47,14.0,0.001883390102183931,0.2978723404255319,0.2978723404255319
spike,0.603448275862069,9.887931034482758,729.0431034482758,116,50.0,0.004648367060709277,0.43103448275862066,0.43103448275862066
sprout,2.4908536585365852,9.920731707317072,807.0665650406504,1968,1134.0,0.0788619515127229,0.5762195121951219,0.5762195121951219
squeak,2.4086021505376345,9.813620071684587,754.8458781362007,279,159.0,0.011180124223602485,0.5698924731182796,0.5698924731182796
