brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.029411764705882353,9.867647058823529,719.8676470588235,68,26,0.002295126231942757,0.38235294117647056,0.38235294117647056
amber,-1.2135922330097086,9.766990291262136,736.4563106796116,103,30,0.003476441204266235,0.2912621359223301,0.2912621359223301
barley,1.4685990338164252,9.91304347826087,761.43961352657,414,206,0.013973268529769137,0.4975845410628019,0.4975845410628019
bea,-0.1554959785522788,9.812332439678285,743.7587131367292,373,139,0.012589442419333064,0.3726541554959786,0.3726541554959786
belle,0.7679180887372014,9.786689419795222,753.9232081911263,586,260,0.01977858782233023,0.44368600682593856,0.44368600682593856
bibi,1.344,9.9,785.4,250,122,0.008437964088024842,0.488,0.488
bo,-0.011627906976744186,9.837209302325581,749.0426356589147,258,99,0.008707978938841636,0.38372093023255816,0.38372093023255816
brock,2.2783395423097392,9.930814262905802,811.3166577967004,1879,1052,0.0634197380855947,0.5598722724853645,0.5598722724853645
bull,2.9385245901639343,9.930327868852459,845.0409836065573,244,149,0.008235452949912245,0.610655737704918,0.610655737704918
buzz,2.8167202572347265,9.77652733118971,773.5064308681672,622,374,0.020993654651005805,0.6012861736334405,0.6012861736334405
byron,1.1569444444444446,9.915277777777778,775.0847222222222,720,341,0.024301336573511544,0.4736111111111111,0.4736111111111111
carl,2.3435114503816794,9.91857506361323,806.5648854961833,393,222,0.01326447954637505,0.5648854961832062,0.5648854961832062
colette,0.7402597402597403,9.96103896103896,742.0909090909091,77,34,0.002598892939111651,0.44155844155844154,0.44155844155844154
colonel-ruffs,3.2509225092250924,9.900369003690036,784.8523985239852,271,172,0.009146753071418929,0.6346863468634686,0.6346863468634686
colt,0.3625,9.946428571428571,741.5625,560,231,0.018901039557175644,0.4125,0.4125
crow,0.6235955056179775,9.898876404494382,713.129213483146,356,154,0.012015660861347375,0.43258426966292135,0.43258426966292135
darryl,0.9328859060402684,9.751677852348994,776.7852348993289,149,68,0.005029026596462805,0.4563758389261745,0.4563758389261745
dynamike,0.7247706422018348,9.849934469200525,733.0956749672346,1526,672,0.05150533279330363,0.44036697247706424,0.44036697247706424
edgar,0.5690430314707772,9.747591522157997,748.1971740526653,1557,667,0.05255164034021871,0.42838792549775206,0.42838792549775206
el-primo,2.2053191489361703,9.812765957446809,837.2457446808511,940,521,0.0317267449709734,0.5542553191489362,0.5542553191489362
emz,-0.125,9.658333333333333,716.4916666666667,120,45,0.004050222762251924,0.375,0.375
frank,0.6371681415929203,9.902654867256636,802.8495575221239,113,49,0.0038139597677872283,0.4336283185840708,0.4336283185840708
gale,-0.5526315789473685,9.828947368421053,713.4473684210526,76,26,0.0025651410827595518,0.34210526315789475,0.34210526315789475
