brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.8157894736842105,9.967105263157896,773.859962406015,1064,476,0.0061846801288087516,0.4473684210526316,0.4473684210526316
amber,2.2929402218014605,9.90451717608872,843.0335407086827,3697,2074,0.021489438379892815,0.5609954016770354,0.5609954016770354
barley,1.723253059613107,9.981181734438742,809.2404263718911,7599,3930,0.04417047396505423,0.5171733122779313,0.5171733122779313
bea,0.20179063360881544,9.860881542699724,794.353305785124,1452,581,0.008439995814878108,0.400137741046832,0.400137741046832
belle,3.1207016566894055,9.934289294166783,859.5731588472783,7183,4487,0.04175240353875306,0.6246693582068773,0.6246693582068773
bibi,1.5828488372093024,9.977862254025045,828.3959078711986,8944,4529,0.05198851416547507,0.5063729874776386,0.5063729874776386
bo,-0.20430107526881722,9.927212572373863,751.449958643507,1209,446,0.007027517176437763,0.36889991728701405,0.36889991728701405
brock,0.29865361077111385,9.973072215422278,778.5654834761322,1634,666,0.009497901626384869,0.40758873929008566,0.40758873929008566
bull,2.2820263029712615,9.962981003409645,821.0360448124695,2053,1150,0.011933410060568014,0.5601558694593278,0.5601558694593278
buzz,2.8962188254223653,9.845534995977474,813.6358272995441,3729,2265,0.021675443797300596,0.6074014481094127,0.6074014481094127
byron,1.6018609206660137,9.92458374142997,818.4118511263467,2042,1037,0.011869470698334088,0.5078354554358472,0.5078354554358472
carl,2.6072686519372397,9.983829650976626,852.2939481268012,6246,3655,0.03630593241028145,0.58517451168748,0.58517451168748
colette,1.085747392815759,9.955967555040557,798.4032444959444,863,404,0.0050163336007161205,0.4681344148319815,0.4681344148319815
colonel-ruffs,3.0972304065998824,9.983500294637595,851.4614024749558,1697,1057,0.00986409979190644,0.6228638774307602,0.6228638774307602
colt,0.3978494623655914,9.969396195202647,777.1759029500965,3627,1506,0.021082551529313293,0.4152191894127378,0.4152191894127378
crow,2.1587580550673695,9.969537199765671,842.4874048037493,5121,2820,0.029766679454539112,0.5506736965436438,0.5506736965436438
darryl,3.6276276276276276,9.96584084084084,875.9114114114114,2664,1768,0.015484950999197852,0.6636636636636637,0.6636636636636637
dynamike,1.7834177493944066,9.946102180136533,824.4320083682009,18164,9478,0.10558132505609226,0.5218013653380312,0.5218013653380312
edgar,-0.8614938361131255,9.842639593908629,746.097897026831,1379,439,0.008015670956416606,0.31834662799129804,0.31834662799129804
el-primo,1.6599844080632586,9.930393139547833,847.0162601626016,8979,4600,0.05219195759076483,0.512306492927943,0.512306492927943
emz,0.744112648701141,9.868900218499636,806.2862345229424,4119,1820,0.02394238482195794,0.441854819130857,0.441854819130857
frank,2.7289002557544757,9.946685028526462,852.8131024985245,5083,3022,0.02954579802136737,0.5945307889041904,0.5945307889041904
gale,1.7043330501274427,9.963466440101953,797.4570943075616,1177,607,0.006841511759029982,0.5157179269328802,0.5157179269328802
gene,1.538383667960182,9.967943310275013,850.0528091783365,5927,2981,0.03445169090549762,0.502952589843091,0.502952589843091
jacky,2.1881377551020407,9.966517857142858,837.8804209183673,3136,1734,0.018228530905962635,0.5529336734693877,0.5529336734693877
jessie,-1.3875623196011546,9.884544738913672,729.219364996064,3811,1059,0.022152082679408037,0.277879821569142,0.277879821569142
leon,0.9396551724137931,9.937931034482759,791.423275862069,1160,530,0.006742696381032098,0.45689655172413796,0.45689655172413796
lou,2.868337795083962,9.949501095156972,840.6275249452422,8218,4974,0.04776851625803601,0.6052567534679971,0.6052567534679971
max,1.5948575399583045,9.976372480889507,835.2303683113273,2878,1460,0.016728862228112394,0.5072967338429465,0.5072967338429465
mortis,-0.025703200775945685,9.958777885548011,763.9161008729388,2062,789,0.011985724084213953,0.38263821532492726,0.38263821532492726
mr-p,-0.3865652724968314,9.97084917617237,770.1609632446134,789,280,0.004586196072960625,0.3548795944233207,0.3548795944233207
nani,1.935483870967742,9.926799007444169,834.6302729528536,806,430,0.0046850114509585095,0.533498759305211,0.533498759305211
nita,-1.1304347826086956,9.933946488294314,734.3252508361204,1196,356,0.006951952475615852,0.2976588628762542,0.2976588628762542
pam,2.734599589322382,9.989219712525667,836.985112936345,3896,2318,0.02264615956939746,0.5949691991786448,0.5949691991786448
penny,-0.22404876246767638,9.975988178795715,741.7242334687846,5414,1989,0.031469791557679115,0.36738086442556334,0.36738086442556334
piper,1.4408364083640837,9.984255842558426,828.0578105781058,4065,2014,0.023628500680082307,0.4954489544895449,0.4954489544895449
poco,-0.33793103448275863,9.916379310344828,744.5474137931035,1160,416,0.006742696381032098,0.3586206896551724,0.3586206896551724
rico,0.4502092050209205,9.960669456066945,785.0535564853557,2390,1002,0.013892279612643717,0.4192468619246862,0.4192468619246862
rosa,-0.6240157480314961,9.840551181102363,742.1318897637796,508,171,0.0029528360013485393,0.33661417322834647,0.33661417322834647
sandy,1.8448318804483188,9.981569115815692,836.1001245330012,4015,2114,0.023337867215382647,0.5265255292652553,0.5265255292652553
shelly,-1.020912547528517,9.950570342205323,779.3231939163499,526,161,0.0030574640486404165,0.3060836501901141,0.3060836501901141
spike,0.9382716049382716,9.944769330734243,781.441845354126,1539,703,0.008945698043455515,0.4567901234567901,0.4567901234567901
sprout,1.111791730474732,9.929045431342521,785.5982644206227,1959,921,0.011387019146932655,0.47013782542113325,0.47013782542113325
