brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.6521739130434783,9.978260869565217,743.4782608695652,46,20,0.002473251250067208,0.43478260869565216,0.43478260869565216
amber,2.256716417910448,9.871641791044777,854.5731343283583,335,187,0.018011721060272056,0.5582089552238806,0.5582089552238806
barley,1.4921020656136088,9.968408262454435,821.4021871202916,823,411,0.044249690843593745,0.4993924665856622,0.4993924665856622
bea,-2.9135802469135803,9.814814814814815,760.1481481481482,81,13,0.004355072853379214,0.16049382716049382,0.16049382716049382
belle,3.7045951859956237,9.88840262582057,856.4945295404814,457,306,0.024571213506102477,0.6695842450765864,0.6695842450765864
bibi,1.8077651515151516,9.974431818181818,840.1401515151515,1056,553,0.056777246088499385,0.5236742424242424,0.5236742424242424
bo,0.11333333333333333,9.76,717.24,150,59,0.008064949728480026,0.3933333333333333,0.3933333333333333
brock,-0.8897058823529411,9.955882352941176,740.9632352941177,136,43,0.007312221087155223,0.3161764705882353,0.3161764705882353
bull,2.228215767634855,9.983402489626556,820.0248962655602,241,134,0.012957685897091242,0.5560165975103735,0.5560165975103735
buzz,3.201995012468828,9.805486284289277,826.0972568578553,401,253,0.02156029894080327,0.6309226932668329,0.6309226932668329
byron,0.2619047619047619,9.892857142857142,768.9285714285714,84,34,0.004516371847948814,0.40476190476190477,0.40476190476190477
carl,3.9079229122055676,9.980728051391862,883.9614561027837,934,640,0.050217753642668964,0.6852248394004282,0.6852248394004282
colette,-0.018691588785046728,10.0,823.7757009345794,107,41,0.005752997472982418,0.38317757009345793,0.38317757009345793
colonel-ruffs,3.5503355704697985,9.986577181208053,856.6778523489933,149,98,0.008011183396956825,0.6577181208053692,0.6577181208053692
colt,-0.08428246013667426,9.970387243735763,774.8223234624146,439,166,0.023603419538684875,0.37813211845102507,0.37813211845102507
crow,0.24431818181818182,9.869318181818182,771.0170454545455,176,71,0.00946287434808323,0.4034090909090909,0.4034090909090909
darryl,4.259776536312849,9.938547486033519,876.254189944134,358,255,0.019248346685305662,0.7122905027932961,0.7122905027932961
dynamike,2.1931993817619784,9.9532457496136,838.135625965997,2588,1432,0.13914726598204205,0.5533230293663061,0.5533230293663061
edgar,0.07053941908713693,9.854771784232366,764.5477178423237,241,94,0.012957685897091242,0.3900414937759336,0.3900414937759336
el-primo,1.005190311418685,9.899653979238755,828.7491349480969,578,267,0.0310769396204097,0.4619377162629758,0.4619377162629758
emz,-0.3465909090909091,9.840909090909092,777.0482954545455,352,126,0.01892574869616646,0.35795454545454547,0.35795454545454547
frank,2.309338521400778,9.95330739299611,857.5194552529183,514,289,0.02763589440292489,0.5622568093385214,0.5622568093385214
gale,2.2836879432624113,9.879432624113475,763.5531914893617,141,79,0.007581052744771224,0.5602836879432624,0.5602836879432624
gene,2.852870813397129,9.9688995215311,877.0023923444976,836,505,0.04494865315339534,0.604066985645933,0.604066985645933
jacky,0.85,9.9875,797.175,80,36,0.004301306521856014,0.45,0.45
jessie,-1.8918918918918919,9.887733887733887,732.3887733887734,481,115,0.02586160546265928,0.2390852390852391,0.2390852390852391
leon,2.028708133971292,9.980861244019138,835.1196172248804,209,113,0.011237163288348836,0.5406698564593302,0.5406698564593302
lou,2.5,9.953379953379953,836.7599067599068,858,495,0.04613151244690575,0.5769230769230769,0.5769230769230769
max,3.017199017199017,9.97051597051597,881.9140049140049,407,251,0.02188289692994247,0.6167076167076168,0.6167076167076168
mortis,-0.1414141414141414,9.973063973063972,730.4040404040404,297,111,0.015968600462390452,0.37373737373737376,0.37373737373737376
mr-p,-2.1739130434782608,10.0,736.768115942029,69,15,0.0037098768751008117,0.21739130434782608,0.21739130434782608
nani,-1.4545454545454546,9.909090909090908,744.6818181818181,22,6,0.0011828592935104038,0.2727272727272727,0.2727272727272727
nita,-1.4383561643835616,9.965753424657533,754.6438356164383,146,40,0.007849884402387226,0.273972602739726,0.273972602739726
pam,1.043859649122807,10.0,794.6578947368421,114,53,0.00612936179364482,0.4649122807017544,0.4649122807017544
penny,0.06373937677053824,9.98441926345609,754.0552407932012,706,275,0.037959030055379324,0.3895184135977337,0.3895184135977337
piper,-1.3888888888888888,9.902777777777779,804.3055555555555,72,20,0.003871175869670412,0.2777777777777778,0.2777777777777778
poco,-2.7586206896551726,9.827586206896552,697.2241379310345,58,10,0.00311844722834561,0.1724137931034483,0.1724137931034483
rico,0.759493670886076,9.930379746835444,755.0253164556962,158,70,0.008495080380665628,0.4430379746835443,0.4430379746835443
rosa,-0.4782608695652174,9.91304347826087,761.6739130434783,46,16,0.002473251250067208,0.34782608695652173,0.34782608695652173
sandy,-0.3486238532110092,9.98165137614679,784.0321100917431,218,78,0.011721060272057637,0.3577981651376147,0.3577981651376147
shelly,-2.274193548387097,9.903225806451612,754.8387096774194,62,13,0.003333512554438411,0.20967741935483872,0.20967741935483872
spike,-0.22935779816513763,9.963302752293577,752.4954128440367,109,40,0.0058605301360288185,0.3669724770642202,0.3669724770642202
sprout,1.8985200845665962,9.93446088794926,799.1818181818181,473,251,0.02543147481047368,0.5306553911205074,0.5306553911205074
squeak,2.3884892086330933,9.798561151079136,747.1294964028777,139,79,0.007473520081724824,0.5683453237410072,0.5683453237410072
stu,2.5158831003811946,9.918678526048284,886.279542566709,787,455,0.04231410290875853,0.5781448538754765,0.5781448538754765
surge,3.169907881269191,9.951893551688844,875.6857727737973,977,614,0.052529705898166565,0.6284544524053224,0.6284544524053224
tara,-1.8888888888888888,9.965811965811966,746.008547008547,117,28,0.00629066078821442,0.23931623931623933,0.23931623931623933
tick,-2.2010376134889755,9.87289234760052,719.284046692607,771,166,0.04145384160438733,0.21530479896238652,0.21530479896238652
