brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.3044247787610619,9.982300884955752,791.5893805309735,565,274.0,0.020253073807219413,0.4849557522123894,0.4849557522123894
amber,2.5906040268456376,9.913422818791947,852.2416107382551,1490,870.0,0.053410761013729074,0.5838926174496645,0.5838926174496645
barley,0.6288659793814433,9.969072164948454,720.0824742268042,97,42.0,0.003477076388142094,0.4329896907216495,0.4329896907216495
bea,0.4932330827067669,9.90827067669173,792.3924812030075,665,281.0,0.023837688640355594,0.42255639097744363,0.42255639097744363
belle,2.720881427072403,9.952780692549842,857.564882826163,2859,1698.0,0.10248413807936337,0.5939139559286464,0.5939139559286464
bibi,-1.2409638554216869,9.975903614457831,747.8072289156627,166,48.0,0.005950460623006058,0.2891566265060241,0.2891566265060241
bo,-0.4051724137931034,9.96551724137931,769.5086206896551,232,82.0,0.008316306412875937,0.35344827586206895,0.35344827586206895
brock,-0.056790123456790124,9.980246913580247,766.232098765432,405,154.0,0.014517690074201527,0.3802469135802469,0.3802469135802469
bull,-1.1,9.84,779.1,50,15.0,0.0017923074165680898,0.3,0.3
buzz,2.6564417177914113,9.662576687116564,756.3926380368098,163,96.0,0.005842922178011973,0.588957055214724,0.588957055214724
byron,2.0378863409770687,9.93419740777667,828.8354935194417,1003,543.0,0.03595368677635588,0.5413758723828515,0.5413758723828515
carl,3.0964912280701755,9.987719298245613,869.0298245614035,570,355.0,0.020432304548876224,0.6228070175438597,0.6228070175438597
colette,0.37089201877934275,9.938967136150234,785.3145539906103,213,88.0,0.007635229594580063,0.4131455399061033,0.4131455399061033
colonel-ruffs,3.3107142857142855,9.978571428571428,841.4785714285714,280,179.0,0.010036921532781302,0.6392857142857142,0.6392857142857142
colt,-0.2479627473806752,9.965075669383003,763.41792782305,859,314.0,0.030791841416639782,0.36554132712456344,0.36554132712456344
crow,2.8507462686567164,9.975028702640643,862.841561423651,3484,2104.0,0.1248879807864645,0.6039035591274398,0.6039035591274398
darryl,0.7540983606557377,9.901639344262295,729.3934426229508,61,27.0,0.0021866150482130696,0.4426229508196721,0.4426229508196721
dynamike,0.058577405857740586,9.598326359832637,720.3598326359833,239,93.0,0.008567229451195469,0.3891213389121339,0.3891213389121339
edgar,-3.0303030303030303,9.863636363636363,701.3484848484849,66,10.0,0.0023658457898698784,0.15151515151515152,0.15151515151515152
el-primo,-1.9952830188679245,9.68867924528302,764.6367924528302,212,49.0,0.007599383446248701,0.23113207547169812,0.23113207547169812
