brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.2,9.91578947368421,760.9473684210526,190,76,0.007888399900357054,0.4,0.4
amber,2.806146572104019,9.907801418439716,855.4546887312845,1269,762,0.05268620775554264,0.6004728132387707,0.6004728132387707
barley,2.1341463414634148,9.951219512195122,779.1615853658536,328,180,0.013617869301669019,0.5487804878048781,0.5487804878048781
bea,0.0029154518950437317,9.728862973760933,779.6822157434402,343,132,0.014240637714855103,0.3848396501457726,0.3848396501457726
belle,3.64,9.942417582417582,879.1591208791209,2275,1512,0.09445320933322261,0.6646153846153846,0.6646153846153846
bibi,-0.20833333333333334,9.955128205128204,786.8205128205128,312,115,0.01295358299427053,0.3685897435897436,0.3685897435897436
bo,-0.14788732394366197,9.94718309859155,780.362676056338,284,106,0.011791081956323175,0.3732394366197183,0.3732394366197183
brock,0.7288135593220338,9.966101694915254,799.6169491525424,590,260,0.024495557585319273,0.4406779661016949,0.4406779661016949
bull,-0.14925373134328357,9.835820895522389,737.0298507462686,67,25,0.0027816989122311717,0.373134328358209,0.373134328358209
buzz,2.9507246376811596,9.840579710144928,827.2724637681159,345,211,0.014323673503279913,0.6115942028985507,0.6115942028985507
byron,2.031045751633987,9.92483660130719,833.2385620915032,612,331,0.025408951257992196,0.5408496732026143,0.5408496732026143
carl,2.7334983498349836,9.979372937293729,850.8811881188119,1212,721,0.050319687785435524,0.5948844884488449,0.5948844884488449
colette,1.2364864864864864,9.952702702702704,766.0675675675676,148,71,0.006144648343436021,0.4797297297297297,0.4797297297297297
colonel-ruffs,4.217041800643087,9.987138263665594,885.1977491961414,622,441,0.02582413020011625,0.7090032154340836,0.7090032154340836
colt,0.4966442953020134,9.969127516778524,768.2335570469799,745,315,0.030930831188242133,0.4228187919463087,0.4228187919463087
crow,1.7473572938689217,9.97463002114165,835.0803382663847,946,491,0.039275927924935644,0.5190274841437632,0.5190274841437632
darryl,4.368715083798882,9.955307262569832,930.8603351955308,179,129,0.007431703064020593,0.7206703910614525,0.7206703910614525
dynamike,-0.3270868824531516,9.887563884156728,759.7734241908007,587,211,0.024371003902682056,0.3594548551959114,0.3594548551959114
edgar,-0.7640449438202247,9.831460674157304,715.6741573033707,89,29,0.0036950925849040936,0.3258426966292135,0.3258426966292135
el-primo,-0.622895622895623,9.804713804713804,789.7609427609427,297,100,0.012330814581084447,0.3367003367003367,0.3367003367003367
emz,-0.6666666666666666,9.867424242424242,746.625,528,176,0.02192144814415013,0.3333333333333333,0.3333333333333333
frank,0.6415094339622641,9.773584905660377,749.3522012578617,159,69,0.006601345179772482,0.4339622641509434,0.4339622641509434
gale,1.2173913043478262,9.91304347826087,750.664596273292,161,77,0.006684380968197293,0.4782608695652174,0.4782608695652174
gene,0.8142201834862385,9.962155963302752,832.6961009174312,872,390,0.036203603753217635,0.44724770642201833,0.44724770642201833
jacky,0.08695652173913043,9.91304347826087,688.9565217391304,23,9,0.0009549115668853275,0.391304347826087,0.391304347826087
jessie,-1.4254992319508448,9.869431643625193,733.741935483871,651,179,0.02702814913227601,0.2749615975422427,0.2749615975422427
leon,1.673003802281369,9.923954372623575,790.4486692015209,263,135,0.01091920617786266,0.5133079847908745,0.5133079847908745
lou,2.819325328759291,9.940537449971412,836.9130931961121,1749,1052,0.0726147969774973,0.6014865637507147,0.6014865637507147
max,1.5440976933514248,9.976933514246948,835.0569877883311,737,371,0.03059868803454289,0.5033921302578019,0.5033921302578019
mortis,-0.5289017341040463,9.985549132947977,791.3757225433526,346,119,0.01436519139749232,0.3439306358381503,0.3439306358381503
mr-p,0.17699115044247787,9.982300884955752,760.7610619469026,113,45,0.0046915220460018265,0.39823008849557523,0.39823008849557523
nani,1.0851063829787233,9.929078014184396,797.3333333333334,141,66,0.005854023083949182,0.46808510638297873,0.46808510638297873
nita,-1.4202898550724639,9.86231884057971,697.9565217391304,138,38,0.0057294694013119655,0.2753623188405797,0.2753623188405797
pam,1.4386792452830188,9.99056603773585,805.5314465408806,636,315,0.02640538071908993,0.49528301886792453,0.49528301886792453
penny,0.5411764705882353,9.9710407239819,752.9511312217195,1105,471,0.04587727310470813,0.4262443438914027,0.4262443438914027
piper,1.4025487256371814,9.992503748125937,833.6544227886056,1334,657,0.055384870879349,0.49250374812593706,0.49250374812593706
poco,-0.6666666666666666,9.950980392156863,715.1029411764706,204,68,0.008469650419330732,0.3333333333333333,0.3333333333333333
rico,-0.7692307692307693,9.95266272189349,758.4792899408284,169,55,0.007016524121896538,0.3254437869822485,0.3254437869822485
rosa,-2.5925925925925926,9.592592592592593,731.8518518518518,27,5,0.0011209831437349498,0.18518518518518517,0.18518518518518517
sandy,1.2413793103448276,9.960212201591512,794.5437665782493,377,181,0.01565224611807689,0.48010610079575594,0.48010610079575594
shelly,-2.0454545454545454,10.0,756.9545454545455,44,10,0.001826787345345844,0.22727272727272727,0.22727272727272727
spike,2.144144144144144,9.954954954954955,794.4804804804805,333,183,0.013825458772731046,0.5495495495495496,0.5495495495495496
sprout,1.9452054794520548,9.897260273972602,780.7602739726027,146,78,0.00606161255501121,0.5342465753424658,0.5342465753424658
squeak,2.7740863787375414,9.943521594684386,747.2159468438538,301,180,0.012496886157934069,0.5980066445182725,0.5980066445182725
stu,2.5429497568881687,9.949756888168558,869.3833063209076,1234,716,0.05123308145810845,0.580226904376013,0.580226904376013
surge,0.6655405405405406,9.91891891891892,815.9662162162163,296,129,0.012289296686872042,0.4358108108108108,0.4358108108108108
tara,-0.6942675159235668,9.92356687898089,741.2547770700637,157,52,0.006518309391347671,0.33121019108280253,0.33121019108280253
tick,-2.54228855721393,9.888059701492537,715.1616915422885,402,76,0.01669019347338703,0.1890547263681592,0.1890547263681592
