brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.8064516129032258,9.870967741935484,712.0322580645161,31,10,0.0012298171142936486,0.3225806451612903,0.3225806451612903
amber,-1.88,9.76,741.96,75,18,0.002975363986194311,0.24,0.24
barley,1.9020251778872468,9.98631636562671,817.599890530925,1827,970,0.07247986670369341,0.5309250136836344,0.5309250136836344
bea,-3.074074074074074,9.481481481481481,729.1851851851852,27,4,0.001071131035029952,0.14814814814814814,0.14814814814814814
belle,1.6756756756756757,9.855855855855856,749.4144144144144,111,57,0.00440353869956758,0.5135135135135135,0.5135135135135135
bibi,1.6023622047244095,9.978127734033245,837.9343832020998,2286,1161,0.0906890942992026,0.5078740157480315,0.5078740157480315
bo,-1.608695652173913,9.97391304347826,729.9478260869565,115,30,0.004562224778831277,0.2608695652173913,0.2608695652173913
brock,-1.608695652173913,9.985507246376812,733.3188405797101,69,18,0.0027373348672987663,0.2608695652173913,0.2608695652173913
bull,2.047752808988764,9.985955056179776,812.2387640449438,356,193,0.014123061054468996,0.5421348314606742,0.5421348314606742
buzz,3.297872340425532,9.88485607008761,834.4893617021277,799,510,0.03169754433292339,0.6382978723404256,0.6382978723404256
byron,0.15517241379310345,9.931034482758621,750.4310344827586,58,23,0.0023009481493236005,0.39655172413793105,0.39655172413793105
carl,1.5839483394833949,9.98339483394834,839.260147601476,1084,549,0.04300392748046178,0.5064575645756457,0.5064575645756457
colette,0.5714285714285714,10.0,788.3571428571429,28,12,0.0011108025548458762,0.42857142857142855,0.42857142857142855
colonel-ruffs,3.125,9.99074074074074,854.7314814814815,216,135,0.008569048280239615,0.625,0.625
colt,-1.368421052631579,9.97165991902834,739.408906882591,247,69,0.009798865394533264,0.2793522267206478,0.2793522267206478
crow,-1.3814432989690721,9.958762886597938,747.2577319587629,97,27,0.0038481374221446423,0.27835051546391754,0.27835051546391754
darryl,2.497354497354497,9.976190476190476,863.9074074074074,378,218,0.014995834490419328,0.5767195767195767,0.5767195767195767
dynamike,1.8262688232013384,9.957891801450083,835.3126045733408,3586,1883,0.142262070059904,0.5250976017847183,0.5250976017847183
edgar,0.6740331491712708,9.878453038674033,781.5193370165746,181,79,0.007180545086682271,0.43646408839779005,0.43646408839779005
el-primo,1.8828270303781773,9.95040297582145,851.0898946063236,1613,854,0.06399016146308566,0.5294482331060136,0.5294482331060136
emz,1.8527131782945736,9.96124031007752,870.2480620155038,774,408,0.03070575633752529,0.5271317829457365,0.5271317829457365
frank,3.0224032586558045,9.95723014256619,858.8350305498982,982,606,0.038957432459237516,0.6171079429735234,0.6171079429735234
gale,0.4444444444444444,9.991452991452991,818.4871794871794,117,49,0.0046415678184631255,0.4188034188034188,0.4188034188034188
gene,2.1334205362982344,9.977109221713539,864.1438848920864,1529,839,0.06065775379854802,0.5487246566383257,0.5487246566383257
