brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.4216867469879517,9.987951807228916,762.6746987951807,166,82,0.008112598963933144,0.4939759036144578,0.4939759036144578
amber,1.0666666666666667,9.948148148148148,789.8,270,126,0.013195191085915355,0.4666666666666667,0.4666666666666667
barley,2.1211305518169583,9.993270524899058,805.4104979811575,743,407,0.03631121102531522,0.5477792732166891,0.5477792732166891
bea,0.9428571428571428,9.92142857142857,806.5357142857143,140,64,0.006841950933437591,0.45714285714285713,0.45714285714285713
belle,3.3624288425047437,9.903225806451612,861.6157495256167,1054,678,0.05151011631316587,0.6432637571157496,0.6432637571157496
bibi,1.9810246679316887,9.983870967741936,820.7656546489563,1054,566,0.05151011631316587,0.5370018975332068,0.5370018975332068
bo,0.6958762886597938,9.93298969072165,724.680412371134,194,85,0.009480989150620662,0.4381443298969072,0.4381443298969072
brock,2.1644444444444444,9.96888888888889,811.2044444444444,225,124,0.01099599257159613,0.5511111111111111,0.5511111111111111
bull,2.558139534883721,9.976744186046512,821.1017441860465,344,200,0.016811650865018082,0.5813953488372093,0.5813953488372093
buzz,2.3333333333333335,9.897435897435898,799.7863247863248,468,264,0.022871664548919948,0.5641025641025641,0.5641025641025641
byron,0.6834170854271356,9.899497487437186,802.964824120603,199,87,0.009725344541100576,0.4371859296482412,0.4371859296482412
carl,1.7116279069767442,9.969767441860466,815.1418604651162,430,222,0.021014563581272603,0.5162790697674419,0.5162790697674419
colette,2.8,9.982222222222223,815.3822222222223,225,135,0.01099599257159613,0.6,0.6
colonel-ruffs,0.9396551724137931,9.982758620689655,780.5775862068965,116,53,0.005669045059134004,0.45689655172413796,0.45689655172413796
colt,-0.05161290322580645,9.948387096774194,749.5419354838709,310,118,0.015150034209754666,0.38064516129032255,0.38064516129032255
crow,-0.8064516129032258,9.956989247311828,733.0483870967741,186,60,0.0090900205258528,0.3225806451612903,0.3225806451612903
darryl,3.106575963718821,9.961451247165533,840.1269841269841,441,275,0.021552145440328414,0.6235827664399093,0.6235827664399093
dynamike,0.16030534351145037,9.877862595419847,765.825517993457,917,364,0.044814778614016226,0.3969465648854962,0.3969465648854962
edgar,-1.3676470588235294,9.856617647058824,732.2683823529412,272,76,0.01329293324210732,0.27941176470588236,0.27941176470588236
el-primo,1.8627450980392157,9.92684766214178,853.5377073906486,1326,700,0.06480304955527319,0.5279034690799397,0.5279034690799397
emz,1.361995753715499,9.863057324840764,809.1422505307855,942,461,0.046036555566415796,0.4893842887473461,0.4893842887473461
frank,3.25,9.949095022624434,846.9536199095022,884,561,0.043202033036848796,0.6346153846153846,0.6346153846153846
gale,2.7320261437908497,9.980392156862745,827.7679738562091,306,182,0.014954549897370736,0.5947712418300654,0.5947712418300654
gene,0.8513238289205702,9.961303462321792,821.5458248472505,491,221,0.023995699345127554,0.45010183299389,0.45010183299389
jacky,2.1914893617021276,9.881458966565349,838.8632218844984,329,182,0.01607858469357834,0.5531914893617021,0.5531914893617021
jessie,-0.9435364041604755,9.814264487369986,730.2659732540861,673,210,0.03289023555859642,0.31203566121842496,0.31203566121842496
leon,1.097938144329897,9.938144329896907,799.1340206185567,194,91,0.009480989150620662,0.4690721649484536,0.4690721649484536
lou,3.3777777777777778,9.967003367003366,842.5003367003367,1485,957,0.07257355097253446,0.6444444444444445,0.6444444444444445
max,1.745704467353952,9.97938144329897,825.2439862542956,291,151,0.014221483725930994,0.5189003436426117,0.5189003436426117
mortis,0.21768707482993196,9.986394557823129,759.7244897959183,294,118,0.014368096960218943,0.4013605442176871,0.4013605442176871
mr-p,-0.8173913043478261,9.965217391304348,774.3913043478261,115,37,0.005620173981038022,0.3217391304347826,0.3217391304347826
nani,-1.4864864864864864,9.702702702702704,756.5945945945946,37,10,0.0018082298895513635,0.2702702702702703,0.2702702702702703
nita,-0.574468085106383,9.91063829787234,743.3787234042553,235,80,0.011484703352555957,0.3404255319148936,0.3404255319148936
pam,3.608108108108108,9.975675675675676,841.9135135135135,370,245,0.018082298895513636,0.6621621621621622,0.6621621621621622
penny,0.47368421052631576,9.984595635430038,756.4685494223363,779,328,0.038070569836770596,0.42105263157894735,0.42105263157894735
piper,1.6893203883495145,9.990291262135923,834.9902912621359,103,53,0.0050337210438862285,0.5145631067961165,0.5145631067961165
poco,-1.5121951219512195,9.871951219512194,719.3475609756098,164,44,0.008014856807741179,0.2682926829268293,0.2682926829268293
rico,-0.7299270072992701,9.97080291970803,722.2919708029198,137,45,0.0066953376991496436,0.3284671532846715,0.3284671532846715
rosa,1.7407407407407407,9.822222222222223,735.2740740740741,135,70,0.0065975955429576775,0.5185185185185185,0.5185185185185185
