brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-2.111111111111111,9.944444444444445,733.3333333333334,36,8,0.0015996445234392356,0.2222222222222222,0.2222222222222222
amber,1.5,9.894117647058824,807.3941176470588,170,85,0.007553876916240835,0.5,0.5
barley,2.074656188605108,9.981663392272429,813.5330713817943,1527,831,0.06785158853588091,0.5442043222003929,0.5442043222003929
bea,1.6756756756756757,9.95945945945946,865.1351351351351,148,76,0.00657631637413908,0.5135135135135135,0.5135135135135135
belle,2.6375,9.933333333333334,798.7333333333333,240,141,0.010664296822928238,0.5875,0.5875
bibi,1.537284894837476,9.968451242829827,814.1175908221797,1046,526,0.046478560319928905,0.502868068833652,0.502868068833652
bo,-2.15625,9.989583333333334,719.7291666666666,96,21,0.004265718729171295,0.21875,0.21875
brock,-0.6666666666666666,9.97979797979798,730.6767676767677,99,33,0.004399022439457898,0.3333333333333333,0.3333333333333333
bull,2.1550387596899223,9.94186046511628,806.6627906976744,258,142,0.011464119084647856,0.5503875968992248,0.5503875968992248
buzz,2.6666666666666665,9.907692307692308,815.5230769230769,585,345,0.025994223505887582,0.5897435897435898,0.5897435897435898
byron,-2.2916666666666665,9.895833333333334,721.7291666666666,48,10,0.0021328593645856477,0.20833333333333334,0.20833333333333334
carl,3.1018957345971563,9.995260663507109,854.5201421800948,844,526,0.03750277716063097,0.6232227488151659,0.6232227488151659
colette,-0.775,9.9,745.425,40,13,0.001777382803821373,0.325,0.325
colonel-ruffs,0.375,9.98076923076923,786.875,104,43,0.00462119528993557,0.41346153846153844,0.41346153846153844
colt,2.545741324921136,9.979495268138802,846.468454258675,634,368,0.028171517440568762,0.580441640378549,0.580441640378549
crow,-0.7588652482269503,9.950354609929079,757.0212765957447,141,46,0.00626527438347034,0.3262411347517731,0.3262411347517731
darryl,4.2177700348432055,9.987804878048781,921.3501742160279,574,407,0.0255054432348367,0.7090592334494773,0.7090592334494773
dynamike,1.7539702546004536,9.95765061759516,815.973531635997,3967,2061,0.17627193956898468,0.5195361734308042,0.5195361734308042
edgar,-0.6168582375478927,9.831417624521073,755.4942528735633,261,88,0.01159742279493446,0.3371647509578544,0.3371647509578544
el-primo,1.812192118226601,9.939655172413794,858.4796798029556,1624,851,0.07216174183514774,0.5240147783251231,0.5240147783251231
emz,1.808349146110057,9.869070208728653,837.7134724857685,527,276,0.02341701844034659,0.523719165085389,0.523719165085389
frank,2.434375,9.9375,854.0921875,640,366,0.02843812486114197,0.571875,0.571875
gale,2.641891891891892,10.0,806.2635135135135,148,87,0.00657631637413908,0.5878378378378378,0.5878378378378378
gene,1.3383084577114428,9.975124378109452,858.1293532338309,402,196,0.017862697178404798,0.48756218905472637,0.48756218905472637
jacky,3.1733800350262698,9.99124343257443,845.3257443082312,571,359,0.0253721395245501,0.6287215411558669,0.6287215411558669
jessie,-1.5542168674698795,9.944578313253013,734.7156626506024,415,110,0.018440346589646744,0.26506024096385544,0.26506024096385544
leon,0.7777777777777778,9.914529914529915,793.3846153846154,117,52,0.005198844701177516,0.4444444444444444,0.4444444444444444
lou,2.8978494623655915,9.961290322580645,847.5462365591397,930,565,0.04132415018884692,0.6075268817204301,0.6075268817204301
max,2.1,9.992307692307692,831.9846153846154,260,142,0.011552988224838925,0.5461538461538461,0.5461538461538461
mortis,0.24727272727272728,9.785454545454545,764.0727272727273,275,111,0.012219506776271939,0.4036363636363636,0.4036363636363636
mr-p,-0.36363636363636365,9.986013986013987,770.6083916083916,143,51,0.006354143523661409,0.35664335664335667,0.35664335664335667
nani,-3.5555555555555554,9.944444444444445,729.2777777777778,18,2,0.0007998222617196178,0.1111111111111111,0.1111111111111111
nita,-1.5085714285714287,9.925714285714285,725.36,175,47,0.007776049766718507,0.26857142857142857,0.26857142857142857
pam,0.85,9.983333333333333,745.8416666666667,120,54,0.005332148411464119,0.45,0.45
penny,-0.7231270358306189,9.956026058631922,734.0065146579805,614,202,0.027282826038658076,0.3289902280130293,0.3289902280130293
piper,-0.23333333333333334,10.0,745.4666666666667,30,11,0.0013330371028660297,0.36666666666666664,0.36666666666666664
poco,-0.639751552795031,9.850931677018634,767.9627329192547,161,54,0.007153965785381027,0.33540372670807456,0.33540372670807456
rico,0.35714285714285715,9.95054945054945,778.5741758241758,364,150,0.016174183514774496,0.41208791208791207,0.41208791208791207
rosa,-2.2025316455696204,9.886075949367088,771.5822784810126,79,17,0.0035103310375472116,0.21518987341772153,0.21518987341772153
sandy,2.263001485884101,9.980683506686479,846.9777117384843,673,376,0.0299044656742946,0.5586924219910847,0.5586924219910847
shelly,1.3818181818181818,9.945454545454545,835.9363636363636,110,54,0.004887802710508776,0.4909090909090909,0.4909090909090909
spike,1.0149253731343284,9.970149253731343,798.318407960199,201,93,0.008931348589202399,0.4626865671641791,0.4626865671641791
sprout,-0.2996742671009772,9.928338762214985,779.2703583061889,307,111,0.013641413019329038,0.36156351791530944,0.36156351791530944
squeak,1.1618497109826589,9.936416184971097,736.1040462427745,173,82,0.0076871806265274385,0.47398843930635837,0.47398843930635837
stu,3.086238532110092,9.974311926605505,911.2146788990825,545,339,0.024216840702066207,0.6220183486238532,0.6220183486238532
surge,3.457627118644068,9.94393741851369,902.8422425032594,767,499,0.034081315263274826,0.6505867014341591,0.6505867014341591
tara,-1.5121951219512195,9.951219512195122,743.9024390243902,82,22,0.0036436347478338146,0.2682926829268293,0.2682926829268293
tick,-1.2261513157894737,9.914473684210526,738.1274671052631,1216,353,0.05403243723616974,0.2902960526315789,0.2902960526315789
