brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-2.4,10.0,742.7333333333333,30,6,0.0009013881377321074,0.2,0.2
amber,-1.1590909090909092,9.840909090909092,782.3977272727273,88,26,0.0026440718706808486,0.29545454545454547,0.29545454545454547
barley,1.2808340727595386,9.982253771073648,804.592280390417,2254,1089,0.067724295414939,0.4831410825199645,0.4831410825199645
bea,-2.0208333333333335,9.958333333333334,766.9583333333334,48,11,0.001442221020371372,0.22916666666666666,0.22916666666666666
belle,1.6042780748663101,9.88770053475936,791.4812834224599,187,95,0.005618652725196803,0.5080213903743316,0.5080213903743316
bibi,1.7063492063492063,9.982473544973544,833.3958333333334,3024,1560,0.09085992428339643,0.5158730158730159,0.5158730158730159
bo,0.9347826086956522,9.91304347826087,776.3913043478261,138,63,0.004146385433567695,0.45652173913043476,0.45652173913043476
brock,-0.9818181818181818,10.0,762.2727272727273,110,34,0.0033050898383510607,0.3090909090909091,0.3090909090909091
bull,2.778833107191316,9.966078697421981,841.0990502035278,737,441,0.022144101916952107,0.5983717774762551,0.5983717774762551
buzz,2.8698347107438016,9.799586776859504,801.595041322314,968,586,0.029084790577489333,0.6053719008264463,0.6053719008264463
byron,-1.9210526315789473,9.894736842105264,720.6578947368421,38,9,0.0011417583077940028,0.23684210526315788,0.23684210526315788
carl,2.121160409556314,9.986348122866895,844.4616040955632,1172,642,0.03521422991406766,0.5477815699658704,0.5477815699658704
colette,0.6078431372549019,9.901960784313726,832.1176470588235,102,44,0.0030647196682891654,0.43137254901960786,0.43137254901960786
colonel-ruffs,1.6857142857142857,9.971428571428572,828.9238095238095,210,108,0.006309716964124752,0.5142857142857142,0.5142857142857142
colt,0.16030534351145037,9.977099236641221,760.5776081424937,393,156,0.011808184604290608,0.3969465648854962,0.3969465648854962
crow,-2.0,9.967032967032967,736.065934065934,91,21,0.0027342106844540593,0.23076923076923078,0.23076923076923078
darryl,3.8276374442793464,9.967310549777118,865.8306092124815,673,457,0.020221140556456945,0.6790490341753344,0.6790490341753344
dynamike,2.1085987261146495,9.9578025477707,836.4769108280254,6280,3434,0.18869058349858783,0.5468152866242039,0.5468152866242039
edgar,-1.9553903345724908,9.802973977695167,731.6468401486989,269,63,0.00808244696833123,0.2342007434944238,0.2342007434944238
el-primo,1.9471312706518473,9.949534394713128,850.3784920396515,3329,1779,0.10002403701700618,0.5343947131270652,0.5343947131270652
emz,0.809931506849315,9.83390410958904,808.1284246575342,584,261,0.01754702241451836,0.4469178082191781,0.4469178082191781
frank,3.011123470522803,9.96384872080089,865.6256952169077,1798,1108,0.054023195721410976,0.6162402669632926,0.6162402669632926
gale,-0.6666666666666666,10.0,744.8405797101449,69,23,0.0020731927167838473,0.3333333333333333,0.3333333333333333
gene,1.8501170960187354,9.978922716627634,866.9847775175645,854,450,0.025659515654107325,0.5269320843091335,0.5269320843091335
jacky,1.9749835418038184,9.967083607636603,841.9710335747202,1519,815,0.045640286040502374,0.5365371955233706,0.5365371955233706
jessie,-1.2936170212765958,9.942553191489361,718.1404255319148,470,134,0.01412174749113635,0.2851063829787234,0.2851063829787234
leon,-0.6666666666666666,9.933333333333334,748.5714285714286,105,35,0.003154858482062376,0.3333333333333333,0.3333333333333333
lou,2.6691648822269807,9.962526766595289,858.6809421841542,934,551,0.028063217354726278,0.5899357601713062,0.5899357601713062
max,1.63,9.94,818.525,200,102,0.006009254251547383,0.51,0.51
mortis,0.6676829268292683,9.990853658536585,759.8323170731708,328,143,0.009855176972537709,0.43597560975609756,0.43597560975609756
mr-p,-0.7578947368421053,9.91578947368421,752.6842105263158,95,31,0.002854395769485007,0.3263157894736842,0.3263157894736842
nani,-3.2666666666666666,10.0,772.6,15,2,0.0004506940688660537,0.13333333333333333,0.13333333333333333
nita,-0.32,9.956,755.404,250,90,0.007511567814434229,0.36,0.36
pam,-0.21052631578947367,9.921052631578947,704.6578947368421,38,14,0.0011417583077940028,0.3684210526315789,0.3684210526315789
