brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.471624266144814,9.761252446183953,788.0626223091976,511,99,0.004632861585327156,0.19373776908023482,0.5929549902152642
amber,0.7398843930635838,9.683526011560694,765.5939306358382,692,101,0.006273855610658302,0.14595375722543352,0.5404624277456648
barley,-2.4594594594594597,9.702702702702704,670.8918918918919,74,2,0.0006709036346657721,0.02702702702702703,0.2972972972972973
bea,-0.41909090909090907,9.647272727272727,729.71,1100,100,0.00997289186665337,0.09090909090909091,0.46545454545454545
belle,-0.40240963855421685,9.790361445783132,729.3180722891566,415,35,0.0037625001133283166,0.08433734939759036,0.4795180722891566
bibi,-0.6781609195402298,9.78872468527641,749.1778872468527,1827,140,0.016564066763977914,0.07662835249042145,0.4575807334428024
bo,-1.9221902017291066,9.708933717579251,681.5331412103747,347,15,0.003145994070662472,0.043227665706051875,0.38904899135446686
brock,-0.9387483355525965,9.794940079893475,700.832223701731,751,67,0.006808765265324255,0.08921438082556592,0.4234354194407457
bull,0.057122708039492244,9.557827926657264,745.8244005641749,1418,118,0.012855964242649525,0.08321579689703808,0.5049365303244006
buzz,0.8793748624257098,9.394012766894123,777.0953114681928,4543,763,0.04118804340927842,0.1679506933744222,0.548976447281532
byron,-2.0260416666666665,9.505208333333334,706.0416666666666,192,12,0.001740722943997679,0.0625,0.3541666666666667
carl,0.6064814814814815,9.68584656084656,780.8366402116402,1512,146,0.013708193183981723,0.09656084656084656,0.542989417989418
colette,1.842762674504041,9.935709037472447,849.9324026451139,5444,760,0.04935674847460086,0.13960323291697282,0.6300514327700221
colonel-ruffs,-0.4426229508196721,9.651639344262295,724.4918032786885,244,24,0.002212168741330384,0.09836065573770492,0.4713114754098361
colt,-0.7107728337236534,9.8711943793911,729.692037470726,1708,177,0.015485181189312686,0.10362997658079626,0.4484777517564403
crow,0.1885654340414372,9.88014686598479,784.7136113296617,3813,394,0.034569669715953905,0.1033307107264621,0.5053763440860215
darryl,0.15830945558739254,9.287249283667622,735.9785100286533,1396,95,0.012656506405316457,0.0680515759312321,0.5257879656160458
dynamike,-1.9137931034482758,9.739350912778905,682.6369168356998,986,37,0.008939337618654748,0.037525354969574036,0.3630831643002028
edgar,-1.1001977587343441,9.36914963744232,705.2931773236651,6068,450,0.055014098042593315,0.07415952537903757,0.4243572841133817
el-primo,0.12085058600603552,9.5886377991438,812.6144992631062,28498,2639,0.25837042946898886,0.09260298968348656,0.5146676959786651
emz,0.21917366042608133,9.669464170432537,807.0477727566172,3098,371,0.028087290002629217,0.1197546804389929,0.5080697224015494
frank,-0.5516129032258065,9.506451612903225,792.1774193548387,1550,117,0.01405271126664793,0.07548387096774194,0.4632258064516129
gale,0.7724609375,9.771484375,760.4208984375,1024,121,0.009283855701320955,0.1181640625,0.5537109375
gene,1.1941523171154513,9.788165954004391,858.5244423899226,8653,880,0.07845039392922873,0.1016988327747602,0.5897376632381833
jacky,-0.5475409836065573,9.6,727.472131147541,305,24,0.0027652109266629796,0.07868852459016394,0.47540983606557374
jessie,-2.598404255319149,9.46808510638298,697.2154255319149,376,18,0.003408915765328788,0.047872340425531915,0.30851063829787234
leon,-0.6792491328300347,9.728830850846766,739.4329728626811,4901,404,0.044433766398607424,0.08243215670271373,0.4484799020608039
lou,0.28975265017667845,9.614840989399294,705.9151943462898,283,36,0.0025657530893299124,0.127208480565371,0.49469964664310956
max,0.026232114467408585,9.644674085850557,760.1605723370429,1258,111,0.011405361789318126,0.08823529411764706,0.5087440381558028
mortis,-1.3282491261518907,9.851286939942803,715.7260883380998,3147,149,0.02853153700396196,0.04734667937718462,0.41372735938989513
mr-p,-1.7848837209302326,9.779069767441861,711.203488372093,172,12,0.001559397637331254,0.06976744186046512,0.36627906976744184
nani,0.1292834890965732,9.406542056074766,725.7850467289719,642,58,0.005820542343992239,0.09034267912772585,0.5077881619937694
nita,-1.0202839756592292,9.764705882352942,704.3286004056795,493,41,0.004469668809327374,0.08316430020283976,0.43204868154158216
pam,1.5364891518737673,9.767258382642998,824.3037475345168,507,75,0.004596596523993871,0.14792899408284024,0.6055226824457594
penny,-1.375,9.84,700.52,200,17,0.001813253066664249,0.085,0.415
piper,-1.4324894514767932,9.79957805907173,708.6181434599156,474,29,0.00429740976799427,0.06118143459915612,0.39662447257383965
poco,-2.096590909090909,9.829545454545455,696.3295454545455,176,4,0.001595662698664539,0.022727272727272728,0.375
rico,-1.4764705882352942,9.658823529411764,693.4264705882352,340,25,0.003082530213329223,0.07352941176470588,0.3911764705882353
rosa,0.20347826086956522,9.292173913043479,736.4208695652173,575,65,0.0052131025666597155,0.11304347826086956,0.5217391304347826
sandy,-0.33377135348226017,9.814717477003942,730.9145860709592,761,85,0.0068994279186574674,0.1116951379763469,0.45992115637319314
shelly,-0.1260132645541636,9.832903463522475,780.3771186440678,5428,576,0.04921168822926772,0.10611643330876934,0.48378776713338245
spike,-0.169375,9.799375,736.41875,1600,184,0.014506024533313991,0.115,0.484375
sprout,-0.6753246753246753,9.584415584415584,685.1818181818181,77,3,0.0006981024306657359,0.03896103896103896,0.4675324675324675
squeak,-0.4022346368715084,9.625698324022347,680.5139664804469,179,6,0.001622861494664503,0.0335195530726257,0.4972067039106145
stu,-0.1295774647887324,9.597746478873239,762.8123943661972,1775,180,0.01609262096664521,0.10140845070422536,0.49126760563380284
surge,-0.32720245235239237,9.54524856723977,759.7322404371585,7503,914,0.0680241887959093,0.12181793949087032,0.4640810342529655
tara,0.39903846153846156,9.794230769230769,790.8083333333333,3120,492,0.028286747839962285,0.1576923076923077,0.5227564102564103
tick,-1.2027972027972027,9.65034965034965,732.8391608391609,143,10,0.0012964759426649381,0.06993006993006994,0.4405594405594406
