brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.4857142857142857,9.649206349206349,768.9555555555555,630,89,0.005607127281789297,0.14126984126984127,0.5365079365079365
amber,-0.170076726342711,9.58695652173913,729.9757033248081,782,74,0.006959957991046397,0.09462915601023018,0.4859335038363171
barley,-2.5686274509803924,9.03921568627451,669.9411764705883,51,1,0.00045391030376389546,0.0196078431372549,0.3333333333333333
bea,-0.4391285775309697,9.71422469030329,727.8385305425032,2341,198,0.02083537296296626,0.08457923964117899,0.4741563434429731
belle,-0.36477987421383645,9.671383647798741,697.183962264151,636,59,0.005660528493996814,0.09276729559748427,0.47641509433962265
bibi,-0.19316909294512877,9.763717805151176,743.7200447928332,1786,121,0.015895760833770926,0.0677491601343785,0.49048152295632697
bo,-1.8509316770186335,9.685300207039338,696.3995859213251,483,18,0.004298797582705127,0.037267080745341616,0.36231884057971014
brock,-0.9879396984924623,9.765829145728643,693.7226130653266,995,88,0.008855701024413255,0.08844221105527639,0.41708542713567837
bull,-0.11752786220871327,9.537993920972644,738.09726443769,987,76,0.008784499408136564,0.07700101317122594,0.48733535967578523
buzz,1.5991746905089408,9.32242090784044,777.3295735900963,3635,674,0.03235223439572078,0.18541953232462174,0.5933975240715268
byron,-0.9773584905660377,9.550943396226415,700.3943396226415,530,36,0.004717107078330678,0.06792452830188679,0.42452830188679247
carl,0.4224519940915805,9.597488921713442,754.6314623338257,1354,122,0.012050873554829694,0.09010339734121123,0.5391432791728212
colette,0.37453183520599254,9.777153558052435,749.0736579275905,1602,154,0.014258123659407068,0.09612983770287141,0.5255930087390761
colonel-ruffs,0.30414746543778803,9.626728110599078,707.1382488479263,217,23,0.0019313438415052022,0.10599078341013825,0.5345622119815668
colt,-1.105155343120519,9.86070331171048,716.1628542164561,2929,220,0.026068691759302935,0.07511095937179925,0.4233526800955958
crow,-0.45579906426988426,9.799064269884266,730.6185668554543,4061,384,0.036143720462454496,0.09455799064269885,0.4715587293770007
darryl,0.008319467554076539,9.189683860232945,720.6638935108153,1202,80,0.010698042845572594,0.06655574043261231,0.5116472545757071
dynamike,-1.552901023890785,9.686006825938566,675.0295790671217,879,48,0.007823277588401257,0.05460750853242321,0.3970420932878271
edgar,-1.260094080752646,9.335750686005488,698.4743237945903,5102,352,0.045408830780458716,0.06899255194041552,0.4143473147785182
el-primo,-0.014864207821073835,9.474334930888379,796.2625546988957,14397,1465,0.12813620869193731,0.1017573105508092,0.4993401403070084
emz,-0.3807531380753138,9.493200836820083,739.8640167364017,1912,197,0.017017186290128786,0.10303347280334728,0.4743723849372385
frank,1.7525233644859812,9.6003738317757,824.6242990654206,2675,397,0.023808040442518046,0.14841121495327103,0.6142056074766356
gale,0.3882934872217642,9.717230008244023,750.3462489694971,1213,126,0.010795945067953042,0.10387469084913438,0.5292662819455894
gene,1.1042692307692308,9.7955,852.2885,26000,3087,0.23140525289924083,0.11873076923076924,0.5792307692307692
jacky,-1.2701612903225807,9.491935483870968,729.5483870967741,248,13,0.002207250104577374,0.05241935483870968,0.40725806451612906
jessie,-1.4901960784313726,9.519607843137255,687.3843137254902,510,45,0.0045391030376389545,0.08823529411764706,0.38823529411764707
leon,-0.26974500344589936,9.771330117160579,741.1623707787733,7255,687,0.06457096576092278,0.0946933149552033,0.4833907649896623
lou,0.10512820512820513,9.525641025641026,707.7410256410257,390,34,0.0034710787934886123,0.08717948717948718,0.517948717948718
max,0.18782051282051282,9.644871794871795,758.0974358974358,1560,130,0.01388431517395445,0.08333333333333333,0.5256410256410257
mortis,-0.5366876310272537,9.83927323549965,707.3906359189378,4293,236,0.03820856733447849,0.05497321220591661,0.47216398788725833
mr-p,-1.8738738738738738,9.77927927927928,711.5360360360361,222,15,0.001975844851678133,0.06756756756756757,0.3738738738738739
nani,-0.05416666666666667,9.394791666666666,716.8354166666667,960,86,0.008544193953202738,0.08958333333333333,0.4947916666666667
nita,-1.1793893129770991,9.74618320610687,698.9942748091603,524,51,0.004663705866123161,0.09732824427480916,0.41030534351145037
pam,1.1440677966101696,9.786440677966102,790.9508474576271,590,91,0.005251119200405849,0.15423728813559323,0.559322033898305
penny,-0.7669491525423728,9.775423728813559,681.6059322033898,236,24,0.0021004476801623397,0.1016949152542373,0.4322033898305085
piper,-0.7654205607476635,9.757943925233645,703.8691588785047,1070,77,0.009523216177007219,0.07196261682242991,0.4373831775700935
poco,-0.17123287671232876,9.633561643835616,703.3116438356165,292,21,0.002598858994099166,0.07191780821917808,0.4931506849315068
rico,-1.5613636363636363,9.654545454545454,696.7795454545454,440,24,0.003916088895217921,0.05454545454545454,0.38636363636363635
rosa,0.11611374407582939,9.345971563981042,725.9123222748815,422,45,0.00375588525859537,0.1066350710900474,0.504739336492891
sandy,-0.7107623318385651,9.711883408071749,717.8273542600897,892,74,0.007938980214850877,0.08295964125560538,0.4405829596412556
shelly,-0.6806106870229007,9.749312977099237,749.3483969465649,3275,303,0.029148161663269757,0.09251908396946565,0.44671755725190837
spike,0.060112359550561795,9.83932584269663,731.208988764045,1780,206,0.01584235962156341,0.11573033707865168,0.5028089887640449
sprout,-0.8852459016393442,9.278688524590164,705.3934426229508,61,1,0.0005429123241097573,0.01639344262295082,0.47540983606557374
squeak,-0.3333333333333333,9.408602150537634,680.8494623655914,186,7,0.0016554375784330305,0.03763440860215054,0.5053763440860215
stu,-0.5045492142266336,9.505789909015716,753.651364764268,2418,238,0.021520688519629395,0.09842845326716294,0.4598842018196857
surge,-0.873285973897241,9.426069717495457,726.3842722616885,6053,638,0.05387292291535018,0.10540227986122584,0.43119114488683297
tara,-0.19437939110070257,9.653864168618266,751.1395784543325,2135,269,0.019001931343841504,0.12599531615925058,0.48243559718969553
tick,-3.047945205479452,9.719178082191782,718.1369863013699,146,3,0.001299429497049583,0.02054794520547945,0.3150684931506849
