brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,1.302915082382763,9.740177439797211,785.8263624841571,789,138,0.006688651333915447,0.17490494296577946,0.5830164765525983
amber,-0.6741826381059752,9.620067643742955,724.4937993235626,887,82,0.007519434389332068,0.09244644870349493,0.44306651634723787
barley,-1.2972972972972974,9.445945945945946,667.0135135135135,74,3,0.0006273259806207136,0.04054054054054054,0.43243243243243246
bea,-0.7132784958871915,9.676459067763416,726.9933411672542,2553,226,0.02164274633141462,0.08852330591461026,0.4426165295730513
belle,-0.8581644815256257,9.69010727056019,712.2193087008343,839,85,0.0071125202397402535,0.10131108462455304,0.42789034564958284
bibi,0.08563661078386951,9.74943362029905,740.6506570004531,2207,179,0.01870957350310696,0.08110557317625736,0.5147258722247394
bo,-1.099406528189911,9.740356083086054,688.326409495549,674,27,0.005713752850518392,0.040059347181008904,0.4287833827893175
brock,-1.5311973018549747,9.784148397976391,693.06239460371,1186,61,0.01005417044616441,0.05143338954468803,0.3920741989881956
bull,0.3856677524429967,9.454071661237785,747.5042345276873,1535,128,0.013012775408821559,0.08338762214983714,0.5244299674267101
buzz,1.4361660845944897,9.218277066356228,769.1769499417928,5154,927,0.04369240681242106,0.179860302677532,0.5911913077221576
byron,-1.728395061728395,9.510288065843621,694.2263374485597,486,19,0.004120005764617119,0.03909465020576132,0.38271604938271603
carl,0.13742071881606766,9.510218463706837,747.2868217054264,1419,118,0.01202939954730801,0.08315715292459479,0.5193798449612403
colette,0.021075581395348836,9.804505813953488,752.5399709302326,1376,153,0.011664872288298675,0.11119186046511628,0.4796511627906977
colonel-ruffs,-1.375,9.719827586206897,715.8448275862069,232,19,0.0019667517230271023,0.08189655172413793,0.39655172413793105
colt,-1.0535262206148281,9.898372513562387,707.6857142857143,2765,214,0.0234399504921118,0.07739602169981917,0.42603978300180834
crow,-0.7901373564512497,9.764692636793516,728.9612699842378,4441,375,0.037648036215359316,0.08444044134204008,0.44156721459130827
darryl,0.03614457831325301,9.302300109529025,731.6281489594743,1826,142,0.015479692440721933,0.07776560788608981,0.5191675794085433
dynamike,-1.5033467202141901,9.732262382864793,678.5917001338688,747,26,0.006332601453022609,0.03480589022757698,0.41633199464524767
edgar,-1.230576923076923,9.269423076923077,696.3878846153846,5200,322,0.04408236620577988,0.06192307692307692,0.425
el-primo,0.22771231206826492,9.3796017878911,787.1385615603414,12305,1234,0.10431413772348488,0.10028443722064201,0.5194636326696465
emz,-0.38313953488372093,9.43139534883721,724.0709302325581,1720,185,0.014581090360373344,0.10755813953488372,0.45872093023255817
frank,1.5438413361169103,9.483820459290188,793.804279749478,1916,262,0.016242656471206585,0.13674321503131523,0.6080375782881002
gale,0.8177892918825561,9.686528497409327,737.8998272884284,1158,148,0.00981680385890252,0.12780656303972365,0.5509499136442142
gene,1.0833886927030523,9.756581937694486,841.4492500262229,28601,3475,0.2424614915099058,0.12149924827803224,0.5756092444320129
jacky,-0.07941176470588235,9.388235294117647,714.8911764705882,340,20,0.002882308559608684,0.058823529411764705,0.5088235294117647
jessie,-1.888655462184874,9.644957983193278,680.7247899159664,476,38,0.004035231983452158,0.07983193277310924,0.36554621848739494
leon,-0.3118680976823767,9.74739461813657,733.6304246383575,6429,619,0.05450106391095362,0.09628247005755172,0.4750349976668222
lou,0.64,9.417777777777777,704.5088888888889,450,40,0.0038148201524232585,0.08888888888888889,0.5466666666666666
max,0.16104363472784525,9.711650922177238,775.9415204678363,2223,185,0.0188452115529709,0.0832208726945569,0.5186684660368871
mortis,-0.6810121538155011,9.86033074317593,705.5847778441921,5019,321,0.04254796076669408,0.0639569635385535,0.4584578601315003
mr-p,-2.0576923076923075,9.745192307692308,694.9807692307693,208,13,0.001763294648231195,0.0625,0.3894230769230769
nani,-0.11644318983768526,9.460127028934368,723.4149611856034,1417,134,0.012012444791075017,0.09456598447424136,0.4883556810162315
nita,-0.7760141093474426,9.703703703703704,699.5449735449736,567,46,0.004806673392053306,0.08112874779541446,0.43738977072310403
pam,1.669392523364486,9.758177570093459,773.8586448598131,856,160,0.007256635667720688,0.18691588785046728,0.5922897196261683
penny,-0.5117370892018779,9.71830985915493,681.62441314554,213,25,0.0018056815388136757,0.11737089201877934,0.460093896713615
piper,-1.164179104477612,9.810040705563093,704.2849389416554,1474,81,0.012495655343715295,0.05495251017639077,0.42198100407055633
poco,-1.1136950904392764,9.689922480620154,704.0232558139535,387,31,0.0032807453310840025,0.08010335917312661,0.4160206718346253
rico,-1.6210045662100456,9.639269406392694,690.730593607306,438,24,0.003713091615025305,0.0547945205479452,0.3789954337899543
rosa,0.3130699088145897,9.214285714285714,720.9878419452888,658,69,0.005578114800654454,0.10486322188449848,0.5303951367781155
sandy,-0.30934579439252335,9.729906542056074,718.5214953271028,1070,95,0.009070794584650859,0.08878504672897196,0.4747663551401869
shelly,-0.4072014051522248,9.710187353629976,735.1135831381733,3416,310,0.02895872364595078,0.09074941451990633,0.474824355971897
spike,-0.9453781512605042,9.738655462184873,702.4630252100841,1190,89,0.010088079958630395,0.07478991596638655,0.44537815126050423
sprout,-2.96,9.68,696.44,75,2,0.0006358033587372097,0.02666666666666667,0.28
squeak,0.22633744855967078,9.54320987654321,672.1604938271605,243,13,0.0020600028823085596,0.053497942386831275,0.5308641975308642
stu,-0.42889699179580676,9.391978122151322,748.2242479489516,2194,214,0.018599367587592508,0.097538742023701,0.4649042844120328
surge,-1.0386311518786382,9.386135120832598,717.893102840007,5669,536,0.048058256542416564,0.09454930322808255,0.425119068618804
tara,-0.1278002203452075,9.69225119353654,753.7763496143959,2723,368,0.023083900611218962,0.13514506059493206,0.48035255233198676
tick,-3.4191176470588234,9.573529411764707,725.9558823529412,136,3,0.0011529234238434737,0.022058823529411766,0.2647058823529412
