brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.3359223300970874,9.679611650485437,738.1902912621359,515,72,0.004082603353283919,0.13980582524271845,0.5087378640776699
amber,-0.6998313659359191,9.612141652613827,725.7993254637437,593,51,0.004700939395140513,0.08600337268128162,0.44350758853288363
barley,-1.4705882352941178,9.623529411764705,680.9411764705883,85,4,0.0006738277379206469,0.047058823529411764,0.38823529411764707
bea,-0.36508841985168283,9.64403879064461,724.625784369652,1753,145,0.01389670617146934,0.08271534512264689,0.4677695379349686
belle,-0.8710280373831776,9.564485981308412,698.3420560747663,535,33,0.004241151056324072,0.0616822429906542,0.4336448598130841
bibi,-0.2680713128038898,9.794165316045381,749.9299837925446,3085,253,0.024455983193943476,0.0820097244732577,0.48363047001620746
bo,-1.1216931216931216,9.73015873015873,697.68430335097,567,20,0.004494827381188315,0.03527336860670194,0.42151675485008816
brock,-1.3682432432432432,9.724662162162161,692.9493243243244,1184,61,0.009386024019977011,0.05152027027027027,0.42567567567567566
bull,-0.3199783432593395,9.589604764482946,744.6383324309692,1847,167,0.014641880375758056,0.09041689225771521,0.47590687601515974
buzz,1.7327887981330221,9.252625437572929,763.8582263710618,1714,426,0.013587538150541045,0.2485414235705951,0.5904317386231038
byron,-0.22664015904572565,9.648111332007952,704.155069582505,503,33,0.003987474731459828,0.06560636182902585,0.4990059642147117
carl,0.7417541229385307,9.678785607196401,782.445652173913,2668,283,0.021150263585556304,0.106071964017991,0.5558470764617691
colette,0.5842161016949152,9.82521186440678,771.9491525423729,1888,192,0.014966903166990368,0.1016949152542373,0.5391949152542372
colonel-ruffs,-1.0298507462686568,9.527363184079602,701.0099502487562,201,11,0.0015934044155535296,0.05472636815920398,0.4079601990049751
colt,-0.7794385709077652,9.873496172074372,716.5078381334306,2743,226,0.021744817471956876,0.08239154210718191,0.44367480860371855
crow,-0.10006357279084552,9.839033693579148,782.5579148124602,7865,698,0.06234888422053986,0.0887476160203433,0.491163382072473
darryl,0.0608,9.3648,735.8042666666666,1875,153,0.014863847160014269,0.0816,0.5034666666666666
dynamike,-1.4729241877256318,9.749699157641396,677.5451263537906,831,38,0.006587657061318324,0.0457280385078219,0.40312876052948254
edgar,-1.3421818181818181,9.363454545454545,700.0976363636364,5500,425,0.043600618336041855,0.07727272727272727,0.40854545454545454
el-primo,0.34103646833013435,9.574971209213052,815.1012284069097,26050,2843,0.20650838320979825,0.1091362763915547,0.5274088291746641
emz,0.01802120141342756,9.595759717314488,766.283038869258,2830,329,0.022434499980181537,0.11625441696113074,0.49681978798586574
frank,0.1992734820965231,9.367410482615464,768.0819927348209,1927,188,0.015276071187918665,0.0975609756097561,0.5137519460300985
gale,0.3601756954612006,9.768667642752563,752.9099560761347,1366,158,0.010828808117642396,0.11566617862371889,0.5204978038067349
gene,1.5918156059285091,9.818766346992154,858.2555034873583,18352,2406,0.14548337230964367,0.13110287707061902,0.6140475152571927
jacky,-0.5777777777777777,9.431111111111111,723.3955555555556,450,27,0.0035673233184034246,0.06,0.45555555555555555
jessie,-1.4414414414414414,9.72972972972973,685.9423423423424,555,52,0.004399698759364224,0.0936936936936937,0.4
leon,-0.8107792424495245,9.766560987819123,733.0991156349074,5993,502,0.04750881921598161,0.08376439179042217,0.4418488236275655
lou,0.18937644341801385,9.521939953810623,726.3625866050809,433,42,0.0034325577708192953,0.09699769053117784,0.5127020785219399
max,0.14947089947089948,9.723985890652557,769.9091710758378,2268,179,0.01797930952475326,0.07892416225749559,0.513668430335097
mortis,-0.855265946175037,9.846153846153847,705.1309599491418,4719,241,0.03740933053232391,0.05107014197923289,0.45136681500317866
mr-p,-1.4513274336283186,9.831858407079647,718.641592920354,226,20,0.00179158904435372,0.08849557522123894,0.38495575221238937
nani,-0.1855447680690399,9.4487594390507,724.9633225458468,927,83,0.007348686035911055,0.0895361380798274,0.47896440129449835
nita,-1.2306501547987616,9.792569659442725,697.578947368421,646,48,0.0051210908081969165,0.07430340557275542,0.42569659442724456
pam,0.3114754098360656,9.723653395784543,738.0117096018736,427,53,0.0033849934599072496,0.12412177985948478,0.5011709601873536
penny,-1.7376237623762376,9.717821782178218,684.5346534653465,202,12,0.0016013318007055374,0.0594059405940594,0.3613861386138614
piper,-0.7925211097708083,9.802171290711701,705.2436670687575,829,52,0.006571802291014309,0.06272617611580217,0.436670687575392
poco,-0.8831168831168831,9.636363636363637,700.7532467532468,308,23,0.002441634626818344,0.07467532467532467,0.4318181818181818
rico,-0.7875894988066826,9.711217183770882,698.0167064439141,419,19,0.0033215743786911885,0.045346062052505964,0.4797136038186158
rosa,-0.26715686274509803,9.356617647058824,736.3921568627451,816,94,0.00646874628403821,0.11519607843137254,0.47794117647058826
sandy,-1.1147540983606556,9.662295081967214,697.9803278688524,305,17,0.002417852471362321,0.05573770491803279,0.42295081967213116
shelly,-0.3179520984399033,9.799604482531311,751.3667325862448,4551,466,0.036077529826786636,0.1023950780048341,0.4711052515930565
spike,-0.927240461401952,9.792369121561668,712.5368234250221,1127,81,0.008934163066312577,0.07187222715173026,0.43744454303460517
sprout,-1.7710843373493976,9.650602409638553,710.6746987951807,83,2,0.0006579729676166316,0.024096385542168676,0.3614457831325301
squeak,-0.7307692307692307,9.455128205128204,683.1538461538462,156,7,0.0012366720837131873,0.04487179487179487,0.4358974358974359
stu,-0.4129817444219067,9.442596348884381,751.3022312373225,2465,223,0.01954100439969876,0.09046653144016227,0.46288032454361056
surge,-0.7787889819196699,9.457954131780124,733.0901589612911,8241,833,0.06532958103769472,0.10107996602354083,0.4391457347409295
tara,-0.1589464123524069,9.73841961852861,766.258855585831,3303,442,0.026184153157081138,0.13381774144716924,0.47714199212836816
tick,-2.6392694063926943,9.593607305936073,718.9589041095891,219,5,0.0017360973482896667,0.0228310502283105,0.3378995433789954
