brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.10247349823321555,9.54416961130742,712.9010600706714,283,14,0.0023325201107740998,0.04946996466431095,0.5265017667844523
amber,0.11218568665377177,9.634429400386848,759.5029013539652,517,33,0.004261176315442437,0.06382978723404255,0.5261121856866537
barley,-1.7654320987654322,9.320987654320987,661.9506172839506,81,1,0.0006676117631544243,0.012345679012345678,0.3950617283950617
bea,-1.0290205562273278,9.555018137847641,712.0024183796857,827,31,0.006816233680601345,0.037484885126964934,0.44135429262394194
belle,-0.5051194539249146,9.648464163822526,685.6211604095563,293,12,0.0024149413161018065,0.040955631399317405,0.45733788395904434
bibi,-0.68,9.712444444444445,728.0244444444445,2250,144,0.01854477119873401,0.064,0.45955555555555555
bo,-1.3340832395950506,9.847019122609673,694.429696287964,889,50,0.007327245153633127,0.0562429696287964,0.3914510686164229
brock,-1.1943844492440605,9.695464362850972,686.1252699784018,463,18,0.0038161018066728207,0.038876889848812095,0.4168466522678186
bull,-0.20049658597144632,9.613283674736188,733.2557417752948,3222,329,0.026556112356587103,0.1021104903786468,0.48168839230291743
buzz,0.045879354290569246,9.312092891532144,741.1880487114132,3531,413,0.02910292760121324,0.11696403285188332,0.49872557349192864
byron,-2.8202247191011236,9.567415730337078,674.2359550561798,178,3,0.0014670974548331795,0.016853932584269662,0.3146067415730337
carl,-0.20134228187919462,9.562080536912752,740.2953020134228,596,22,0.00491230383753132,0.03691275167785235,0.4865771812080537
colette,0.14776632302405499,9.829037800687285,760.53264604811,1164,82,0.009593828300145062,0.070446735395189,0.5128865979381443
colonel-ruffs,-0.06976744186046512,9.709302325581396,696.5988372093024,172,5,0.0014176447316365554,0.029069767441860465,0.5116279069767442
colt,-1.1395193591455273,9.848464619492656,707.2850467289719,1498,59,0.012346696558090465,0.03938584779706275,0.41321762349799734
crow,-0.2080098079280752,9.821822639967307,747.8058847568451,2447,172,0.020168468943689833,0.07029015120555783,0.4891704127503065
darryl,0.0379746835443038,9.344936708860759,722.1969936708861,1264,81,0.010418040353422128,0.06408227848101265,0.5174050632911392
dynamike,-1.091703056768559,9.633187772925764,672.17903930131,916,38,0.007549782408017935,0.04148471615720524,0.4366812227074236
edgar,-1.2269203664552502,9.388653981677237,699.689393939394,5676,439,0.04678227614400633,0.0773431994362227,0.41155743481324875
el-primo,0.48187407250371,9.627941488234047,816.2206911172356,37736,4061,0.31102466042463406,0.10761606953572185,0.5382923468306127
emz,0.8276729559748428,9.711320754716981,826.9100628930818,4770,643,0.0393149149413161,0.1348008385744235,0.5477987421383648
