brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.1383495145631068,9.645631067961165,734.3179611650486,412,37,0.003319796299877522,0.08980582524271845,0.5048543689320388
amber,-0.7868020304568528,9.551607445008461,712.3011844331642,591,51,0.004762134983562174,0.08629441624365482,0.4365482233502538
barley,-0.9072847682119205,9.675496688741722,679.2913907284768,151,4,0.0012167214594211307,0.026490066225165563,0.4370860927152318
bea,-0.7969984202211691,9.637440758293838,719.5047393364929,1266,112,0.01020112163991491,0.08846761453396525,0.4399684044233807
belle,-1.4049382716049383,9.679012345679013,700.1358024691358,405,25,0.003263391993811642,0.06172839506172839,0.3925925925925926
bibi,-0.4592675635276532,9.77354260089686,734.3176382660688,2676,185,0.02156256043318507,0.06913303437967115,0.48056801195814647
bo,-1.3136,9.7616,690.8112,625,22,0.005036098755882163,0.0352,0.4096
brock,-0.7218344965104686,9.705882352941176,692.4915254237288,1003,71,0.008081931283439696,0.0707876370887338,0.4596211365902293
bull,0.3643331630045989,9.593765968318856,737.8671435871231,1957,151,0.01576903242441823,0.07715891670924885,0.5355135411343894
buzz,1.2508333333333332,9.255,755.3204166666667,2400,490,0.01933861922258751,0.20416666666666666,0.5633333333333334
byron,-1.3914590747330962,9.427046263345195,679.9715302491103,281,23,0.0022642300006446205,0.08185053380782918,0.3879003558718861
carl,-0.24929971988795518,9.623249299719888,752.2401960784314,1428,102,0.011506478437439566,0.07142857142857142,0.49229691876750703
colette,0.8878458498023716,9.84288537549407,800.1625494071146,2024,298,0.016308902211048797,0.14723320158102768,0.5523715415019763
colonel-ruffs,-1.3415637860082306,9.683127572016462,694.8065843621399,243,20,0.0019580351962869853,0.0823045267489712,0.40329218106995884
colt,-1.1166591012256015,9.847480708125284,710.0081706763505,2203,184,0.01775124089473345,0.08352246935996369,0.42260553790285976
crow,-0.16234520123839008,9.82469040247678,756.4051857585139,5168,497,0.04164249339263843,0.0961687306501548,0.48819659442724456
darryl,-0.23713751169317118,9.34377923292797,732.1178671655753,2138,152,0.017227486624121706,0.07109448082319925,0.4822263797942002
dynamike,-1.3782108060230291,9.627989371124889,684.7741364038973,1129,50,0.00909720879262554,0.04428697962798937,0.41895482728077943
edgar,-0.9119609438567942,9.336371033360455,700.6494711147275,6145,411,0.04951492296783343,0.06688364524003254,0.44117168429617576
el-primo,0.4084081951496645,9.611156481908887,816.786102332848,28163,2649,0.22693063881905498,0.09405958172069737,0.5352412740120016
emz,-0.0710594315245478,9.609819121447028,761.4655469422911,2322,266,0.018710114097853413,0.11455641688199827,0.4892334194659776
frank,0.05590551181102362,9.375590551181102,756.5377952755905,1270,105,0.010233352671952555,0.08267716535433071,0.5141732283464567
gale,0.15047770700636942,9.747611464968152,749.202229299363,1256,156,0.010120544059820796,0.12420382165605096,0.5007961783439491
gene,1.0719156850588965,9.77743335399876,851.292234965902,12904,1651,0.1039773093534455,0.12794482331060136,0.5686608803471792
jacky,0.011472275334608031,9.397705544933078,728.357552581262,523,35,0.004214207438922194,0.06692160611854685,0.49904397705544934
jessie,-2.1494252873563218,9.624521072796934,679.5325670498084,522,27,0.004206149680912783,0.05172413793103448,0.3524904214559387
leon,-0.26205228955720117,9.743841620069517,733.6159891189361,6617,700,0.05331818474827564,0.10578812150521384,0.47483753967054554
lou,0.19282511210762332,9.600896860986547,709.8991031390135,446,37,0.003593760072197512,0.08295964125560538,0.5067264573991032
max,0.22562141491395793,9.666347992351817,766.1099426386234,2092,190,0.016856829755688776,0.09082217973231357,0.5239005736137667
mortis,-0.7160944206008584,9.823175965665236,704.0935622317596,4660,227,0.03754915232385741,0.04871244635193133,0.46373390557939914
mr-p,-1.7551020408163265,9.616326530612245,685.334693877551,245,19,0.001974150712305808,0.07755102040816327,0.37142857142857144
nani,-0.05911949685534591,9.4,721.8238993710692,795,82,0.006405917617482112,0.10314465408805032,0.4918238993710692
