brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.3440514469453376,9.717041800643086,737.9807073954984,311,31,0.0030524611081120872,0.09967845659163987,0.48231511254019294
amber,-0.23599320882852293,9.614601018675721,719.3548387096774,589,62,0.0057810276291897725,0.10526315789473684,0.4702886247877759
barley,-2.1470588235294117,9.588235294117647,690.0882352941177,68,3,0.0006674191490405849,0.04411764705882353,0.36764705882352944
bea,-0.7134238310708899,9.71417797888386,736.7888386123681,1326,115,0.013014673406291408,0.08672699849170437,0.4494720965309201
belle,-1.6402640264026402,9.551155115511552,708.039603960396,303,21,0.0029739412082249593,0.06930693069306931,0.39603960396039606
bibi,-0.7000481463649495,9.768897448242658,745.5469427058257,2077,127,0.020385729008195515,0.061145883485796824,0.46220510351468463
bo,-1.619205298013245,9.778145695364238,701.2665562913908,604,32,0.005928252441478137,0.052980132450331126,0.37748344370860926
brock,-1.0024570024570025,9.714987714987714,701.1830466830467,814,73,0.007989399813515237,0.08968058968058969,0.4250614250614251
bull,-0.2806909315237508,9.585441085749537,739.862430598396,1621,138,0.015910094714629237,0.0851326341764343,0.47748303516347934
buzz,0.6333922261484098,9.37720848056537,764.7234982332155,1132,162,0.01111056583402856,0.1431095406360424,0.5247349823321554
byron,-1.3409961685823755,9.64367816091954,713.3218390804598,261,21,0.0025617117338175392,0.08045977011494253,0.41379310344827586
carl,-0.7211449676823638,9.515235457063712,749.578947368421,1083,66,0.010629631447219904,0.060941828254847646,0.469067405355494
colette,0.12104430379746836,9.856803797468354,777.5181962025316,1264,136,0.012406144182166168,0.10759493670886076,0.5039556962025317
colonel-ruffs,-0.27102803738317754,9.654205607476635,714.3317757009346,214,15,0.0021004073219806647,0.07009345794392523,0.4766355140186916
colt,-1.4407230196703882,9.86762360446571,719.2615629984051,1881,146,0.018461991460960888,0.07761828814460393,0.3939393939393939
crow,1.437918121765473,9.903311314006816,840.2267429629318,23767,3257,0.23327280757717034,0.13703875120966044,0.6015483653805697
darryl,-0.14285714285714285,9.353383458646617,734.1818181818181,1463,124,0.014359326691858468,0.08475734791524266,0.5030758714969241
dynamike,-1.7027818448023426,9.732064421669106,683.1551976573938,683,19,0.0067036364528635225,0.027818448023426062,0.3953147877013177
edgar,-1.0171703296703296,9.376602564102564,703.7213827838827,4368,266,0.042871865338371694,0.060897435897435896,0.4336080586080586
el-primo,-0.270509977827051,9.58171031341763,812.6849044166117,16687,1320,0.16378269617706237,0.07910349373764008,0.48720560915682865
emz,-0.09161041465766634,9.549662487945998,767.3172613307618,2074,244,0.020356284045737843,0.11764705882352941,0.48601735776277727
frank,-0.5568783068783069,9.369047619047619,750.3941798941798,756,49,0.007420130539333563,0.06481481481481481,0.4603174603174603
gale,0.4818007662835249,9.663793103448276,744.5028735632184,1044,123,0.010246846935270157,0.11781609195402298,0.5239463601532567
