brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-1.7384615384615385,9.446153846153846,686.4692307692308,130,8,0.0010721914769025213,0.06153846153846154,0.36923076923076925
amber,-1.1821428571428572,9.5,682.0178571428571,280,23,0.002309335488713123,0.08214285714285714,0.41785714285714287
barley,-1.4272727272727272,9.686363636363636,674.4954545454545,220,8,0.0018144778839888822,0.03636363636363636,0.40454545454545454
bea,-1.434567901234568,9.525925925925925,689.4197530864197,405,31,0.0033402888318886242,0.07654320987654321,0.39012345679012345
belle,-2.7593984962406015,9.488721804511279,686.0300751879699,133,6,0.0010969343571387332,0.045112781954887216,0.2857142857142857
bibi,-1.032562529495045,9.709296838131195,725.5054270882491,2119,149,0.017476721073511097,0.07031618688060406,0.43699858423784804
bo,-1.9967320261437909,9.761437908496733,679.1470588235294,306,5,0.0025237737840936273,0.016339869281045753,0.3660130718954248
brock,-1.0081967213114753,9.60655737704918,671.224043715847,366,11,0.0030186313888178676,0.030054644808743168,0.4426229508196721
bull,0.2874766355140187,9.554018691588785,742.3409345794392,2675,205,0.022062401543955727,0.07663551401869159,0.5244859813084112
buzz,0.23838231600100476,9.213514192413966,738.1441848781714,3981,570,0.032833802073453364,0.14318010550113036,0.5031399145943231
byron,-2.810810810810811,9.58108108108108,708.7297297297297,74,3,0.0006103243791598967,0.04054054054054054,0.33783783783783783
carl,-1.546641791044776,9.501865671641792,717.9104477611941,536,22,0.0044207279355365494,0.041044776119402986,0.38619402985074625
colette,-0.1751740139211137,9.832946635730858,763.3607888631091,862,91,0.007109454254538256,0.10556844547563805,0.4779582366589327
colonel-ruffs,-2.0402298850574714,9.591954022988507,687.264367816092,174,6,0.0014350870537002977,0.034482758620689655,0.3448275862068966
colt,-1.7988304093567251,9.760233918128655,693.766081871345,855,46,0.007051720867320428,0.05380116959064327,0.3707602339181287
crow,-1.2604722010662606,9.775323686214776,705.7593297791318,1313,68,0.010829133916715465,0.05178979436405179,0.4105102817974105
darryl,-0.19852941176470587,9.347794117647059,730.3073529411764,1360,80,0.011216772373749453,0.058823529411764705,0.5014705882352941
dynamike,-1.546138072453862,9.736842105263158,683.1367053998633,1463,75,0.012066277928526067,0.05126452494873548,0.3889268626110731
edgar,-1.141559988091694,9.383149746948497,697.6174456683536,6718,448,0.05540755647562414,0.06668651384340578,0.4231914260196487
el-primo,0.614021900331146,9.65804603538996,824.7247424984255,49223,4894,0.40597293128902157,0.09942506551815208,0.5503321617942831
emz,-1.0838041431261771,9.576271186440678,752.9105461393597,1062,96,0.00875897960361906,0.0903954802259887,0.4171374764595104
frank,-1.3971563981042654,9.325118483412322,752.8502369668247,1055,65,0.008701246216401231,0.061611374407582936,0.41232227488151657
gale,-0.6026200873362445,9.65938864628821,700.5218340611353,458,37,0.0037774130493950365,0.08078602620087336,0.4606986899563319
gene,-1.1659192825112108,9.5624599615631,757.378603459321,1561,81,0.01287454534957566,0.051889814221652786,0.42152466367713004
jacky,0.41852286049237986,9.528722157092615,730.8464243845252,853,99,0.007035225613829621,0.1160609613130129,0.5381008206330598
jessie,-2.5256410256410255,9.474358974358974,674.0096153846154,312,17,0.002573259544566051,0.05448717948717949,0.3301282051282051
leon,-1.2067355785261753,9.729576525508502,708.1973991330443,2999,206,0.024734632609466626,0.06868956318772924,0.4168056018672891
lou,-0.37158469945355194,9.530054644808743,699.2841530054645,183,20,0.0015093156944089338,0.1092896174863388,0.4426229508196721
max,-1.8006644518272426,9.581395348837209,719.594684385382,602,26,0.004965071300733214,0.04318936877076412,0.37209302325581395
mortis,-1.1517241379310346,9.806896551724138,694.4120689655173,2900,154,0.02391811756167163,0.05310344827586207,0.4224137931034483
mr-p,-1.9345794392523366,9.728971962616823,695.803738317757,107,9,0.000882496061758229,0.08411214953271028,0.37383177570093457
nani,-0.3353846153846154,9.326153846153845,697.9907692307693,325,25,0.002680478692256303,0.07692307692307693,0.47692307692307695
nita,-1.697674418604651,9.790697674418604,687.1216457960644,559,36,0.004610423350680842,0.06440071556350627,0.38998211091234347
pam,-0.8938547486033519,9.631284916201118,678.1508379888268,179,13,0.0014763251874273177,0.07262569832402235,0.43575418994413406
penny,-2.734848484848485,9.719696969696969,660.4015151515151,132,8,0.0010886867303933293,0.06060606060606061,0.29545454545454547
