brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-0.46511627906976744,9.758139534883721,730.4186046511628,215,14,0.0017908906140672374,0.06511627906976744,0.4604651162790698
amber,-1.2208955223880598,9.608955223880598,744.7402985074627,335,15,0.0027904574684303467,0.04477611940298507,0.43283582089552236
barley,-1.4736842105263157,9.697368421052632,670.5394736842105,76,9,0.0006330590077633025,0.11842105263157894,0.34210526315789475
bea,-0.6492890995260664,9.65521327014218,730.3672985781991,844,57,0.007030286875687203,0.06753554502369669,0.44786729857819907
belle,-2.0,9.524064171122994,682.8449197860963,187,8,0.0015576583480491786,0.0427807486631016,0.36363636363636365
bibi,-0.35884274381707887,9.800746616892207,745.5272981801213,2143,169,0.01785059807416786,0.07886140923938405,0.47923471768548764
bo,-2.311418685121107,9.816608996539792,689.1384083044983,289,7,0.0024072901742578216,0.02422145328719723,0.3494809688581315
brock,-0.8693877551020408,9.759183673469387,702.295918367347,490,22,0.00408156465531603,0.044897959183673466,0.4448979591836735
bull,0.10127253446447508,9.568928950159068,753.407211028632,1886,179,0.015709859061073535,0.09490986214209968,0.5079533404029692
buzz,0.881538143477362,9.372544965887947,776.4715732892289,4837,771,0.040290873954619666,0.15939632003307835,0.5517882985321481
byron,-2.72192513368984,9.684491978609625,715.0267379679144,187,6,0.0015576583480491786,0.03208556149732621,0.32085561497326204
carl,0.28724928366762176,9.651146131805158,799.2593123209169,1396,112,0.011628294405757505,0.08022922636103152,0.5458452722063037
colette,0.6309523809523809,9.875350140056023,798.952380952381,1428,135,0.011894845566921,0.09453781512605042,0.5504201680672269
colonel-ruffs,-0.8376623376623377,9.603896103896103,689.0714285714286,154,10,0.0012827774630993236,0.06493506493506493,0.45454545454545453
colt,-1.2548746518105849,9.872562674094707,723.4637883008356,1436,99,0.011961483357211875,0.06894150417827298,0.39902506963788303
crow,-0.5392712550607287,9.817813765182187,746.165991902834,2470,167,0.020574417752307332,0.06761133603238867,0.46963562753036436
darryl,-0.21144674085850557,9.32591414944356,731.9602543720191,1258,76,0.01047879252323993,0.06041335453100159,0.5063593004769475
dynamike,-1.1847930702598652,9.72762271414822,677.5187680461983,1039,59,0.008654583014027255,0.05678537054860443,0.4196342637151107
edgar,-1.1349908226263974,9.456699482729851,712.0488903721008,5993,447,0.04992003465165095,0.07458701818788586,0.42182546304021357
el-primo,0.11511266144998586,9.60403507117941,825.4752207661608,31821,3117,0.2650601406057375,0.09795418120109362,0.5131831180666855
emz,1.1739245532759761,9.858901389808073,856.1463269358042,15110,2214,0.12586212641188818,0.14652547981469224,0.5746525479814693
frank,0.007368421052631579,9.512105263157896,791.9521052631579,1900,196,0.015826475194082566,0.1031578947368421,0.5036842105263157
gale,0.36705882352941177,9.772941176470589,753.1811764705882,850,83,0.007080265218405358,0.0976470588235294,0.5305882352941177
gene,0.6873725490196079,9.734901960784313,841.8015686274509,6375,600,0.053101989138040186,0.09411764705882353,0.5499607843137255
jacky,-0.30022075055187636,9.492273730684326,735.1942604856512,453,41,0.003773364875220738,0.09050772626931568,0.48344370860927155
jessie,-1.6845238095238095,9.633928571428571,688.0327380952381,336,13,0.002798787192216706,0.03869047619047619,0.4017857142857143
leon,-0.6486805829066562,9.796179598267035,739.7993304450571,5078,407,0.04229833738713224,0.08014966522252856,0.45411579361953525
lou,0.014218009478672985,9.540284360189574,715.3554502369668,211,16,0.0017575717189218007,0.07582938388625593,0.5071090047393365
max,-0.003499562554680665,9.641294838145232,768.6649168853893,1143,82,0.009520874287808616,0.07174103237095363,0.5161854768153981
mortis,-0.9464394400486914,9.851186853317103,720.4668289713937,3286,176,0.027371472361976477,0.05356055995130858,0.44400486914181375
mr-p,-2.3805970149253732,9.701492537313433,697.7611940298508,134,5,0.0011161829873721388,0.03731343283582089,0.3582089552238806
nani,-0.44878957169459965,9.478584729981378,719.977653631285,537,35,0.0044730616732749145,0.06517690875232775,0.4748603351955307
nita,-1.4623893805309736,9.732300884955752,704.3451327433628,452,33,0.0037650351514343784,0.07300884955752213,0.3827433628318584
pam,-0.5420875420875421,9.67003367003367,749.087542087542,297,23,0.0024739279645486956,0.07744107744107744,0.468013468013468
penny,-2.189873417721519,9.556962025316455,666.6582278481013,79,5,0.0006580481791223803,0.06329113924050633,0.3291139240506329
piper,-0.8931034482758621,9.796551724137931,704.951724137931,290,17,0.002415619898044181,0.05862068965517241,0.4482758620689655
poco,-1.2457142857142858,9.714285714285714,702.8914285714286,175,6,0.0014577016626128678,0.03428571428571429,0.41714285714285715
rico,-1.6676829268292683,9.725609756097562,727.6463414634146,328,11,0.002732149401925832,0.03353658536585366,0.3932926829268293
rosa,-0.4839424141749723,9.385382059800664,748.220376522702,903,83,0.007521740579082397,0.09191583610188261,0.46068660022148394
sandy,-0.6038781163434903,9.78393351800554,727.3268698060942,722,47,0.006014060573751374,0.06509695290858726,0.4584487534626039
shelly,0.33261461643213797,9.841239219246482,792.0784157966409,8812,1117,0.07340152600539766,0.1267589650476623,0.511802088061734
spike,-0.681422351233672,9.839622641509434,718.6320754716982,1378,103,0.011478359377603038,0.07474600870827286,0.44847605224963716
sprout,-3.6451612903225805,9.709677419354838,722.1774193548387,62,1,0.0005164428747542731,0.016129032258064516,0.24193548387096775
squeak,-0.06153846153846154,9.384615384615385,667.0615384615385,65,4,0.0005414320461133509,0.06153846153846154,0.47692307692307695
stu,-0.21257142857142858,9.58,761.6622857142858,1750,151,0.014577016626128678,0.08628571428571429,0.47714285714285715
