brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.17124735729386892,9.585623678646934,728.1945031712473,473,52,0.0038788932443292712,0.10993657505285412,0.5116279069767442
amber,-1.464471403812825,9.630849220103986,714.4610051993068,577,47,0.004731757720883699,0.08145580589254767,0.3934142114384749
barley,-1.5625,9.67361111111111,688.5555555555555,144,2,0.0011808892752292073,0.013888888888888888,0.4375
bea,-0.7451612903225806,9.587096774193549,717.5490322580645,1550,101,0.012710960948647718,0.06516129032258064,0.4432258064516129
belle,-0.910377358490566,9.63443396226415,690.4457547169811,424,25,0.003477062865952666,0.0589622641509434,0.4363207547169811
bibi,-0.27762376237623765,9.727128712871288,730.8106930693069,2525,197,0.020706565416345475,0.07801980198019802,0.4914851485148515
bo,-1.1731391585760518,9.741100323624595,686.2961165048544,618,34,0.005067983139525348,0.05501618122977346,0.40938511326860844
brock,-1.2344665885111372,9.7010550996483,685.9695193434935,853,45,0.0069951288317396795,0.05275498241500586,0.4138335287221571
bull,0.007767995857068877,9.523562920766443,729.7281201450025,1931,207,0.015835397156024996,0.10719834282755049,0.490937338166753
buzz,1.0268768768768768,9.284534534534535,769.0094594594594,6660,1156,0.054616128979350836,0.1735735735735736,0.5603603603603604
byron,-1.5765472312703583,9.374592833876221,680.0977198697068,307,16,0.002517590329828935,0.05211726384364821,0.4006514657980456
carl,0.2946058091286307,9.625172890733056,751.6687413554633,1446,111,0.01185809647209329,0.07676348547717843,0.5255878284923928
colette,0.1557632398753894,9.833021806853582,762.2535825545172,1605,155,0.01316199504682554,0.09657320872274143,0.5015576323987538
colonel-ruffs,-0.71900826446281,9.578512396694215,694.0785123966942,242,24,0.001984550031982418,0.09917355371900827,0.4462809917355372
colt,-1.1596911824461602,9.857781389678992,707.7147501015847,2461,168,0.020181725738465828,0.0682649329540837,0.411214953271028
crow,-0.5757575757575758,9.766640766640768,732.5866355866356,3861,362,0.03166259369208312,0.09375809375809376,0.4548044548044548
darryl,-0.0723499719573752,9.30790802019069,730.2355580482333,1783,128,0.01462170540092831,0.0717891194615816,0.49579360628154795
dynamike,-1.3768595041322313,9.702479338842975,673.895867768595,1210,41,0.00992275015991209,0.033884297520661154,0.4115702479338843
edgar,-1.3151005142589995,9.273803958235936,694.6925354527037,6417,468,0.05262337832740155,0.0729312762973352,0.41296556023063735
el-primo,0.6117699709107183,9.5237935406877,803.5404266427986,26814,3000,0.21989142379163865,0.11188185276348177,0.5512418885656747
emz,-0.5049652432969215,9.539721946375373,743.5273088381331,2014,195,0.016516048613275165,0.0968222442899702,0.4493545183714002
frank,0.46356275303643724,9.352901484480432,767.1484480431849,1482,145,0.012153318790900591,0.09784075573549257,0.5276653171390013
gale,0.2995391705069124,9.693087557603686,732.1612903225806,1085,85,0.008897672664053403,0.07834101382488479,0.5225806451612903
gene,1.1112563815216039,9.754825052919935,850.4571659818205,16062,1865,0.13171835790785782,0.11611256381521604,0.576889552982194
jacky,0.07927927927927927,9.497297297297298,715.3369369369369,555,67,0.00455134408161257,0.12072072072072072,0.5027027027027027
jessie,-1.4411764705882353,9.527450980392157,689.6294117647059,510,33,0.004182316183103442,0.06470588235294118,0.4
leon,-0.6243484735666418,9.745532390171258,726.4640729709605,5372,512,0.044053730462022926,0.0953090096798213,0.45178704393149666
lou,-0.1600790513833992,9.478260869565217,707.8913043478261,506,44,0.004149513703235965,0.08695652173913043,0.4901185770750988
max,-0.013564839934888768,9.666304937601737,763.1850244167118,1843,126,0.01511374259894048,0.0683667932718394,0.5094953879544222
mortis,-0.5796305541687469,9.82825761357963,700.199700449326,4006,212,0.0328516835872792,0.05292061907139291,0.4712930604093859
mr-p,-1.9205607476635513,9.621495327102803,694.0560747663551,214,11,0.001754932672910072,0.0514018691588785,0.38317757009345793
nani,0.28368794326241137,9.31678486997636,712.193853427896,846,85,0.006937724491971593,0.10047281323877069,0.5260047281323877
nita,-1.0115894039735098,9.733443708609272,687.3394039735099,604,49,0.0049531744599891755,0.08112582781456953,0.42218543046357615
pam,0.9265536723163842,9.706214689265536,747.1845574387947,531,67,0.004354529202407702,0.12617702448210924,0.5536723163841808
penny,-2.8835978835978837,9.666666666666666,683.031746031746,189,12,0.0015499171737383345,0.06349206349206349,0.291005291005291
piper,-0.6806201550387597,9.765891472868217,708.3829457364341,645,40,0.0052893998786308245,0.06201550387596899,0.46511627906976744
poco,-0.6369230769230769,9.76,689.4615384615385,325,17,0.002665201489232586,0.052307692307692305,0.4553846153846154
rico,-1.6647940074906367,9.621722846441948,691.3558052434457,534,18,0.004379131062308311,0.033707865168539325,0.3913857677902622
rosa,0.07193396226415094,9.235849056603774,715.8856132075472,848,101,0.006954125731905332,0.11910377358490566,0.5106132075471698
sandy,-0.3446808510638298,9.738297872340425,718.3765957446808,940,85,0.007708582768857325,0.09042553191489362,0.4776595744680851
shelly,-0.04075860921643653,9.803027782398935,754.3119281317585,6011,710,0.04929392662085254,0.11811678589253036,0.48560971552154386
spike,-0.41025641025641024,9.727564102564102,714.0841346153846,1248,108,0.01023437371865313,0.08653846153846154,0.46794871794871795
sprout,-1.681159420289855,9.376811594202898,670.1014492753624,69,1,0.0005658427777139952,0.014492753623188406,0.4057971014492754
squeak,-0.6372549019607843,9.583333333333334,672.0833333333334,204,13,0.001672926473241377,0.06372549019607843,0.4362745098039216
stu,-0.13841524573721165,9.432296890672015,744.5386158475426,1994,185,0.016352036213937774,0.09277833500501505,0.49648946840521563
surge,-0.564749053030303,9.458451704545455,732.6329308712121,8448,826,0.0692788374801135,0.09777462121212122,0.45288825757575757
tara,0.006824712643678161,9.720905172413794,757.7816091954023,2784,387,0.022830525987764676,0.13900862068965517,0.4802442528735632
tick,-1.308139534883721,9.372093023255815,699.8313953488372,172,6,0.0014105066343015533,0.03488372093023256,0.3953488372093023
