brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-1.0066666666666666,9.466666666666667,681.8533333333334,150,10.0,0.0010324321347943395,0.06666666666666667,0.44666666666666666
amber,-1.3197492163009403,9.376175548589341,685.1598746081505,319,18.0,0.002195639006662629,0.05642633228840126,0.41379310344827586
barley,-1.7840909090909092,9.642045454545455,662.8295454545455,176,11.0,0.0012113870381586917,0.0625,0.4147727272727273
bea,-1.5687285223367697,9.43127147766323,683.1666666666666,582,31.0,0.004005836683002037,0.05326460481099656,0.3900343642611684
belle,-2.071129707112971,9.615062761506277,677.1004184100418,239,13.0,0.0016450085347723142,0.05439330543933055,0.36401673640167365
bibi,-1.3605788032850998,9.697692608525616,709.9745795854517,2557,158.0,0.017599526457794175,0.06179116151740321,0.4114196323816973
bo,-1.8473451327433628,9.734513274336283,674.4601769911504,452,16.0,0.0031110621661802765,0.035398230088495575,0.37831858407079644
brock,-1.4400785854616895,9.664047151277014,665.9607072691553,509,29.0,0.0035033863774021254,0.05697445972495088,0.3929273084479371
bull,-0.2879858657243816,9.597173144876326,725.3820671378091,2264,195.0,0.015582842354495897,0.08613074204946997,0.4739399293286219
buzz,0.8263665594855305,9.054448017148982,714.0390139335477,4665,850.0,0.03210863939210396,0.18220793140407288,0.5436227224008574
byron,-2.9696969696969697,9.466666666666667,660.969696969697,165,2.0,0.0011356753482737734,0.012121212121212121,0.3333333333333333
carl,-1.0442748091603054,9.506870229007633,692.9129770992366,655,26.0,0.004508286988601949,0.03969465648854962,0.4381679389312977
colette,0.02714535901926445,9.820490367775832,756.6409807355517,1142,111.0,0.007860249986234238,0.09719789842381786,0.4886164623467601
colonel-ruffs,-2.2129032258064516,9.548387096774194,690.2838709677419,155,7.0,0.0010668465392874842,0.04516129032258064,0.3419354838709677
colt,-1.182962962962963,9.877777777777778,694.5911111111111,1350,69.0,0.009291889213149055,0.051111111111111114,0.41185185185185186
crow,-1.0490867579908676,9.777397260273972,700.7340182648402,1752,81.0,0.012058807334397886,0.046232876712328765,0.430365296803653
darryl,-0.3663220088626292,9.212703101920237,706.2607090103397,1354,88.0,0.00931942073674357,0.06499261447562776,0.4911373707533235
dynamike,-1.5362239297475302,9.73106476399561,672.7497255762898,1822,97.0,0.012540608997301911,0.05323819978046103,0.3902305159165752
edgar,-1.2934206423448706,9.265045213595261,684.7413470533209,6414,502.0,0.044146798083805956,0.07826629248518865,0.4089491736825694
el-primo,0.2916293643688451,9.607971501044464,811.9350193971949,53616,5354.0,0.3690325422608887,0.09985825126827813,0.5248619814980603
emz,0.21975806451612903,9.695060483870968,785.7787298387096,1984,247.0,0.013655635702879797,0.12449596774193548,0.49899193548387094
frank,-1.3738738738738738,9.292792792792794,724.9612612612613,1110,82.0,0.007639997797478112,0.07387387387387387,0.4153153153153153
gale,-0.2991967871485944,9.590361445783133,690.3353413654619,498,36.0,0.003427674687517207,0.07228915662650602,0.4979919678714859
gene,-1.0383111806098515,9.462079749804534,730.3033620015638,1279,56.0,0.008803204669346401,0.0437842064112588,0.43158717748240816
jacky,-0.9124365482233503,9.458121827411167,716.3946700507614,788,59.0,0.005423710148119597,0.07487309644670051,0.4137055837563452
jessie,-2.2548596112311015,9.5377969762419,692.9892008639309,463,21.0,0.003186773856065195,0.04535637149028078,0.3693304535637149
leon,-1.1093007467752884,9.661914460285132,693.6561439239647,2946,157.0,0.020276967127360827,0.05329260013577732,0.42973523421588594
lou,-1.0097087378640777,9.388349514563107,670.7621359223301,206,10.0,0.0014178734651175595,0.04854368932038835,0.45145631067961167
max,-1.271255060728745,9.508771929824562,700.3346828609987,741,30.0,0.005100214745884037,0.04048582995951417,0.42645074224021595
mortis,-1.2313006908981676,9.804445779513367,681.6191048362872,3329,138.0,0.02291311051153571,0.0414538900570742,0.42745569240012016
mr-p,-3.612021857923497,9.775956284153006,695.431693989071,183,8.0,0.0012595672044490942,0.04371584699453552,0.26229508196721313
