brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-2.712328767123288,9.520547945205479,712.7808219178082,146,6,0.0011520100998145737,0.0410958904109589,0.3219178082191781
amber,-1.9090909090909092,9.536796536796537,686.6363636363636,231,11,0.0018227009113504556,0.047619047619047616,0.3722943722943723
barley,-2.1333333333333333,9.622222222222222,664.0977777777778,225,8,0.0017753580305361581,0.035555555555555556,0.36
bea,-0.9798488664987406,9.556675062972293,691.3299748110832,397,20,0.0031325206138793547,0.05037783375314862,0.4534005037783375
belle,-2.515923566878981,9.643312101910828,680.4076433121019,157,8,0.0012388053813074526,0.050955414012738856,0.3248407643312102
bibi,-1.1429261226460647,9.680347658136165,714.9932399806856,2071,136,0.01634118436106837,0.0656687590535973,0.4094640270400773
bo,-1.7284345047923322,9.70926517571885,671.3865814696486,313,12,0.002469720282479189,0.038338658146964855,0.3929712460063898
brock,-1.3971486761710794,9.716904276985744,679.2138492871691,491,22,0.003874225746636683,0.04480651731160896,0.384928716904277
bull,0.3144368858654573,9.591080876795163,736.1560846560847,2646,233,0.02087821043910522,0.08805744520030234,0.5215419501133787
buzz,0.9655017921146953,9.199148745519713,727.5683243727599,4464,799,0.03522310332583738,0.1789874551971326,0.551747311827957
byron,-1.9306930693069306,9.435643564356436,672.4752475247525,101,5,0.0007969384937073421,0.04950495049504951,0.36633663366336633
carl,-0.500805152979066,9.458937198067632,705.6924315619967,621,40,0.0048999881642797965,0.0644122383252818,0.46215780998389694
colette,-0.8293768545994066,9.817507418397627,745.3367952522256,674,37,0.0053181836114727585,0.05489614243323442,0.4495548961424332
colonel-ruffs,-1.476510067114094,9.63758389261745,712.4228187919463,149,9,0.0011756815402217224,0.06040268456375839,0.3825503355704698
colt,-1.5844994617868675,9.819160387513456,692.5565123789021,929,57,0.007330256046080404,0.061356297093649086,0.379978471474704
crow,-1.2828713574982231,9.771144278606965,701.1549395877754,1407,75,0.011101905550952775,0.053304904051172705,0.4108031272210377
darryl,-0.5471544715447154,9.227642276422765,711.5650406504066,1230,71,0.009705290566930997,0.05772357723577236,0.47073170731707314
dynamike,-1.5928423236514522,9.74948132780083,674.0114107883818,1928,120,0.015212845701660946,0.06224066390041494,0.391597510373444
edgar,-1.4974498469908195,9.281876912614758,686.2084325059503,5882,364,0.04641180415828303,0.06188371302278137,0.39697381842910573
el-primo,0.39585826637031973,9.591682338861343,812.1967430329971,46792,4576,0.36921134651043513,0.09779449478543341,0.5324841853308258
emz,-1.1274725274725275,9.572527472527472,747.2,910,73,0.007180336923501795,0.08021978021978023,0.4164835164835165
frank,-0.32452830188679244,9.383962264150943,738.0603773584905,1060,91,0.008363908943859234,0.08584905660377358,0.4811320754716981
gale,-0.6591928251121076,9.47982062780269,689.5627802690583,446,20,0.0035191541405294514,0.04484304932735426,0.4641255605381166
gene,-0.6780735107731305,9.615335868187579,753.0614702154626,1578,85,0.012451177654160256,0.053865652724968315,0.46387832699619774
jacky,-0.8930817610062893,9.514150943396226,714.1949685534591,636,41,0.00501834536631554,0.06446540880503145,0.4418238993710692
