brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.23953796629426244,9.656125733762545,746.4491573565613,5281,648,0.0030840963761137583,0.1227040333270214,0.5158113993561826
amber,-0.5133886094875628,9.581215169226587,723.834715237189,7357,669,0.004296477379107919,0.09093380453989398,0.4610574962620633
barley,-1.4628224582701062,9.609509357612545,676.546282245827,1977,72,0.0011545651459149593,0.036418816388467376,0.41122913505311076
bea,-0.6811778290993071,9.643013856812933,722.2416859122402,17320,1362,0.01011485499607845,0.07863741339491917,0.45080831408775984
belle,-1.007322568531731,9.646263612467143,700.6043935411191,5326,386,0.003110376311149759,0.07247465264739016,0.4252722493428464
bibi,-0.5429346283623979,9.748541515562422,735.2768755321497,31711,2291,0.018519178220591438,0.07224622370786163,0.4682602251584624
bo,-1.1103091937997212,9.847617485442466,697.5587632248012,12193,785,0.007120694397643449,0.06438120232920529,0.4206511933076355
brock,-1.1165389232616123,9.73136947086527,690.588974051159,10829,680,0.006324120366774454,0.06279434850863422,0.423492473912642
bull,-0.034873610334761815,9.591578162847028,736.8215017700763,32202,2979,0.01880592151176202,0.09250978200111794,0.4948139867089001
buzz,0.9505035917249658,9.232796293864997,753.5220473770092,53317,9033,0.031137051029209856,0.16942063506949004,0.5535570268394696
byron,-1.4684684684684686,9.522787493375729,694.0916799152093,3774,215,0.0022040105516859163,0.05696873343932168,0.4035506094329624
carl,0.08377659574468085,9.59284332688588,756.580331237911,16544,1315,0.00966167211634653,0.07948500967117988,0.5143254352030948
colette,0.6620485339607023,9.856315078638957,789.1366705877227,22953,2575,0.013404518864029368,0.11218577092319088,0.5422384873437024
colonel-ruffs,-0.8399299474605955,9.623117338003503,702.045534150613,2855,207,0.0016673158783951487,0.07250437828371278,0.4409807355516637
colt,-1.1353180985151663,9.86101656879979,711.6324942962935,26737,1956,0.01561436940127884,0.07315704828514792,0.41721210307813145
crow,0.2192402793643449,9.843240742079615,778.6475844816866,69157,7124,0.040387588161882065,0.10301198721749064,0.5148141185997079
darryl,-0.12310491206791996,9.305966319914168,727.8471334608388,21437,1506,0.012519177052594326,0.07025236740215515,0.501142883799039
dynamike,-1.3450663253432626,9.718175471259018,679.9909239003956,17188,800,0.010037767186639514,0.046544100535257156,0.4127879916220619
edgar,-1.2069981445263527,9.337432927135048,698.2897798505592,79764,5446,0.04658206084914558,0.06827641542550524,0.4187227320595758
el-primo,0.3652971547592932,9.596206948801045,814.5005371152276,442177,44043,0.2582307296536363,0.09960490934625726,0.5311945216508321
emz,0.3912000564400442,9.692354725677868,802.7193989135292,42523,5300,0.024833370611907848,0.12463843096677092,0.5196717070761705
frank,0.15491505450260237,9.414956299715211,773.2731513306492,20366,1984,0.011893714598737512,0.09741726406756358,0.512569969557105
gale,0.3523750866117484,9.705597043652322,741.4657017476326,12989,1359,0.007585557248502481,0.10462699207021325,0.5228270074678574
gene,1.0606028073753992,9.763298800289864,844.5872473764728,149036,17278,0.08703680884500853,0.11593172119487909,0.575189887007166
jacky,-0.3538647342995169,9.561484409310497,725.5014273166447,9108,936,0.005319058851286519,0.10276679841897234,0.47112428634167763
jessie,-1.9069807134323264,9.566820276497696,685.5487284519543,5859,363,0.003421647541687277,0.061955965181771634,0.3713944359105649
leon,-0.6003361685479547,9.745902945821802,729.7880978945996,69013,5968,0.04030349236976686,0.08647646095663136,0.45614594351788795
lou,0.027126436781609194,9.511264367816091,706.9710344827586,4350,380,0.0025403937201467237,0.08735632183908046,0.5006896551724138
max,-0.16714071469204117,9.65191084449501,758.7324300563686,19337,1408,0.011292780084247632,0.07281377669752288,0.49738842633293684
mortis,-0.8124653156514917,9.832213866084926,703.1490900740571,52257,2700,0.030518012559472955,0.051667719157242095,0.4523413131255143
mr-p,-2.196683378326263,9.707288854608562,701.1334361743154,2593,144,0.0015143082566299896,0.05553413035094485,0.35518704203625145
nani,-0.22905377240516883,9.394435181325552,715.5825343893289,9596,833,0.005604050146788037,0.08680700291788244,0.48322217590662775
nita,-1.1737583981030166,9.741404294559347,694.6381240943223,7591,584,0.0044331330412951215,0.076933210380714,0.417072849426953
pam,0.49709618874773137,9.728130671506353,748.3243194192378,5510,702,0.0032178320455191834,0.12740471869328493,0.5237749546279492
penny,-1.585534863577306,9.695106106539628,683.9294066695539,2309,154,0.001348452666625008,0.06669553919445648,0.38891294932871373
piper,-0.98754606684458,9.785614436395985,705.1898589401449,7869,481,0.00459548463996197,0.06112593722201042,0.43537933663743805
poco,-1.1659205372132064,9.69781757134863,697.8270844991606,3574,215,0.0020872108404148024,0.06015668718522664,0.42249580302182427
rico,-0.976062796300614,9.730162431025104,707.9243801974042,12867,745,0.007514309424627102,0.05790005440273568,0.4392632315224994
rosa,-0.26311798604792236,9.38898999090082,731.036169244768,13188,1374,0.0077017729612172394,0.10418562329390355,0.4807400667273279
sandy,-0.660940499040307,9.755278310940499,717.4547984644913,10420,885,0.006085264957225026,0.08493282149712092,0.4484644913627639
shelly,0.4574407303028163,9.874437475524969,795.0413234812642,155771,20094,0.09097003912206329,0.12899705336680126,0.5244814503341444
spike,-0.5866171003717472,9.78909541511772,713.3338289962825,16140,1412,0.009425736699578878,0.08748451053283766,0.46059479553903343
sprout,-1.7645003494060099,9.50733752620545,701.6093640810622,1431,50,0.0008357019341448188,0.03494060097833683,0.3836477987421384
squeak,-0.6223867595818815,9.502177700348431,676.4028745644599,2296,98,0.0013408606853923858,0.042682926829268296,0.46646341463414637
