brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,,,,,,0,0,0
amber,,,,,,0,0,0
barley,,,,,,0,0,0
bea,,,,,,0,0,0
belle,,,,,,0,0,0
bibi,,,,,,0,0,0
bo,,,,,,0,0,0
brock,,,,,,0,0,0
bull,,,,,,0,0,0
buzz,,,,,,0,0,0
byron,,,,,,0,0,0
carl,,,,,,0,0,0
colette,,,,,,0,0,0
colonel-ruffs,,,,,,0,0,0
colt,,,,,,0,0,0
crow,,,,,,0,0,0
darryl,,,,,,0,0,0
dynamike,,,,,,0,0,0
edgar,,,,,,0,0,0
el-primo,,,,,,0,0,0
emz,,,,,,0,0,0
frank,,,,,,0,0,0
gale,,,,,,0,0,0
gene,,,,,,0,0,0
jacky,,,,,,0,0,0
jessie,,,,,,0,0,0
leon,,,,,,0,0,0
lou,,,,,,0,0,0
max,,,,,,0,0,0
mortis,,,,,,0,0,0
mr-p,,,,,,0,0,0
nani,,,,,,0,0,0
nita,,,,,,0,0,0
pam,,,,,,0,0,0
penny,,,,,,0,0,0
piper,,,,,,0,0,0
poco,,,,,,0,0,0
rico,,,,,,0,0,0
rosa,,,,,,0,0,0
sandy,,,,,,0,0,0
shelly,,,,,,0,0,0
spike,,,,,,0,0,0
sprout,,,,,,0,0,0
squeak,,,,,,0,0,0
stu,,,,,,0,0,0
surge,,,,,,0,0,0
tara,,,,,,0,0,0
tick,,,,,,0,0,0
