brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,0.9583333333333334,9.958333333333334,716.125,120,55,0.0010897895797953013,0.4583333333333333,0.4583333333333333
amber,1.0737704918032787,9.737704918032787,713.74043715847,366,171,0.0033238582183756685,0.4672131147540984,0.4672131147540984
barley,1.8048780487804879,9.932457786116323,701.2176360225141,533,279,0.004840482050257462,0.5234521575984991,0.5234521575984991
bea,0.6273148148148148,9.835648148148149,736.4166666666666,432,187,0.0039232424872630844,0.43287037037037035,0.43287037037037035
belle,0.9961240310077519,9.65891472868217,693.4147286821706,258,119,0.0023430475965598974,0.46124031007751937,0.46124031007751937
bibi,1.124690046050301,9.904357066950054,729.3535246191994,2823,1330,0.02563729986468446,0.47113000354233087,0.47113000354233087
bo,0.40707964601769914,9.900442477876107,695.2367256637168,452,188,0.004104874083895635,0.415929203539823,0.415929203539823
brock,0.7236533957845434,9.934426229508198,710.1170960187353,427,188,0.003877834588104947,0.44028103044496486,0.44028103044496486
bull,1.7364447494852437,9.872340425531915,745.1091283459162,1457,755,0.013231861814681282,0.518188057652711,0.518188057652711
buzz,1.6903967371153132,9.698553948832036,724.6766777901372,2697,1388,0.024493020805899393,0.5146459028550241,0.5146459028550241
byron,-0.6666666666666666,9.693333333333333,715.9866666666667,75,25,0.0006811184873720633,0.3333333333333333,0.3333333333333333
carl,1.2705882352941176,9.872941176470588,724.0423529411764,425,205,0.0038596714284416917,0.4823529411764706,0.4823529411764706
colette,1.855373831775701,9.977803738317757,789.7023364485981,4280,2257,0.038869161679365744,0.5273364485981309,0.5273364485981309
colonel-ruffs,0.7505882352941177,9.903529411764707,722.0329411764706,425,188,0.0038596714284416917,0.4423529411764706,0.4423529411764706
colt,1.2330468003820438,9.947468958930276,727.7765042979943,1047,502,0.009508414083714002,0.4794651384909265,0.4794651384909265
crow,1.185483870967742,9.869815668202765,729.2891705069125,868,413,0.007882811293852678,0.47580645161290325,0.47580645161290325
darryl,1.5811577752553916,9.838819523269013,735.249716231555,881,446,0.008000871831663836,0.5062429057888763,0.5062429057888763
dynamike,1.8625835915837547,9.8839504159191,738.0400424074376,12262,6473,0.11135833189541652,0.5278910455064426,0.5278910455064426
edgar,0.8321197411003236,9.745550161812298,714.8025889967638,2472,1109,0.022449665343783204,0.44862459546925565,0.44862459546925565
el-primo,1.475764850094489,9.82879615915011,774.924153429695,19579,9753,0.17780825152343502,0.4981357576995761,0.4981357576995761
emz,1.6751900483759503,9.783690393918452,766.7944022114721,2894,1486,0.026282092032730013,0.5134761575673807,0.5134761575673807
frank,1.6063872255489022,9.736526946107784,751.6335329341317,2505,1273,0.02274935747822691,0.5081836327345309,0.5081836327345309
gale,1.9618295051228822,9.909328333221724,774.9990624790732,14933,7997,0.1356152316256936,0.5355253465479141,0.5355253465479141
gene,1.4459657701711492,9.817114914425428,739.6885085574572,2045,1014,0.018571830755678257,0.4958435207823961,0.4958435207823961
jacky,0.8717948717948718,9.824457593688363,731.0591715976332,507,229,0.004604360974635148,0.4516765285996055,0.4516765285996055
jessie,1.109106529209622,9.865120274914089,715.4261168384879,1164,547,0.010570958924014422,0.4699312714776632,0.4699312714776632
leon,0.699594046008119,9.851150202976996,719.6089309878214,739,324,0.00671128749557273,0.43843031123139375,0.43843031123139375
lou,1.8365122615803815,9.85558583106267,733.5136239782016,1468,772,0.013331759192829185,0.5258855585831063,0.5258855585831063
max,1.417572463768116,9.819746376811594,732.830615942029,1104,545,0.010026064134116771,0.4936594202898551,0.4936594202898551
mortis,1.4805673364388514,9.937078495446013,749.4809149690607,14383,7170,0.13062036271829847,0.4985051797260655,0.4985051797260655
mr-p,-0.2366412213740458,9.885496183206106,704.0152671755725,131,48,0.0011896869579432038,0.366412213740458,0.366412213740458
nani,1.5528455284552845,9.804878048780488,729.9918699186992,123,62,0.0011170343192901837,0.5040650406504065,0.5040650406504065
nita,1.0947630922693268,9.933915211970074,707.3441396508728,802,376,0.007283427024965263,0.4688279301745636,0.4688279301745636
pam,1.3968253968253967,9.761904761904763,701.952380952381,126,62,0.0011442790587850662,0.49206349206349204,0.49206349206349204
penny,1.3056478405315615,9.90033222591362,705.4241417497232,903,438,0.008200666587959642,0.4850498338870432,0.4850498338870432
piper,0.3,9.946153846153846,709.0615384615385,130,53,0.0011806053781115763,0.4076923076923077,0.4076923076923077
poco,0.9122340425531915,9.928191489361701,712.6382978723404,376,171,0.0034146740166919438,0.45478723404255317,0.45478723404255317
rico,1.693069306930693,9.893069306930693,717.059405940594,505,260,0.004586197814971892,0.5148514851485149,0.5148514851485149
rosa,1.141732283464567,9.755905511811024,690.2559055118111,254,120,0.0023067212772333876,0.47244094488188976,0.47244094488188976
sandy,1.8611111111111112,9.901234567901234,739.9922839506173,648,342,0.005884863730894627,0.5277777777777778,0.5277777777777778
shelly,0.8380480905233381,9.88967468175389,745.0487977369165,1414,635,0.0128413538819213,0.4490806223479491,0.4490806223479491
spike,0.6247755834829444,9.89048473967684,713.7199281867146,557,241,0.005058439966216523,0.4326750448833034,0.4326750448833034
sprout,0.7865853658536586,9.815718157181571,723.3516260162602,1476,657,0.013404411831482204,0.4451219512195122,0.4451219512195122
squeak,1.703125,9.903125,701.2666666666667,960,495,0.00871831663836241,0.515625,0.515625
stu,1.3849832615973219,9.84026781444285,767.0616929698708,2091,1027,0.018989583427933124,0.49115255858440937,0.49115255858440937
surge,2.0490253987005316,9.822799763733018,766.203780271707,1693,918,0.015375114654945374,0.542232722976964,0.542232722976964
tara,1.2834410740924913,9.895077076081552,748.9323719542516,2011,972,0.018263057041402922,0.4833416210840378,0.4833416210840378
tick,1.8289703315881327,9.766143106457243,726.9358638743455,2292,1204,0.020814980974090253,0.525305410122164,0.525305410122164
