row,duration
1,95
1,145
3,99
1,99
3,88
2,146
1,146
1,94
2,137
1,121
1,150
1,143
1,93
3,74
1,142
1,144
1,150
3,140
3,146
2,141
1,141
1,144
1,95
1,147
1,150
1,149
1,138
1,145
1,147
3,147
1,95
3,94
1,102
3,144
2,150
1,46
1,150
1,51
1,96
2,95
1,150
1,150
1,93
1,145
1,145
2,142
5,89
4,94
4,144
1,140
3,144
2,95
2,95
5,96
1,150
1,145
5,46
3,94
2,95
5,150
2,95
3,150
2,92
2,143
3,145
3,97
2,106
1,148
4,91
2,149
3,78
3,150
3,150
5,95
2,148
3,137
3,97
3,150
3,150
3,93
3,144
3,144
3,147
1,147
3,90
1,131
2,93
3,150
3,47
4,92
4,146
1,149
2,150
1,95
2,142
3,143
1,92
3,88
5,93
1,47
3,142
5,144
2,139
2,96
5,146
5,150
3,92
5,95
1,141
1,95
2,97
5,91
5,150
1,143
5,90
3,150
1,150
1,96
2,150
5,97
1,149
3,94
3,144
4,94
5,150
2,142
3,51
4,150
2,144
2,144
1,91
1,142
1,150
1,150
1,91
3,90
3,146
2,94
1,112
1,95
1,96
1,94
1,146
1,143
1,147
1,147
1,91
1,150
4,146
2,150
2,89
1,94
3,59
3,94
2,123
3,141
3,97
2,88
2,150
3,150
2,146
2,150
1,145
5,144
3,142
2,148
2,142
4,91
1,150
1,150
4,145
3,48
4,47
1,49
5,150
1,150
3,97
3,95
3,140
4,45
3,94
2,92
2,93
2,150
5,93
5,148
3,150
4,120
5,142
4,148
1,150
3,94
4,92
3,138
3,113
4,95
3,94
1,95
2,144
1,94
1,146
4,139
1,80
1,150
4,97
4,147
4,129
2,92
1,96
1,143
1,93
2,95
3,97
1,96
1,96
5,150
4,141
5,49
5,150
5,138
2,138
5,138
5,150
1,150
5,141
5,84
5,142
5,141
5,138
2,145
1,150
4,143
1,95
3,101
3,150
2,150
2,146
2,148
2,150
3,98
2,150
3,95
1,150
5,143
4,118
5,94
4,140
4,140
2,97
4,142
4,89
4,146
1,111
5,144
3,138
1,91
3,91
4,142
2,98
3,93
4,103
4,141
1,141
3,91
