row,duration
1,143
1,135
3,92
1,145
1,94
1,48
1,145
5,46
2,145
1,95
4,137
3,133
1,93
5,150
2,150
5,150
2,143
2,94
3,84
4,150
1,143
3,100
4,150
1,92
4,90
2,150
5,142
4,150
3,91
2,142
2,150
3,88
3,49
1,93
1,47
1,90
5,143
2,139
4,150
1,141
1,150
5,137
2,145
5,150
3,95
1,150
5,60
1,96
1,148
2,144
1,93
1,48
5,46
3,90
5,91
5,140
5,146
5,142
5,150
4,142
3,103
2,150
1,90
5,43
1,43
5,93
5,93
1,98
5,98
1,50
3,83
2,150
2,144
1,98
1,53
2,146
4,143
1,90
1,91
1,139
1,150
1,150
1,90
1,141
1,140
5,150
1,96
2,142
3,144
3,96
5,117
2,150
4,150
3,94
2,98
2,150
4,150
1,150
4,150
3,50
3,137
5,144
4,142
2,150
4,150
3,88
1,93
3,150
3,150
2,148
3,142
4,142
4,58
1,58
4,92
4,140
4,150
4,93
2,147
1,91
1,141
1,137
1,91
1,45
2,92
5,142
3,89
5,150
1,141
2,150
2,95
2,145
1,97
1,141
1,90
4,144
3,93
1,150
1,96
1,96
1,91
1,150
1,96
5,138
1,46
1,150
5,141
1,150
2,150
5,94
3,139
1,70
4,145
3,139
1,92
1,93
5,122
1,145
4,144
2,146
1,96
1,146
2,146
1,146
1,58
1,96
2,150
1,45
5,150
2,92
5,94
5,120
5,49
5,114
5,97
5,107
5,150
3,143
2,150
4,144
4,96
4,145
4,93
4,150
4,94
4,87
4,150
4,150
4,148
4,142
4,144
4,142
4,143
4,92
4,150
4,143
4,140
4,150
4,142
4,122
4,145
4,140
4,142
4,150
4,145
4,141
4,150
4,148
5,148
4,94
4,150
4,139
4,150
4,145
4,44
4,92
3,92
4,145
4,143
2,143
4,142
4,99
4,142
4,143
4,150
4,142
4,139
4,142
4,141
4,145
4,92
4,142
4,94
4,150
1,150
4,150
4,150
4,143
4,139
4,150
4,150
4,93
4,143
4,150
1,42
3,138
1,126
3,150
2,123
5,142
1,147
5,45
1,143
2,66
3,98
2,150
2,150
2,94
2,100
2,97
2,150
2,150
3,82
2,93
2,46
5,147
5,142
3,117
3,150
1,50
1,143
1,150
1,141
1,141
1,150
1,132
2,115
2,150
2,150
2,150
2,150
2,94
5,94
2,150
2,146
2,96
2,142
2,97
2,150
2,150
2,145
2,48
2,150
2,96
2,92
2,150
2,140
2,146
1,139
2,139
2,145
2,92
2,146
2,150
2,145
2,144
2,143
2,127
2,150
2,147
2,150
2,150
2,150
2,150
2,148
2,142
2,150
2,142
2,96
5,96
2,142
3,44
3,96
1,150
3,45
1,145
3,92
3,92
5,92
3,139
3,64
1,140
3,149
3,150
3,137
1,144
1,150
1,141
3,140
2,82
1,143
5,150
5,122
3,137
2,150
1,46
1,150
1,150
5,51
5,93
3,91
1,147
5,150
5,150
1,94
1,150
5,89
2,98
2,94
3,150
1,85
3,143
2,144
1,150
1,150
1,143
1,138
1,145
1,95
3,44
2,150
1,150
1,143
1,48
5,148
3,150
5,43
1,96
3,150
1,89
1,57
1,138
3,47
1,142
2,94
5,146
1,96
1,51
5,150
5,90
3,145
3,94
5,150
5,148
5,150
3,150
1,146
3,95
3,150
1,150
2,150
1,92
1,142
1,43
3,91
1,95
1,139
1,94
1,43
1,91
1,94
2,94
1,145
1,145
1,139
1,137
1,91
1,93
1,150
1,144
1,144
1,50
1,143
1,94
1,89
1,139
1,90
1,150
1,46
1,46
1,141
1,141
1,150
1,140
1,143
1,143
1,143
1,150
1,48
5,83
5,143
3,150
3,91
2,150
1,139
5,94
1,140
3,92
3,86
2,150
1,150
3,150
1,150
1,144
3,50
5,150
3,81
1,142
1,92
2,150
3,91
3,44
1,139
1,139
5,93
4,54
5,150
5,91
1,92
3,94
1,100
3,93
1,141
2,148
3,93
1,93
2,150
1,150
3,150
5,150
3,143
1,150
2,150
1,150
1,150
1,137
3,91
1,93
2,141
2,140
2,146
5,150
3,150
1,111
1,111
1,150
1,142
5,146
3,88
5,97
1,94
5,139
2,141
5,141
5,92
1,59
5,94
5,136
2,136
1,92
2,150
2,150
2,134
1,104
3,92
1,95
3,142
5,142
5,150
1,137
1,137
1,142
1,93
1,147
1,150
3,96
3,90
3,90
3,93
3,46
3,97
3,99
3,144
3,90
1,142
1,92
1,141
3,93
2,94
3,141
5,90
1,94
1,150
1,150
1,150
1,150
3,150
4,139
3,95
1,55
1,50
2,150
1,91
1,50
3,128
3,150
3,150
3,150
1,150
3,91
1,91
1,46
1,130
1,93
1,144
3,98
1,97
2,150
1,145
1,150
1,95
3,144
1,150
1,140
1,150
3,145
1,142
1,95
1,150
3,150
1,97
1,150
2,150
1,94
1,150
3,150
3,117
5,86
1,86
3,146
1,139
1,150
1,138
1,149
1,95
3,111
4,113
5,91
5,140
5,150
5,150
5,150
4,93
2,150
1,91
5,150
