row,duration
3,88
1,137
3,74
3,140
3,146
3,144
1,150
4,94
2,94
3,144
1,95
1,95
1,95
3,150
1,92
1,143
3,145
1,106
2,91
1,149
1,93
3,150
2,146
1,150
3,90
4,140
5,95
5,96
5,143
4,150
4,150
4,139
1,148
4,148
4,142
4,145
4,146
4,137
1,142
4,142
3,97
4,94
1,93
1,150
4,95
4,99
1,145
2,143
3,95
5,150
4,130
2,142
3,93
2,103
5,140
4,97
2,142
3,98
1,92
3,114
5,148
2,142
5,94
5,91
5,141
5,150
1,150
1,91
1,144
3,61
3,142
3,144
3,47
3,96
1,150
1,141
1,144
2,49
1,141
5,143
3,93
1,95
3,150
5,115
4,143
1,150
3,144
1,90
1,143
1,143
5,150
5,103
4,93
4,69
5,94
1,94
2,90
5,142
2,94
3,144
2,146
5,150
5,145
3,140
2,145
3,92
1,90
1,47
1,143
2,150
2,140
5,97
5,150
2,143
1,150
3,47
5,90
3,146
3,100
2,97
3,150
5,150
2,92
1,150
2,92
1,46
1,93
2,139
1,150
2,95
2,147
3,147
1,92
2,142
5,92
1,146
5,91
2,140
4,150
2,46
5,96
3,48
5,145
5,91
1,125
4,143
2,111
2,146
1,143
1,93
4,146
2,47
5,139
1,98
1,143
3,47
4,92
3,144
2,48
4,150
5,134
5,145
5,147
5,143
2,92
5,150
1,150
3,94
1,140
1,146
2,150
2,145
2,140
2,47
5,142
4,90
2,91
3,145
1,94
1,146
1,95
4,89
2,94
1,92
1,146
1,92
1,150
1,143
1,146
1,94
1,150
1,143
1,150
1,93
1,95
1,150
1,142
1,150
1,143
1,89
1,142
1,48
1,144
1,49
2,98
4,95
2,93
3,150
2,150
4,97
1,94
1,95
2,125
2,50
1,91
5,139
5,141
1,95
2,143
5,93
5,50
4,51
1,95
4,150
2,95
4,138
3,96
2,143
4,150
3,93
4,139
4,93
3,94
3,93
3,98
3,150
2,139
3,150
1,150
2,150
2,150
1,150
1,145
1,150
5,142
5,145
3,90
2,95
2,90
5,146
4,150
2,97
4,47
5,150
1,144
1,96
2,149
1,97
2,92
1,102
3,145
5,150
1,92
4,137
4,91
5,91
1,145
5,145
5,97
2,90
2,90
2,136
4,147
4,73
1,146
2,93
2,94
2,97
3,90
3,148
2,92
1,147
3,147
3,50
2,94
2,92
3,150
1,103
1,143
1,139
1,49
1,139
1,93
1,141
1,142
1,150
1,142
1,142
1,140
1,88
1,144
1,150
1,140
1,139
1,100
1,93
1,92
1,145
1,106
1,144
1,149
1,46
1,139
1,140
1,150
1,97
1,150
1,138
1,49
1,90
1,150
1,138
1,95
1,150
1,143
1,150
1,143
1,141
1,148
4,147
2,50
4,93
5,104
3,144
2,150
4,88
1,144
3,141
3,99
3,46
1,150
1,149
2,144
1,142
3,48
1,150
5,150
5,150
2,93
3,97
3,101
2,53
4,53
4,139
1,145
3,134
1,95
3,150
2,150
4,92
1,89
1,150
1,150
2,93
2,91
3,150
4,92
1,92
4,47
3,150
3,140
3,46
3,95
2,94
2,143
2,48
2,89
3,141
4,139
1,143
1,48
2,138
3,90
2,121
3,137
3,91
3,139
3,52
1,94
2,150
4,138
3,95
3,145
3,142
4,89
3,147
3,47
1,47
3,101
3,139
4,142
1,150
1,144
2,93
1,95
3,99
3,138
5,103
2,144
2,48
2,150
4,94
2,94
5,96
4,145
3,139
4,90
2,150
2,91
4,150
5,144
2,95
1,95
1,149
2,48
2,94
3,97
4,93
4,90
4,50
4,141
4,81
4,127
4,144
2,142
4,90
4,95
4,150
4,87
4,150
4,94
4,44
4,75
4,86
4,143
4,93
4,95
4,140
4,91
4,142
4,94
4,47
4,143
4,106
4,92
4,92
4,95
4,142
4,49
4,150
4,142
4,48
4,144
4,147
4,150
1,89
1,140
1,93
4,138
2,95
2,97
5,97
5,141
4,138
3,93
3,49
5,97
4,140
1,146
3,93
3,150
2,89
1,148
1,145
5,139
5,139
2,97
1,99
1,141
3,72
2,147
3,97
3,116
3,122
3,95
3,53
3,140
5,139
1,143
1,141
1,150
4,95
3,150
5,150
2,139
1,98
4,94
2,91
1,140
2,140
2,95
2,44
5,95
2,93
2,95
2,101
3,96
2,150
4,146
2,140
1,150
3,145
2,145
2,142
5,90
2,147
1,91
1,94
2,94
3,140
2,92
4,141
5,150
2,141
3,140
2,143
4,132
3,145
1,95
2,97
3,92
2,96
4,144
1,96
2,91
5,150
1,150
1,150
3,144
5,146
3,147
3,94
3,141
5,144
5,134
5,140
3,150
3,94
3,147
1,140
3,135
1,95
3,142
4,93
4,96
5,146
5,144
5,91
5,95
5,99
5,141
5,94
4,96
5,95
5,51
5,92
5,95
5,95
5,92
5,150
5,89
5,50
5,96
3,96
5,150
5,150
5,140
5,93
5,95
5,50
5,91
5,96
5,98
5,150
5,138
5,50
5,147
3,145
1,140
1,150
1,96
1,114
1,94
1,150
1,141
1,141
3,52
1,52
2,150
2,90
1,150
1,95
1,143
1,94
1,144
1,92
1,95
1,150
1,150
1,150
1,94
1,143
1,143
1,150
1,140
1,94
1,150
1,150
1,46
1,140
1,150
1,96
1,148
1,93
1,94
1,150
1,146
1,145
3,136
1,141
1,144
1,150
1,81
1,150
1,95
1,94
1,142
1,96
1,145
1,94
1,141
1,94
1,95
1,86
1,150
1,143
1,141
1,150
1,139
1,94
1,150
1,150
1,147
1,137
1,150
1,95
1,109
1,139
1,150
1,144
2,141
1,142
3,141
2,94
3,95
1,97
4,95
3,94
2,146
2,146
1,147
2,145
3,77
1,142
2,47
3,142
2,141
1,144
1,48
2,47
3,111
1,150
2,91
3,74
2,98
3,150
5,95
3,150
3,92
5,50
5,150
5,92
3,89
3,93
5,143
5,145
2,93
5,94
4,143
2,99
4,140
2,47
2,86
2,92
2,49
3,97
3,139
4,142
3,141
3,150
3,145
4,150
3,145
3,140
1,51
2,45
2,91
1,146
2,93
2,150
1,88
5,150
4,150
2,92
2,139
4,150
2,50
4,107
3,96
2,85
2,92
4,143
3,68
4,140
4,96
4,97
2,78
2,93
1,144
4,143
3,150
3,104
5,143
3,50
3,50
5,150
4,139
1,94
2,96
3,150
4,105
3,52
2,140
2,139
5,98
3,150
3,89
5,150
2,90
5,150
1,94
3,150
1,91
3,97
4,94
2,145
1,150
3,148
1,52
2,140
3,94
5,94
3,92
1,92
2,47
2,46
2,46
2,137
3,150
3,147
3,140
3,94
3,97
1,93
4,93
2,150
2,93
1,92
2,90
2,47
5,142
5,139
2,140
2,150
5,150
3,139
5,93
3,95
1,94
1,98
1,72
1,92
5,137
2,139
1,93
4,128
1,96
2,89
5,143
4,150
4,100
4,81
2,142
2,48
2,141
1,91
4,92
4,90
3,145
3,147
1,139
4,144
2,96
2,142
2,97
4,95
3,98
3,117
2,50
3,91
3,150
3,150
3,141
1,92
2,75
2,88
4,48
3,95
3,94
4,150
5,150
4,65
2,94
2,89
3,150
2,141
2,93
2,93
2,93
4,99
5,150
3,93
3,96
3,150
3,150
3,98
1,148
3,146
5,94
3,150
2,150
3,91
4,46
2,138
3,145
5,94
5,91
5,95
5,91
2,95
3,145
5,148
1,51
4,95
4,47
5,144
3,91
3,150
2,50
1,150
1,142
3,139
2,138
2,145
3,92
1,97
4,150
4,92
4,93
4,80
5,96
2,95
2,96
4,92
4,146
4,150
2,47
4,144
1,144
3,92
3,97
4,93
1,150
2,95
4,150
5,90
1,92
4,135
2,90
2,91
1,95
2,88
4,50
4,145
1,96
2,143
2,95
2,138
1,143
1,139
3,150
3,150
3,94
5,150
3,93
2,97
5,98
3,93
2,94
1,93
2,91
3,143
5,146
3,98
4,142
1,51
3,150
1,56
2,95
2,95
1,89
2,44
5,147
1,150
5,138
