row,duration
1,143
5,140
4,138
5,93
2,150
5,150
2,145
2,93
2,150
2,150
2,150
1,142
1,150
4,139
4,144
2,143
2,150
3,99
4,93
1,143
1,97
1,93
1,141
1,145
1,150
1,146
1,91
1,94
1,102
1,150
1,145
1,146
1,150
1,150
1,150
1,147
1,139
1,143
1,150
1,150
1,150
1,98
2,145
4,145
1,92
1,91
1,150
1,146
1,150
1,143
1,144
1,140
1,145
1,142
1,142
1,91
1,93
1,145
1,146
1,143
1,140
1,150
1,150
1,140
1,140
1,94
1,139
1,149
1,150
1,150
2,148
3,92
5,93
4,95
5,150
2,150
4,150
2,150
2,147
3,50
3,142
2,145
2,150
2,150
2,146
2,150
2,150
2,148
2,143
2,141
2,150
2,141
2,143
3,48
4,92
2,150
5,150
2,150
3,47
5,143
3,95
1,144
3,96
4,72
2,140
2,139
2,146
3,143
3,93
5,93
5,150
3,66
2,142
3,142
3,98
3,96
3,144
3,142
3,69
3,97
3,48
3,92
3,142
3,48
3,94
3,93
3,48
3,96
3,91
3,51
3,47
3,111
3,121
3,94
3,150
3,141
3,46
3,48
3,94
3,150
3,142
3,150
3,51
3,102
3,46
2,150
4,148
3,143
4,142
5,91
4,100
5,92
4,121
4,48
4,94
4,150
4,94
4,95
2,137
1,142
2,150
4,150
4,144
4,93
5,98
2,99
2,144
2,150
1,93
5,150
5,150
5,53
5,150
5,141
2,95
4,96
4,92
5,150
5,150
5,150
5,146
5,141
4,93
5,93
1,150
5,150
5,150
5,150
5,150
5,150
5,99
5,98
5,150
5,150
5,91
5,150
5,150
5,120
5,150
5,150
5,50
5,46
5,124
4,99
5,101
2,146
3,100
3,148
4,94
2,150
4,143
2,150
3,93
4,93
2,143
4,143
4,98
4,94
4,144
4,94
4,143
4,110
4,95
4,48
4,138
4,150
4,150
4,91
4,93
4,95
4,94
5,135
2,150
2,150
2,150
2,150
2,144
2,150
1,147
1,143
1,150
2,144
4,95
5,48
2,150
2,150
5,150
3,140
4,150
2,125
2,150
