row,duration
1,95
1,142
4,145
3,94
1,95
2,150
3,97
2,95
1,148
1,142
3,143
3,88
2,93
4,47
3,142
2,144
1,139
1,96
2,146
1,97
2,91
2,90
4,96
1,150
2,97
5,140
5,97
5,140
5,150
1,142
3,51
5,51
3,146
1,94
1,150
3,59
3,94
1,123
5,141
3,141
3,97
1,88
1,150
3,150
1,146
1,150
4,49
3,95
3,94
1,92
1,144
5,148
4,96
1,95
2,150
2,49
2,150
2,138
1,138
2,138
2,150
4,150
2,141
2,84
2,142
5,142
2,141
2,138
4,95
3,101
3,150
1,150
1,146
1,148
1,150
3,98
1,150
2,94
4,111
2,144
3,138
1,98
2,150
2,92
3,92
5,97
3,96
3,97
4,150
5,150
4,141
1,91
4,147
1,94
3,150
3,101
5,150
4,150
4,150
4,96
4,49
4,150
4,93
3,95
3,150
3,148
3,150
3,48
3,117
3,150
1,96
2,95
4,141
5,95
5,150
1,150
2,135
3,89
3,98
3,94
3,96
3,91
3,93
1,144
3,133
2,144
3,97
5,138
2,147
3,150
1,94
2,98
1,117
5,50
2,48
5,142
1,94
1,144
2,150
2,150
1,48
2,139
2,146
4,143
2,96
1,98
2,150
1,150
2,45
5,150
3,97
5,150
5,96
5,97
5,137
5,140
5,146
2,145
2,144
1,100
4,141
1,150
2,95
1,150
1,49
2,45
3,93
1,99
4,146
3,141
4,93
3,96
4,94
1,150
1,96
1,148
2,143
3,93
4,95
1,141
1,144
3,97
3,93
1,92
5,93
1,143
4,150
3,147
1,95
1,148
3,150
3,150
2,150
2,142
1,142
1,142
2,92
2,91
5,98
5,98
5,95
5,143
5,150
4,150
3,142
2,93
3,145
1,150
5,150
3,98
2,95
1,92
1,143
4,94
3,95
3,95
3,100
3,142
5,96
3,150
3,141
3,150
3,141
2,150
2,49
2,144
2,150
2,44
2,99
2,92
2,144
2,98
2,68
1,48
1,95
1,150
3,150
5,94
4,150
3,141
2,97
3,150
3,98
3,94
3,127
3,141
2,138
1,150
2,137
3,98
1,144
4,138
4,150
2,143
3,97
3,94
1,142
1,94
1,93
1,150
3,97
1,93
1,139
1,94
1,147
1,91
1,94
1,150
1,96
1,150
5,144
5,97
3,100
3,139
3,150
1,150
2,108
5,97
3,92
1,92
1,95
1,150
1,138
3,141
3,99
1,99
3,150
2,95
4,91
2,95
5,146
3,141
1,150
3,150
4,97
4,114
4,144
4,150
4,149
4,95
4,150
4,150
4,92
4,150
4,150
4,140
4,148
4,148
4,150
1,150
1,137
2,95
4,150
1,100
3,48
2,143
2,97
2,150
1,142
3,144
3,142
2,150
2,46
3,150
2,142
2,144
2,138
4,150
2,48
4,48
4,145
4,48
3,92
4,140
1,45
2,52
3,150
1,49
1,49
1,150
4,91
4,139
2,142
2,150
2,147
5,92
1,150
5,146
4,150
5,94
4,94
2,137
2,116
4,48
1,93
3,133
5,144
1,143
1,139
1,97
3,150
3,102
1,150
1,96
5,67
4,135
2,150
2,47
3,148
4,94
4,150
3,104
3,140
3,150
3,144
3,150
3,150
2,141
1,99
1,143
1,92
1,150
1,150
1,127
1,138
1,142
1,139
1,150
5,150
2,150
2,150
3,96
1,95
4,95
1,138
3,139
4,144
1,93
1,144
1,150
1,91
1,98
4,143
4,150
4,150
4,150
3,96
1,94
1,150
2,150
5,138
3,94
1,146
4,150
1,144
1,150
4,150
3,93
3,141
3,140
3,124
3,93
3,95
3,150
3,150
3,95
3,143
3,97
3,150
3,150
3,101
3,150
3,150
3,150
3,94
3,145
3,150
3,139
3,150
3,48
3,149
3,140
3,94
3,92
3,92
4,84
1,91
5,71
4,96
2,145
3,150
3,101
1,114
1,150
1,141
1,91
1,146
1,145
1,117
1,143
1,104
1,103
1,117
1,150
1,150
1,50
1,149
1,150
1,137
1,95
1,50
1,136
1,99
1,93
2,93
1,146
1,143
2,143
1,98
1,150
1,89
1,150
1,150
1,150
1,150
1,147
1,46
1,96
1,150
1,149
1,150
1,146
1,150
1,145
4,145
1,98
1,148
4,98
2,49
2,150
3,139
3,143
5,150
2,144
2,46
4,150
3,95
4,93
4,143
5,90
1,99
5,96
4,89
4,91
2,54
1,150
3,94
4,145
4,93
3,94
1,150
5,145
2,139
4,144
4,143
4,92
2,150
4,133
3,144
4,150
2,139
3,139
4,149
5,150
4,100
4,97
4,49
4,148
4,102
4,47
4,50
4,141
4,142
4,140
4,96
4,94
2,101
2,93
4,150
2,150
5,96
1,95
2,150
3,150
2,141
2,141
2,94
2,95
2,43
2,150
3,100
5,150
5,104
5,150
1,142
3,44
1,91
2,94
1,144
4,91
5,150
1,93
3,150
5,150
1,95
2,150
2,93
2,130
1,142
4,51
2,145
4,144
4,102
1,124
4,146
5,145
2,145
5,141
3,141
5,148
5,150
5,150
5,150
5,94
5,92
5,150
1,100
1,100
5,93
5,119
5,150
2,95
2,100
5,100
5,143
5,150
2,94
2,150
2,142
5,150
5,91
2,150
2,94
4,93
3,98
5,150
4,150
4,150
2,50
5,143
3,150
5,95
2,94
1,91
1,97
1,150
2,47
5,150
1,150
1,49
5,150
5,139
5,93
1,90
1,92
1,93
2,150
1,150
2,100
3,93
5,145
5,150
5,99
5,140
5,146
5,145
5,145
2,93
2,145
2,95
2,97
1,148
2,94
2,94
2,150
2,94
2,94
2,143
2,105
2,92
2,92
2,92
1,90
1,93
1,144
1,47
1,89
1,143
1,99
1,89
1,96
1,143
1,143
3,145
2,96
1,94
1,96
2,143
3,150
2,150
4,147
2,45
1,150
3,143
5,94
4,95
4,95
5,97
3,150
2,46
5,149
2,87
2,92
2,93
4,150
4,147
4,142
4,146
4,150
5,150
5,147
3,145
1,145
3,95
1,97
3,150
3,150
2,89
5,145
2,150
2,150
3,129
3,114
3,100
3,150
3,99
3,150
3,144
3,150
1,113
3,97
1,96
4,150
3,149
2,91
1,91
2,150
3,139
5,150
5,51
1,144
4,147
3,147
3,49
1,143
2,66
4,141
1,96
3,89
4,55
4,138
3,128
1,150
5,150
4,94
1,97
3,147
1,147
3,147
3,137
3,144
3,116
5,150
1,141
3,150
3,150
3,99
2,150
3,47
1,146
4,150
5,97
5,138
2,95
2,144
1,150
2,93
2,144
2,120
4,44
4,150
2,44
2,142
1,150
1,95
1,93
4,99
1,150
1,94
2,45
1,95
2,41
2,139
2,142
4,150
3,95
4,125
5,150
1,148
1,147
4,142
1,149
2,150
2,150
2,150
4,150
2,150
1,101
2,92
5,92
2,146
5,141
3,138
2,144
5,95
3,46
4,142
4,95
2,128
4,148
4,139
4,130
3,92
2,94
2,99
1,150
1,147
3,95
1,91
2,43
2,45
4,148
2,54
1,149
2,94
1,146
2,96
1,95
5,145
2,94
4,45
3,91
2,47
2,93
3,150
2,142
2,89
4,150
1,93
5,150
4,144
3,150
2,150
3,150
2,150
2,91
2,50
4,67
2,146
2,101
4,48
2,98
2,95
2,149
4,142
1,131
5,143
2,79
4,92
1,140
2,49
2,147
2,48
2,52
5,150
4,140
4,93
3,97
2,143
2,49
4,142
4,95
4,97
4,94
4,46
4,93
2,44
2,143
2,150
2,97
4,94
4,126
5,96
2,90
2,149
3,93
4,150
2,90
5,96
3,114
1,99
1,92
2,95
2,51
2,95
3,92
2,47
2,141
1,73
5,150
5,97
5,142
3,91
5,145
5,148
5,143
5,143
3,146
3,99
2,93
2,77
5,145
2,145
5,150
5,150
5,90
3,145
2,94
5,145
2,95
2,142
2,51
2,45
2,49
2,48
2,146
2,91
2,138
2,95
2,94
2,143
5,150
