row,duration
4,44
5,95
4,141
2,150
2,150
5,93
5,148
2,142
4,145
3,150
1,90
3,89
2,150
2,150
3,150
3,93
2,150
1,90
1,90
5,143
4,139
1,90
1,136
4,45
1,140
4,88
1,87
1,90
2,90
3,150
1,48
3,96
1,89
4,89
1,88
5,148
2,138
5,142
5,145
5,138
4,47
4,89
4,92
5,88
5,146
5,91
4,132
5,150
3,143
5,143
1,146
1,90
5,144
2,91
2,144
1,143
1,90
4,91
4,140
2,150
5,86
2,141
5,95
1,44
2,141
4,44
1,45
2,142
3,92
4,67
2,150
1,150
3,92
1,97
4,150
4,139
4,88
4,91
4,91
2,143
4,143
4,150
4,89
4,93
4,138
4,47
4,91
4,139
4,92
4,43
4,44
5,138
2,96
1,90
5,47
5,90
5,150
5,93
5,138
1,93
1,93
1,96
1,142
1,150
1,90
1,144
1,89
1,44
1,150
3,91
1,91
1,115
1,140
1,93
1,92
1,103
1,92
1,90
1,121
1,92
1,138
1,89
1,90
1,150
1,136
1,150
1,94
1,93
1,90
3,48
1,48
1,92
1,89
1,90
1,121
1,138
1,95
1,91
1,88
1,88
1,88
1,89
1,44
1,46
1,144
1,150
1,82
1,45
1,44
1,44
1,141
1,84
1,146
1,88
1,89
1,139
1,142
1,87
1,45
1,141
1,92
1,150
1,114
1,46
1,86
1,137
1,93
1,87
1,137
1,44
1,92
1,87
1,138
1,47
1,94
1,96
1,141
1,150
1,150
1,144
1,91
1,140
1,143
1,92
1,86
1,140
1,93
1,150
1,49
1,91
1,94
1,150
3,142
2,150
1,66
2,143
3,147
3,51
3,48
4,47
4,150
3,44
3,100
3,91
3,93
1,150
2,150
2,91
5,89
5,87
3,143
3,145
3,92
3,150
3,47
4,47
5,137
2,144
2,90
2,148
4,91
5,94
5,90
1,43
4,42
3,91
2,142
4,97
4,93
2,144
4,91
3,92
5,139
2,146
2,139
2,94
5,90
2,150
3,90
4,90
5,150
5,150
5,150
5,150
2,150
3,93
2,93
4,97
2,91
3,89
3,45
5,92
4,137
2,150
2,140
4,46
3,150
4,46
5,89
5,95
5,143
5,150
2,145
3,142
3,94
4,42
4,50
4,142
5,96
2,150
5,150
5,97
2,141
4,44
4,48
5,88
4,137
4,96
4,56
4,45
4,142
4,92
4,136
4,90
4,90
4,92
4,45
4,90
4,150
2,150
4,150
4,89
4,93
4,92
4,93
4,94
4,90
4,88
4,124
4,93
4,116
4,92
4,46
4,88
4,45
4,51
4,150
4,95
4,47
4,142
5,142
2,144
2,141
2,93
2,145
2,141
2,88
2,150
2,90
2,150
2,119
2,150
2,150
2,150
2,150
2,140
2,140
2,146
2,150
2,143
2,145
2,142
2,137
2,94
2,142
2,145
2,141
2,91
2,150
2,46
2,146
2,94
2,93
2,150
2,143
2,93
2,150
2,93
2,149
2,45
3,150
2,150
2,91
3,96
2,143
5,95
3,91
5,93
5,46
3,137
3,92
5,44
3,138
3,139
5,124
3,147
2,143
1,143
1,143
1,90
5,88
3,139
3,140
3,137
3,141
3,96
2,141
3,92
5,112
5,148
2,144
2,92
2,95
2,91
2,138
2,150
2,149
2,91
3,141
3,93
5,150
5,142
5,88
5,92
3,148
5,150
3,125
3,92
3,93
5,146
3,150
2,150
3,88
5,141
3,94
2,150
4,92
3,150
5,150
5,94
5,82
5,150
5,96
5,114
5,150
3,93
5,91
3,141
3,150
3,137
3,141
3,93
3,150
3,92
3,48
3,94
3,89
3,93
3,94
3,91
3,92
3,150
3,137
3,143
3,89
3,140
3,139
3,91
3,147
3,89
3,137
3,150
3,93
3,139
3,94
5,94
5,146
2,92
5,150
2,148
5,96
5,150
4,140
