row,duration
3,141
5,150
1,95
1,145
2,99
1,99
1,146
1,94
1,121
1,150
1,143
1,93
1,142
1,144
1,150
1,141
1,144
1,95
1,147
1,150
1,149
1,138
1,145
1,147
2,147
1,95
2,94
1,102
1,46
1,150
1,51
1,96
1,150
1,150
1,93
1,145
1,145
3,144
3,150
1,140
1,150
3,150
1,148
2,78
2,150
3,150
2,150
2,137
3,97
2,97
2,150
2,150
2,93
2,144
2,144
2,147
1,147
2,90
1,131
2,47
1,149
1,95
1,92
2,92
1,141
1,95
5,88
1,143
2,150
1,150
1,149
2,94
2,144
3,141
4,94
1,91
1,142
1,150
1,150
1,91
1,112
1,94
1,146
1,147
1,147
1,91
1,150
4,146
1,94
1,145
5,142
2,142
3,147
1,150
1,150
4,145
2,48
5,147
3,150
4,47
1,150
2,140
4,45
2,150
4,148
1,150
2,94
2,138
2,113
4,95
2,94
1,95
1,94
3,94
5,143
1,146
4,139
1,80
1,150
4,147
3,143
1,143
1,93
2,97
1,96
1,96
5,97
1,150
3,144
4,118
5,139
1,91
2,91
4,141
1,141
2,91
4,94
1,146
3,141
1,138
5,141
4,148
2,137
4,140
1,150
2,150
1,150
1,140
4,96
1,143
1,147
2,150
3,148
1,88
1,150
3,96
3,150
1,150
5,150
1,91
1,139
1,97
1,97
2,148
1,142
1,150
1,93
3,150
1,150
1,128
1,143
1,150
4,97
4,92
2,44
4,95
4,150
1,91
1,150
1,144
2,94
1,105
1,95
3,143
2,95
3,82
1,94
3,57
2,147
2,92
4,86
1,149
2,149
2,93
2,93
2,145
1,145
1,93
1,142
1,95
5,94
3,150
2,143
1,95
2,94
2,50
2,142
2,90
2,94
2,94
2,126
2,126
1,150
1,94
2,93
3,96
1,92
2,89
1,150
1,150
1,141
2,141
1,147
1,43
4,145
4,61
5,139
4,144
4,68
2,96
1,93
1,140
5,95
1,97
2,147
1,150
1,92
3,94
1,150
1,139
5,150
3,149
4,91
1,97
3,94
3,141
1,147
5,147
1,99
2,150
2,150
2,112
2,89
3,145
2,145
2,142
2,90
1,150
2,50
5,139
1,95
2,89
1,96
1,96
1,150
2,137
1,137
1,150
2,150
4,47
1,139
3,150
1,141
1,100
3,95
2,140
1,150
1,146
1,96
1,91
1,46
1,145
5,150
2,94
2,140
2,142
2,146
2,150
2,150
1,150
1,143
2,143
4,92
4,92
1,137
1,142
3,139
1,137
2,150
1,150
1,150
1,146
1,95
5,80
2,91
1,144
1,150
1,51
1,143
1,150
1,147
1,150
1,149
1,95
5,146
1,150
1,95
1,150
2,94
1,143
1,150
1,150
4,139
1,140
5,94
3,98
3,147
3,150
1,150
1,150
1,145
1,93
1,139
1,150
2,92
5,139
1,94
1,75
1,50
2,146
1,141
2,139
5,49
1,48
5,91
5,150
5,134
5,47
5,92
5,92
5,150
5,95
5,95
2,140
4,139
1,143
2,141
1,146
4,89
4,140
1,146
5,49
5,112
5,93
5,93
5,95
5,95
5,93
5,150
5,150
1,150
2,146
5,140
1,150
1,105
1,144
1,101
4,94
5,98
4,92
1,96
1,150
1,101
1,144
5,140
5,138
5,142
4,141
4,92
1,150
1,93
1,90
1,47
1,143
1,91
1,125
1,150
1,141
1,150
2,99
1,99
1,91
2,100
4,94
2,89
5,96
1,93
4,91
1,150
1,148
1,148
2,145
3,150
1,150
1,145
1,144
1,140
1,150
1,93
2,119
5,99
1,141
1,141
3,150
3,150
3,96
2,150
3,150
3,143
3,150
3,150
1,139
2,141
3,141
4,136
1,136
5,92
3,97
1,148
1,90
4,142
5,73
5,91
2,150
5,148
4,46
1,94
1,139
3,142
3,150
2,95
4,47
1,93
1,150
3,150
1,89
1,148
3,140
5,88
1,100
4,150
4,148
5,144
1,91
1,150
1,150
1,150
4,140
4,140
3,145
1,145
1,98
1,140
1,150
4,47
1,92
1,142
1,142
1,95
1,93
3,150
1,150
5,96
1,150
1,150
5,150
4,139
5,150
3,150
1,150
5,96
5,146
1,95
4,45
1,89
4,138
3,138
2,141
4,114
2,47
3,46
5,50
1,95
1,76
1,95
1,90
1,50
2,124
5,91
1,97
4,145
1,144
1,150
2,150
2,93
4,135
2,92
1,92
1,95
1,149
1,96
1,96
1,143
1,145
1,150
1,150
1,95
1,150
2,140
1,150
5,95
4,143
2,90
2,49
1,146
1,94
2,91
3,150
1,143
4,94
1,142
1,142
1,145
4,94
4,95
4,104
3,150
2,139
1,144
1,147
1,147
1,138
4,93
1,139
1,139
1,149
1,93
1,150
4,92
1,92
2,91
1,150
3,150
1,150
1,95
1,93
2,94
5,90
1,150
1,92
3,140
3,150
3,150
3,150
3,142
3,143
3,146
3,89
3,150
2,150
3,150
3,140
3,93
3,97
3,93
3,150
3,145
1,91
3,146
1,91
3,145
1,146
1,143
1,70
1,92
3,150
1,91
3,150
3,92
3,150
3,140
3,150
3,150
3,144
3,144
3,150
3,142
3,92
3,150
3,150
1,142
3,142
3,92
3,46
3,93
3,142
3,149
5,105
3,92
4,149
4,96
4,91
2,90
1,52
4,52
2,137
1,141
1,141
2,150
4,98
4,143
2,150
1,141
2,46
5,145
3,100
1,148
1,148
1,115
4,47
2,115
1,140
1,150
1,150
1,138
1,96
4,47
4,93
1,44
1,140
1,150
1,150
4,96
2,141
1,142
4,137
4,93
3,50
2,147
4,90
4,95
1,90
4,87
2,87
4,65
3,150
4,148
1,101
4,94
4,142
4,96
5,88
1,94
1,114
3,150
1,150
1,139
1,124
1,117
1,91
1,141
3,97
1,150
1,90
3,142
2,131
1,139
1,140
1,114
2,93
2,145
1,139
5,140
1,95
4,92
2,143
1,96
5,140
5,99
1,150
1,95
1,95
4,141
4,85
1,150
4,91
1,143
5,150
5,141
5,95
5,93
2,91
4,147
1,150
1,97
2,140
2,150
1,141
1,139
1,144
4,93
1,145
1,92
4,144
3,148
2,92
2,94
2,150
2,91
2,130
2,143
2,139
2,139
2,150
3,147
3,150
1,150
1,95
1,148
4,143
1,150
3,150
5,150
5,91
1,94
4,144
2,94
2,145
4,137
1,141
1,147
1,91
1,90
2,90
1,140
1,142
5,150
5,150
1,91
5,150
2,93
2,150
1,150
2,150
1,150
2,150
4,92
1,143
5,147
1,88
1,135
3,140
3,141
1,115
4,150
4,149
3,150
2,92
5,150
1,150
4,91
3,92
2,148
1,139
5,91
2,93
3,143
1,150
1,137
5,147
1,131
3,141
5,92
2,137
1,146
1,142
5,150
2,150
1,150
4,136
4,143
4,92
2,150
2,94
2,91
2,49
1,135
3,150
3,143
1,90
2,95
2,91
3,150
3,150
1,150
2,49
1,146
1,145
2,150
1,147
2,96
3,139
2,110
1,150
3,95
3,95
3,144
2,44
3,44
2,93
1,94
2,144
2,45
1,75
1,142
1,142
3,138
3,140
3,140
1,93
2,149
3,149
2,147
2,89
2,98
2,84
1,47
2,91
1,150
2,139
2,43
2,147
2,141
2,139
2,141
2,94
2,92
2,86
2,95
1,139
2,150
1,150
1,144
2,91
2,150
3,150
1,144
4,140
1,150
1,51
2,130
2,48
2,47
1,91
2,147
2,91
2,92
2,146
2,100
2,145
1,47
1,150
1,150
1,94
1,94
1,138
1,146
1,90
1,46
2,97
1,52
3,141
1,91
4,140
2,138
1,138
2,149
2,144
1,150
1,126
2,55
2,145
3,142
3,145
5,90
1,145
5,150
3,48
3,92
1,90
5,147
1,147
1,142
5,142
2,150
3,150
2,150
2,89
2,89
1,138
2,91
1,93
5,150
2,51
2,150
3,144
1,144
1,150
1,150
1,144
1,145
1,144
3,150
1,139
1,150
5,97
1,144
1,96
1,137
2,90
2,148
2,94
1,94
2,133
1,93
4,89
5,47
4,143
1,150
5,145
1,140
5,140
5,94
4,150
2,94
1,144
4,145
1,139
4,88
2,97
5,140
5,101
5,143
5,150
2,150
4,143
1,138
4,143
5,92
4,94
4,150
2,92
1,143
1,145
1,96
5,118
2,96
1,140
5,90
2,139
1,139
1,138
1,143
3,143
4,91
2,97
2,140
2,142
2,150
1,150
4,103
2,150
1,144
4,90
2,144
2,146
4,92
2,142
4,148
1,142
3,150
3,142
3,150
1,94
1,146
3,71
2,71
3,150
1,123
1,97
4,89
1,150
4,150
3,150
4,139
1,148
1,150
1,150
4,140
3,150
1,119
1,143
1,143
2,150
1,150
1,141
1,150
1,98
2,91
5,146
3,150
3,94
3,143
3,145
1,92
1,93
1,86
4,96
5,150
1,130
1,150
1,146
3,142
3,141
1,144
4,130
1,140
4,87
1,89
1,150
1,100
1,100
4,95
3,143
3,143
2,120
1,144
1,91
1,150
1,144
1,94
5,94
1,51
4,94
1,94
4,44
1,95
1,50
1,47
4,94
1,139
1,94
1,95
1,134
1,89
1,132
1,78
1,93
1,46
1,139
1,94
1,150
1,150
2,148
1,96
1,93
1,142
1,142
1,141
1,141
1,150
2,147
3,146
1,97
1,142
1,125
1,143
1,94
1,143
1,150
1,97
1,142
1,150
3,150
1,150
1,148
1,141
3,141
4,44
1,140
1,92
1,140
1,96
1,48
1,48
1,149
1,150
1,150
1,140
4,90
1,150
1,150
1,95
4,150
1,95
5,92
5,79
5,95
4,45
4,94
1,93
1,145
3,92
3,141
3,94
2,94
1,93
4,87
2,150
1,150
2,92
5,138
4,96
4,147
5,50
1,98
5,147
1,95
4,138
3,94
3,48
3,150
3,97
3,143
3,96
3,150
3,150
3,143
3,98
3,150
3,150
2,139
5,143
5,90
1,148
4,92
1,143
1,144
1,144
5,150
2,95
2,150
2,91
1,150
4,44
1,143
1,145
1,94
3,141
2,143
3,150
1,150
1,143
5,140
1,138
1,150
1,150
1,147
1,147
3,95
1,91
4,143
1,143
2,91
3,150
3,142
2,138
3,138
2,93
3,148
1,90
3,145
2,49
2,150
1,93
1,147
1,141
1,137
4,117
1,94
1,150
1,140
4,51
2,142
1,96
2,150
3,150
5,145
3,150
1,150
2,150
4,92
1,143
1,150
3,150
3,95
1,148
3,148
3,92
4,144
1,150
2,150
1,143
1,150
1,93
1,150
1,149
2,150
3,98
3,141
1,141
5,150
4,92
4,92
4,94
1,141
5,146
1,95
4,44
1,94
1,96
1,91
3,150
3,150
1,145
1,146
1,144
4,46
1,91
2,141
3,149
3,142
2,139
2,150
1,150
1,150
1,93
4,150
1,150
1,95
3,150
4,64
1,150
4,94
1,137
1,95
1,143
1,150
1,91
1,94
4,93
4,93
4,99
2,47
2,46
1,150
1,96
1,96
2,72
1,145
3,93
4,150
5,51
1,138
1,138
1,94
1,89
1,92
2,143
3,117
3,150
3,49
3,136
1,136
3,93
3,93
3,92
3,150
5,150
3,150
1,141
1,150
1,143
1,52
5,143
1,141
1,145
2,141
3,92
1,150
3,150
1,141
1,140
4,96
5,138
2,94
2,144
1,91
5,86
1,89
4,142
4,89
4,147
1,91
2,150
1,150
1,113
1,88
5,143
1,150
5,91
1,95
1,95
4,94
1,142
1,145
1,150
3,140
1,93
4,139
1,140
1,93
1,91
1,96
4,96
2,72
5,139
1,141
1,96
1,141
2,150
3,143
3,150
3,150
1,147
1,100
1,141
2,47
1,91
2,97
1,146
1,150
5,96
1,143
1,90
1,91
1,150
3,142
1,150
1,96
2,150
2,92
4,148
2,93
5,94
1,46
3,141
2,141
4,150
4,98
1,131
5,148
5,150
2,46
1,113
4,97
1,136
1,144
1,144
4,45
4,95
1,90
1,86
1,94
1,150
1,148
1,95
1,93
1,143
1,100
1,150
5,150
4,150
5,150
1,88
1,143
4,139
4,136
1,88
1,140
2,46
1,94
4,139
1,93
5,146
4,92
4,51
1,141
5,145
1,150
1,90
4,91
1,98
2,93
1,140
1,99
5,95
3,150
1,92
2,140
1,94
2,94
2,97
2,141
1,96
1,150
4,94
4,95
2,89
1,143
1,150
4,98
1,92
3,141
1,141
1,96
1,150
1,92
3,142
5,145
1,99
1,147
2,81
4,91
5,117
1,130
1,91
1,148
2,150
2,150
1,150
3,92
1,150
1,48
3,114
3,150
4,96
1,141
1,90
5,91
5,147
5,92
5,150
5,150
5,49
1,150
1,143
1,143
3,150
2,150
2,147
4,89
1,141
1,96
1,143
2,146
2,47
1,136
1,92
1,145
1,94
1,93
5,46
5,95
5,138
5,150
5,92
3,97
1,144
1,145
5,145
3,145
3,150
2,150
3,149
1,150
2,150
1,90
2,148
1,93
1,150
2,150
5,150
1,150
5,150
1,150
1,150
3,94
4,150
4,93
4,146
1,147
4,91
1,139
1,143
1,143
1,92
1,90
1,138
1,150
1,92
5,143
5,139
1,144
1,147
3,142
3,98
3,150
2,150
1,150
1,150
1,150
1,150
1,94
1,150
3,150
3,147
2,147
4,96
4,94
1,140
4,137
4,89
2,94
2,97
2,48
2,145
2,144
2,94
2,109
5,150
4,51
1,142
1,94
1,150
1,50
2,90
4,90
1,92
2,92
1,92
1,138
1,136
1,99
1,46
1,140
1,150
1,88
1,91
1,91
1,140
4,69
4,46
1,142
1,145
1,143
1,137
1,143
1,150
1,150
2,127
4,122
4,129
3,150
2,127
5,146
3,138
3,143
5,110
2,150
4,103
1,90
1,150
1,92
4,144
2,88
4,137
1,96
1,146
4,95
1,141
1,150
1,98
1,137
1,150
1,97
1,92
4,94
1,144
5,143
1,139
1,150
2,97
4,142
2,141
4,95
1,91
1,111
1,141
1,95
4,150
4,124
2,140
2,138
1,150
2,150
1,150
4,141
2,150
2,88
4,100
2,150
2,144
1,92
1,145
2,142
1,150
5,139
1,94
3,150
1,150
2,91
3,91
4,93
4,141
1,141
4,145
1,90
2,141
3,150
2,150
2,150
1,141
1,101
3,150
3,117
1,94
1,150
1,48
3,142
3,142
3,144
1,115
1,141
1,47
1,143
1,143
1,139
2,95
1,94
2,94
2,49
2,150
5,89
1,138
1,138
1,150
4,142
1,100
1,150
3,141
1,139
2,91
2,48
1,96
1,138
1,86
1,145
3,88
1,88
2,92
4,54
5,92
4,142
3,47
3,89
1,141
1,150
5,45
1,95
3,142
1,144
3,150
3,150
4,150
2,97
3,97
1,139
2,93
3,90
5,150
4,45
1,96
3,142
1,142
1,150
1,142
1,138
3,150
1,150
1,150
1,94
2,91
2,150
5,147
3,150
3,136
3,95
5,94
1,44
2,106
3,142
3,139
3,139
